excel_row,hunt_code,boundary_id,species,sex_type,weapon,old_hunt_name,new_hunt_name,database_hunt_name_raw,database_hunt_name_clean,score,field_score,status,reason
2,EA2041,5117,Antlerless Elk,Antlerless,Any Legal Weapon,Cache,Cache,Cache,Cache,1.000,5,already_aligned,Clean workbook name already matches clean database name.
3,EA2041,5117,Antlerless Elk,Antlerless,Any Legal Weapon,Cache,Cache,Cache,Cache,1.000,5,already_aligned,Clean workbook name already matches clean database name.
4,EA2041,5117,Antlerless Elk,Antlerless,Any Legal Weapon,Cache,Cache,Cache,Cache,1.000,5,already_aligned,Clean workbook name already matches clean database name.
5,EA2041,5117,Antlerless Elk,Antlerless,Any Legal Weapon,Cache,Cache,Cache,Cache,1.000,5,already_aligned,Clean workbook name already matches clean database name.
6,EA1270,5114,Antlerless Elk,Antlerless,Any Legal Weapon,Fishlake,Fishlake,Fishlake,Fishlake,1.000,5,already_aligned,Clean workbook name already matches clean database name.
7,EA1270,5114,Antlerless Elk,Antlerless,Any Legal Weapon,Fishlake,Fishlake,Fishlake,Fishlake,1.000,5,already_aligned,Clean workbook name already matches clean database name.
8,EA1270,5114,Antlerless Elk,Antlerless,Any Legal Weapon,Fishlake,Fishlake,Fishlake,Fishlake,1.000,5,already_aligned,Clean workbook name already matches clean database name.
9,EA1270,5114,Antlerless Elk,Antlerless,Any Legal Weapon,Fishlake,Fishlake,Fishlake,Fishlake,1.000,5,already_aligned,Clean workbook name already matches clean database name.
10,EA1180,5111,Antlerless Elk,Antlerless,Any Legal Weapon,La Sal,La Sal,La Sal,La Sal,1.000,5,already_aligned,Clean workbook name already matches clean database name.
11,EA1180,5111,Antlerless Elk,Antlerless,Any Legal Weapon,La Sal,La Sal,La Sal,La Sal,1.000,5,already_aligned,Clean workbook name already matches clean database name.
12,EA1180,5111,Antlerless Elk,Antlerless,Any Legal Weapon,La Sal,La Sal,La Sal,La Sal,1.000,5,already_aligned,Clean workbook name already matches clean database name.
13,EA1180,5111,Antlerless Elk,Antlerless,Any Legal Weapon,La Sal,La Sal,La Sal,La Sal,1.000,5,already_aligned,Clean workbook name already matches clean database name.
14,EA1271,5115,Antlerless Elk,Antlerless,Any Legal Weapon,Manti,Manti,Manti,Manti,1.000,5,already_aligned,Clean workbook name already matches clean database name.
15,EA1271,5115,Antlerless Elk,Antlerless,Any Legal Weapon,Manti,Manti,Manti,Manti,1.000,5,already_aligned,Clean workbook name already matches clean database name.
16,EA1271,5115,Antlerless Elk,Antlerless,Any Legal Weapon,Manti,Manti,Manti,Manti,1.000,5,already_aligned,Clean workbook name already matches clean database name.
17,EA1271,5115,Antlerless Elk,Antlerless,Any Legal Weapon,Manti,Manti,Manti,Manti,1.000,5,already_aligned,Clean workbook name already matches clean database name.
18,EA2045,5118,Antlerless Elk,Antlerless,Any Legal Weapon,Wasatch Mtns,Wasatch Mtns,Wasatch Mtns,Wasatch Mtns,1.000,5,already_aligned,Clean workbook name already matches clean database name.
19,EA2045,5118,Antlerless Elk,Antlerless,Any Legal Weapon,Wasatch Mtns,Wasatch Mtns,Wasatch Mtns,Wasatch Mtns,1.000,5,already_aligned,Clean workbook name already matches clean database name.
20,EA2045,5118,Antlerless Elk,Antlerless,Any Legal Weapon,Wasatch Mtns,Wasatch Mtns,Wasatch Mtns,Wasatch Mtns,1.000,5,already_aligned,Clean workbook name already matches clean database name.
21,EA2045,5118,Antlerless Elk,Antlerless,Any Legal Weapon,Wasatch Mtns,Wasatch Mtns,Wasatch Mtns,Wasatch Mtns,1.000,5,already_aligned,Clean workbook name already matches clean database name.
22,BR7318,628,Bear,Either Sex,Multiseason,Beaver,Beaver,Beaver,Beaver,1.000,5,already_aligned,Clean workbook name already matches clean database name.
23,BR7300,449,Bear,Either Sex,Multiseason,"Book Cliffs, Bitter Creek/South","Book Cliffs, Bitter Creek/South",Book Cliffs Bitter Creek/South,Book Cliffs Bitter Creek/South,1.000,5,already_aligned,Clean workbook name already matches clean database name.
24,BR7300,449,Bear,Either Sex,Multiseason,"Book Cliffs, Bitter Creek/South","Book Cliffs, Bitter Creek/South",Book Cliffs Bitter Creek/South,Book Cliffs Bitter Creek/South,1.000,5,already_aligned,Clean workbook name already matches clean database name.
25,BR7300,449,Bear,Either Sex,Multiseason,"Book Cliffs, Bitter Creek/South","Book Cliffs, Bitter Creek/South",Book Cliffs Bitter Creek/South,Book Cliffs Bitter Creek/South,1.000,5,already_aligned,Clean workbook name already matches clean database name.
26,BR7300,449,Bear,Either Sex,Multiseason,"Book Cliffs, Bitter Creek/South","Book Cliffs, Bitter Creek/South",Book Cliffs Bitter Creek/South,Book Cliffs Bitter Creek/South,1.000,5,already_aligned,Clean workbook name already matches clean database name.
