hunt_code,residency,points,canonical_rows,hunt_name,species,record_type,eligible_applicants,total_permits,source_file
BR1008,Nonresident,0,1,Book Cliffs,Black Bear,point_level_draw_result,3,2,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
BR1008,Nonresident,2,1,Book Cliffs,Black Bear,point_level_draw_result,0,0,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
BR1008,Nonresident,3,1,Book Cliffs,Black Bear,point_level_draw_result,0,0,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
BR1008,Nonresident,4,1,Book Cliffs,Black Bear,point_level_draw_result,0,0,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
BR1008,Nonresident,5,1,Book Cliffs,Black Bear,point_level_draw_result,0,0,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
BR1008,Nonresident,6,1,Book Cliffs,Black Bear,point_level_draw_result,0,0,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
BR1008,Nonresident,7,1,Book Cliffs,Black Bear,point_level_draw_result,0,0,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
BR1008,Nonresident,8,1,Book Cliffs,Black Bear,point_level_draw_result,0,0,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
BR1008,Nonresident,9,1,Book Cliffs,Black Bear,point_level_draw_result,0,0,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
BR1008,Nonresident,10,1,Book Cliffs,Black Bear,point_level_draw_result,0,0,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
BR1008,Nonresident,11,1,Book Cliffs,Black Bear,point_level_draw_result,0,0,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
BR1008,Nonresident,12,1,Book Cliffs,Black Bear,point_level_draw_result,0,0,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
BR1008,Nonresident,13,1,Book Cliffs,Black Bear,point_level_draw_result,0,0,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
BR1008,Nonresident,14,1,Book Cliffs,Black Bear,point_level_draw_result,0,0,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
BR1008,Nonresident,15,1,Book Cliffs,Black Bear,point_level_draw_result,0,0,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
BR1008,Nonresident,16,1,Book Cliffs,Black Bear,point_level_draw_result,0,0,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
BR1008,Nonresident,17,1,Book Cliffs,Black Bear,point_level_draw_result,0,0,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
BR1008,Nonresident,18,1,Book Cliffs,Black Bear,point_level_draw_result,0,0,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
BR1008,Nonresident,19,1,Book Cliffs,Black Bear,point_level_draw_result,0,0,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
BR1008,Nonresident,20,1,Book Cliffs,Black Bear,point_level_draw_result,0,0,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
BR1008,Nonresident,21,1,Book Cliffs,Black Bear,point_level_draw_result,0,0,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
BR1008,Nonresident,22,1,Book Cliffs,Black Bear,point_level_draw_result,0,0,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
BR1008,Resident,0,1,Book Cliffs,Black Bear,point_level_draw_result,52,7,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
BR1008,Resident,4,1,Book Cliffs,Black Bear,point_level_draw_result,0,0,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
BR1008,Resident,6,1,Book Cliffs,Black Bear,point_level_draw_result,0,0,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
BR1008,Resident,7,1,Book Cliffs,Black Bear,point_level_draw_result,0,0,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
BR1008,Resident,8,1,Book Cliffs,Black Bear,point_level_draw_result,0,0,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
