workbook,sheet,row,old_hunt_code,new_hunt_code,old_boundary_id,new_boundary_id,old_hunt_name,new_hunt_name,source,backup_path
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,88,DS1000,DB0007,5110,5108,Statewide,Statewide,DATABASE.csv,audits/2025_canonical_finalization/backups/2025-27 Conservation Permits.before_safe_code_boundary_apply_20260622T123636Z.xlsx
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,235,GO1000,PB5026,5131,667,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek",DATABASE.csv,audits/2025_canonical_finalization/backups/2025-27 Conservation Permits.before_safe_code_boundary_apply_20260622T123636Z.xlsx
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,236,GO1000,PB5026,5131,667,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek",DATABASE.csv,audits/2025_canonical_finalization/backups/2025-27 Conservation Permits.before_safe_code_boundary_apply_20260622T123636Z.xlsx
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,237,GO1000,PB5026,5131,667,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek",DATABASE.csv,audits/2025_canonical_finalization/backups/2025-27 Conservation Permits.before_safe_code_boundary_apply_20260622T123636Z.xlsx
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,238,GO1000,PB5027,5131,15,"Book Cliffs, South","Book Cliffs, South",DATABASE.csv,audits/2025_canonical_finalization/backups/2025-27 Conservation Permits.before_safe_code_boundary_apply_20260622T123636Z.xlsx
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,239,GO1000,PB5027,5131,15,"Book Cliffs, South","Book Cliffs, South",DATABASE.csv,audits/2025_canonical_finalization/backups/2025-27 Conservation Permits.before_safe_code_boundary_apply_20260622T123636Z.xlsx
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,240,GO1000,PB5028,5131,24,"Box Elder, Promontory","Box Elder, Promontory",DATABASE.csv,audits/2025_canonical_finalization/backups/2025-27 Conservation Permits.before_safe_code_boundary_apply_20260622T123636Z.xlsx
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,241,GO1000,PB5029,5131,25,"Box Elder, Puddle Valley","Box Elder, Puddle Valley",DATABASE.csv,audits/2025_canonical_finalization/backups/2025-27 Conservation Permits.before_safe_code_boundary_apply_20260622T123636Z.xlsx
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,242,GO1000,PB5030,5131,27,"Box Elder, Snowville","Box Elder, Snowville",DATABASE.csv,audits/2025_canonical_finalization/backups/2025-27 Conservation Permits.before_safe_code_boundary_apply_20260622T123636Z.xlsx
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,243,GO1000,PB5030,5131,27,"Box Elder, Snowville","Box Elder, Snowville",DATABASE.csv,audits/2025_canonical_finalization/backups/2025-27 Conservation Permits.before_safe_code_boundary_apply_20260622T123636Z.xlsx
