row,status,hunt_code,boundary_id,species,hunt_name,sex_type,old_weapon,new_weapon,old_season,new_season,db_weapon,db_hunt_name,db_species,db_boundary_id,db_sex_type,notes
80,matched_species_boundary_id_sex_type_weapon_filled,DB1015,206,Deer,Henry Mtns,Buck,,Archery,Archery,Archery,Archery,Diamond Mtn,Deer,206,Buck,database_weapon_written_directly
83,matched_species_boundary_id_sex_type_weapon_filled,DB1075,7,Deer,Paunsaugunt,Buck,,Archery,Muzzleloader,Muzzleloader,Archery,Book Cliffs (North & South),Deer,7,Buck,database_weapon_written_directly
84,matched_species_boundary_id_sex_type_weapon_filled,DB1056,7,Deer,Paunsaugunt,Buck,,Any Legal Weapon,Hunter's Choice,Hunter's Choice,Any Legal Weapon,Book Cliffs (North & South),Deer,7,Buck,database_weapon_written_directly
91,matched_species_boundary_id_sex_type_weapon_filled,DB1047,206,Deer,Book Cliffs,Buck,,Multiseason,Hunter's Choice,Hunter's Choice,Multiseason,Diamond Mtn,Deer,206,Buck,database_weapon_written_directly
92,matched_species_boundary_id_sex_type_weapon_filled,DB1047,206,Deer,Book Cliffs,Buck,,Multiseason,Hunter's Choice,Hunter's Choice,Multiseason,Diamond Mtn,Deer,206,Buck,database_weapon_written_directly
98,matched_species_boundary_id_sex_type_weapon_filled,DB1014,185,Deer,Diamond Mtn,Buck,,Archery,Archery,Archery,Archery,"San Juan, Elk Ridge",Deer,185,Buck,database_weapon_written_directly
99,matched_species_boundary_id_sex_type_weapon_filled,DB1046,185,Deer,Diamond Mtn,Buck,,Multiseason,Multiseason,Multiseason,Multiseason,"San Juan, Elk Ridge",Deer,185,Buck,database_weapon_written_directly
103,matched_species_boundary_id_sex_type_weapon_filled,DB1016,248,Deer,"Fillmore, Oak Creek LE",Buck,,Archery,Archery,Archery,Archery,"West Desert, Vernon",Deer,248,Buck,database_weapon_written_directly
107,matched_species_boundary_id_sex_type_weapon_filled,DB1042,248,Deer,"San Juan, Elk Ridge",Buck,,Muzzleloader,Muzzleloader,Muzzleloader,Muzzleloader,"West Desert, Vernon",Deer,248,Buck,database_weapon_written_directly
112,matched_species_boundary_id_sex_type_weapon_filled,DB1048,248,Deer,"West Desert, Vernon",Buck,,Multiseason,,,Multiseason,"West Desert, Vernon",Deer,248,Buck,database_weapon_written_directly
113,matched_species_boundary_id_sex_type_weapon_filled,DB1048,248,Deer,"West Desert, Vernon",Buck,,Multiseason,,,Multiseason,"West Desert, Vernon",Deer,248,Buck,database_weapon_written_directly
121,matched_species_boundary_id_sex_type_weapon_filled,EB3102,685,Elk,"Beaver, East",Bull,,Multiseason,Multiseason,Multiseason,Multiseason,"Beaver, East",Elk,685,Bull,database_weapon_written_directly
125,matched_species_boundary_id_sex_type_weapon_filled,EB3163,899,Elk,"Book Cliffs, Bitter Creek/East",Bull,,Late Any Legal Weapon,Hunter's Choice,Hunter's Choice,Late Any Legal Weapon,"Book Cliffs, Bitter Creek/East",Elk,899,Bull,database_weapon_written_directly
130,matched_species_boundary_id_sex_type_weapon_filled,EB3191,172,Elk,Boulder,Bull,,Mid Any Legal Weapon,Hunter's Choice,Hunter's Choice,Mid Any Legal Weapon,Boulder,Elk,172,Bull,database_weapon_written_directly
136,matched_species_boundary_id_sex_type_weapon_filled,EB3105,33,Elk,"Cache, Meadowville",Bull,,Multiseason,Multiseason,Multiseason,Multiseason,"Cache, Meadowville",Elk,33,Bull,database_weapon_written_directly
138,matched_species_boundary_id_sex_type_weapon_filled,EB3196,206,Elk,"Cache, South",Bull,,Late Any Legal Weapon,Multiseason,Multiseason,Late Any Legal Weapon,Diamond Mtn,Elk,206,Bull,database_weapon_written_directly
143,matched_species_boundary_id_sex_type_weapon_filled,EB3043,88,Elk,Diamond Mtn,Bull,,Late Any Legal Weapon,Multiseason,Multiseason,Late Any Legal Weapon,"Fillmore, Pahvant",Elk,88,Bull,database_weapon_written_directly
147,matched_species_boundary_id_sex_type_weapon_filled,EB3065,175,Elk,"Fillmore, Pahvant",Bull,,Late Any Legal Weapon,Multiseason,Multiseason,Late Any Legal Weapon,Fishlake/Thousand Lakes,Elk,175,Bull,database_weapon_written_directly
