hunt_code,residency,points,canonical_rows,download_rows,hunt_names,source_files
DA1001,Nonresident,0,2,,"Box Elder, West Bear River",
DA1001,Nonresident,1,2,,"Box Elder, West Bear River",
DA1001,Nonresident,2,2,,"Box Elder, West Bear River",
DA1001,Nonresident,3,2,,"Box Elder, West Bear River",
DA1001,Nonresident,4,2,,"Box Elder, West Bear River",
DA1001,Nonresident,5,2,,"Box Elder, West Bear River",
DA1001,Nonresident,6,2,,"Box Elder, West Bear River",
DA1001,Nonresident,7,2,,"Box Elder, West Bear River",
DA1001,Nonresident,8,2,,"Box Elder, West Bear River",
DA1001,Nonresident,9,2,,"Box Elder, West Bear River",
DA1001,Nonresident,10,2,,"Box Elder, West Bear River",
DA1001,Nonresident,11,2,,"Box Elder, West Bear River",
DA1001,Nonresident,12,2,,"Box Elder, West Bear River",
DA1001,Nonresident,13,2,,"Box Elder, West Bear River",
DA1001,Nonresident,14,2,,"Box Elder, West Bear River",
DA1001,Nonresident,15,2,,"Box Elder, West Bear River",
DA1001,Resident,0,2,,"Box Elder, West Bear River",
DA1001,Resident,1,2,,"Box Elder, West Bear River",
DA1001,Resident,2,2,,"Box Elder, West Bear River",
DA1001,Resident,3,2,,"Box Elder, West Bear River",
DA1001,Resident,4,2,,"Box Elder, West Bear River",
DA1001,Resident,5,2,,"Box Elder, West Bear River",
DA1001,Resident,6,2,,"Box Elder, West Bear River",
DA1001,Resident,7,2,,"Box Elder, West Bear River",
DA1001,Resident,8,2,,"Box Elder, West Bear River",
DA1001,Resident,9,2,,"Box Elder, West Bear River",
DA1001,Resident,10,2,,"Box Elder, West Bear River",
DA1001,Resident,11,2,,"Box Elder, West Bear River",
DA1001,Resident,12,2,,"Box Elder, West Bear River",
DA1001,Resident,13,2,,"Box Elder, West Bear River",
DA1001,Resident,14,2,,"Box Elder, West Bear River",
DA1001,Resident,15,2,,"Box Elder, West Bear River",
DA1002,Nonresident,0,2,,"Box Elder, West Bear River",
DA1002,Nonresident,1,2,,"Box Elder, West Bear River",
DA1002,Nonresident,2,2,,"Box Elder, West Bear River",
DA1002,Nonresident,3,2,,"Box Elder, West Bear River",
DA1002,Nonresident,4,2,,"Box Elder, West Bear River",
DA1002,Nonresident,5,2,,"Box Elder, West Bear River",
DA1002,Nonresident,6,2,,"Box Elder, West Bear River",
DA1002,Nonresident,7,2,,"Box Elder, West Bear River",
DA1002,Nonresident,8,2,,"Box Elder, West Bear River",
DA1002,Nonresident,9,2,,"Box Elder, West Bear River",
DA1002,Nonresident,10,2,,"Box Elder, West Bear River",
DA1002,Nonresident,11,2,,"Box Elder, West Bear River",
DA1002,Nonresident,12,2,,"Box Elder, West Bear River",
DA1002,Nonresident,13,2,,"Box Elder, West Bear River",
DA1002,Nonresident,14,2,,"Box Elder, West Bear River",
DA1002,Nonresident,15,2,,"Box Elder, West Bear River",
DA1002,Resident,0,2,,"Box Elder, West Bear River",
DA1002,Resident,1,2,,"Box Elder, West Bear River",
DA1002,Resident,2,2,,"Box Elder, West Bear River",
DA1002,Resident,3,2,,"Box Elder, West Bear River",
DA1002,Resident,4,2,,"Box Elder, West Bear River",
DA1002,Resident,5,2,,"Box Elder, West Bear River",
DA1002,Resident,6,2,,"Box Elder, West Bear River",
DA1002,Resident,7,2,,"Box Elder, West Bear River",
DA1002,Resident,8,2,,"Box Elder, West Bear River",
DA1002,Resident,9,2,,"Box Elder, West Bear River",
DA1002,Resident,10,2,,"Box Elder, West Bear River",
DA1002,Resident,11,2,,"Box Elder, West Bear River",
DA1002,Resident,12,2,,"Box Elder, West Bear River",
DA1002,Resident,13,2,,"Box Elder, West Bear River",
DA1002,Resident,14,2,,"Box Elder, West Bear River",
DA1002,Resident,15,2,,"Box Elder, West Bear River",
DA1003,Nonresident,0,2,,"Monroe/plateau, Sevier Valley",
DA1003,Nonresident,1,2,,"Monroe/plateau, Sevier Valley",
DA1003,Nonresident,2,2,,"Monroe/plateau, Sevier Valley",
DA1003,Nonresident,3,2,,"Monroe/plateau, Sevier Valley",
DA1003,Nonresident,4,2,,"Monroe/plateau, Sevier Valley",
DA1003,Nonresident,5,2,,"Monroe/plateau, Sevier Valley",
DA1003,Nonresident,6,2,,"Monroe/plateau, Sevier Valley",
DA1003,Nonresident,7,2,,"Monroe/plateau, Sevier Valley",
DA1003,Nonresident,8,2,,"Monroe/plateau, Sevier Valley",
DA1003,Nonresident,9,2,,"Monroe/plateau, Sevier Valley",
DA1003,Nonresident,10,2,,"Monroe/plateau, Sevier Valley",
DA1003,Nonresident,11,2,,"Monroe/plateau, Sevier Valley",
DA1003,Nonresident,12,2,,"Monroe/plateau, Sevier Valley",
DA1003,Nonresident,13,2,,"Monroe/plateau, Sevier Valley",
