hunt_code,old_hunt_name,new_hunt_name,species,weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3067,Late - San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
