target_workbook,excel_row_number,data_row_no,source_no,selected_hunt_code,boundary_audit_status,before_boundary_id,after_boundary_id,lock_status,lock_reason
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,2,1,1,EA2041,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5117,5117,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,3,2,2,EA2041,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5117,5117,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,4,3,3,EA2041,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5117,5117,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,5,4,4,EA2041,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5117,5117,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,6,5,5,EA1270,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5114,5114,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,7,6,6,EA1270,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5114,5114,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,8,7,7,EA1270,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5114,5114,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,9,8,8,EA1270,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5114,5114,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,10,9,9,EA1180,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5111,5111,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,11,10,10,EA1180,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5111,5111,LOCKED,row resolved via hunt code / boundary matching
