hunt_code,hunt_name_2025,hunt_name_2026,2025_species,2025_sex_type,2025_weapon,2025_hunt_type,2025_draw_design,2026_species,2026_sex_type,2026_weapon,2026_hunt_type,2026_draw_design
DB1629,Boulder/kaiparowits - Error,Boulder/Kaiparowits,Deer,Buck,Restricted Rifle,General Season,Preference,Deer,Buck,,General Season,Preference
DB1630,Boulder/kaiparowits - Error,Boulder/Kaiparowits,Deer,Buck,Restricted Muzzleloader,General Season,Preference,Deer,Buck,,General Season,Preference
DS6611,Any Legal Weapon,Zion,Desert Bighorn Sheep,Male Only,Any Legal Weapon,Once-in-a-lifetime,Max/Weighted Split,Desert Bighorn Sheep,Ram,,Once-in-a-Lifetime,Unlimited
EB1007,Draw-only Youth Elk - Draw-only Youth Any Bull/hunter's Choice Elk,Youth Any Bull/Hunter's Choice Elk,Elk,Bull,Any Legal Weapon,O.T.C.,Capped Permits,Draw-only Youth Elk,General Bull,,General Season,Preference
EB3009,"La Sal, La Sal Mtns",La Sal Mtns,Elk,Bull,Archery,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3022,Wasatch Mtns -Archery,Wasatch Mtns,Elk,Bull,Archery,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3024,"Early - Beaver, East","Beaver, East",Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3025,"Late - Beaver, East","Beaver, East",Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3028,"Early -Book Cliffs, Little Creek Roadless","Book Cliffs, Little Creek Roadless",Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Unlimited
EB3031,"Early -Box Elder, Pilot Mtn","Box Elder, Pilot Mtn",Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3032,"Early - Cache, Meadowville","Cache, Meadowville",Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3033,"Late -Cache, Meadowville","Cache, Meadowville",Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3036,"Early - Cache, South","Cache, South",Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Unlimited
EB3037,"Late -Cache, South","Cache, South",Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3038,Early -Manti,Manti,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3039,Late -Manti,Manti,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3042,"Early -Fillmore, Pahvant","Fillmore, Pahvant",Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3043,"Late -Fillmore, Pahvant","Fillmore, Pahvant",Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3044,"Late - La Sal, Dolores Triangle",Dolores Triangle,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3045,"Early -La Sal, La Sal Mtns",La Sal Mtns,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3046,"Late - La Sal, La Sal Mtns",La Sal Mtns,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3047,Early -Monroe,Monroe,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3048,Late - Monroe,Monroe,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3049,Early -Mt Dutton,Mt Dutton,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3050,Late - Mt Dutton,Mt Dutton,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3053,"Mid -North Slope, Three Corners","North Slope, Three Corners",Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3056,Early -Panguitch Lake,Panguitch Lake,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3057,Late -Panguitch Lake,Panguitch Lake,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
