row_number,hunt_code,hunt_name,before_boundary_id,after_boundary_id,source_evidence
54822,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54823,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54824,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54825,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54826,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54827,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54828,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54829,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54830,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54831,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54832,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54833,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54834,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54835,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54836,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54837,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54838,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54839,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54840,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54841,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54842,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54843,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54844,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54845,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54846,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54847,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54848,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54849,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54850,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54851,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54852,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54853,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54854,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54855,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54856,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54857,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54858,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54859,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54860,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54861,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54862,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54863,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54864,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54865,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54866,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54867,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54868,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54869,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54870,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54871,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54872,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54873,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54874,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54875,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54876,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54877,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54878,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54879,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54880,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54881,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54882,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54883,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54884,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54885,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54886,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
54887,PB5343,Prohibition Springs,,919,data/pronghorn_hunt_table_official.json BOUNDARYID=919; processed_data/boundaries/PB5343.geojson metadata boundary_id=919
