target_workbook,worksheet,excel_row_number,data_row_no,source_no,selected_hunt_code,input_hunt_code_status,boundary_audit_status,before_boundary_id,after_boundary_id,boundary_candidate_codes,changed,map_geojson_before,map_geojson_after,resolution_source,match_notes,before_code,after_code,locked
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,Table 1,2,1,1,EA2041,RESOLVED,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5117,5117,EA2041,false,processed_data/boundaries/EA2041.geojson,processed_data/boundaries/EA2041.geojson,hunt_code,row resolved via hunt code / boundary matching,EA2041,EA2041,LOCKED
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,Table 1,3,2,2,EA2041,RESOLVED,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5117,5117,EA2041,false,processed_data/boundaries/EA2041.geojson,processed_data/boundaries/EA2041.geojson,hunt_code,row resolved via hunt code / boundary matching,EA2041,EA2041,LOCKED
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,Table 1,4,3,3,EA2041,RESOLVED,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5117,5117,EA2041,false,processed_data/boundaries/EA2041.geojson,processed_data/boundaries/EA2041.geojson,hunt_code,row resolved via hunt code / boundary matching,EA2041,EA2041,LOCKED
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,Table 1,5,4,4,EA2041,RESOLVED,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5117,5117,EA2041,false,processed_data/boundaries/EA2041.geojson,processed_data/boundaries/EA2041.geojson,hunt_code,row resolved via hunt code / boundary matching,EA2041,EA2041,LOCKED
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,Table 1,6,5,5,EA1270,RESOLVED,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5114,5114,EA1270,false,processed_data/boundaries/EA1270.geojson,processed_data/boundaries/EA1270.geojson,hunt_code,row resolved via hunt code / boundary matching,EA1270,EA1270,LOCKED
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,Table 1,7,6,6,EA1270,RESOLVED,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5114,5114,EA1270,false,processed_data/boundaries/EA1270.geojson,processed_data/boundaries/EA1270.geojson,hunt_code,row resolved via hunt code / boundary matching,EA1270,EA1270,LOCKED
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,Table 1,8,7,7,EA1270,RESOLVED,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5114,5114,EA1270,false,processed_data/boundaries/EA1270.geojson,processed_data/boundaries/EA1270.geojson,hunt_code,row resolved via hunt code / boundary matching,EA1270,EA1270,LOCKED
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,Table 1,9,8,8,EA1270,RESOLVED,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5114,5114,EA1270,false,processed_data/boundaries/EA1270.geojson,processed_data/boundaries/EA1270.geojson,hunt_code,row resolved via hunt code / boundary matching,EA1270,EA1270,LOCKED
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,Table 1,10,9,9,EA1180,RESOLVED,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5111,5111,EA1180,false,processed_data/boundaries/EA1180.geojson,processed_data/boundaries/EA1180.geojson,hunt_code,row resolved via hunt code / boundary matching,EA1180,EA1180,LOCKED
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,Table 1,11,10,10,EA1180,RESOLVED,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5111,5111,EA1180,false,processed_data/boundaries/EA1180.geojson,processed_data/boundaries/EA1180.geojson,hunt_code,row resolved via hunt code / boundary matching,EA1180,EA1180,LOCKED
