"row","source_no","hunt_code","field","old_value","new_value","truth_source_row"
"2","1","EA2041","SPECIES","Antlerless Elk","Elk","16"
"2","1","EA2041","HUNT NAME","Cache","Cache (Conservation)","16"
"3","2","EA2041","SPECIES","Antlerless Elk","Elk","16"
"3","2","EA2041","HUNT NAME","Cache","Cache (Conservation)","16"
"4","3","EA2041","SPECIES","Antlerless Elk","Elk","16"
"4","3","EA2041","HUNT NAME","Cache","Cache (Conservation)","16"
"5","4","EA2041","SPECIES","Antlerless Elk","Elk","16"
"5","4","EA2041","HUNT NAME","Cache","Cache (Conservation)","16"
"6","5","EA1270","SPECIES","Antlerless Elk","Elk","14"
"6","5","EA1270","HUNT NAME","Fishlake","Fishlake (Conservation)","14"
"7","6","EA1270","SPECIES","Antlerless Elk","Elk","14"
"7","6","EA1270","HUNT NAME","Fishlake","Fishlake (Conservation)","14"
"8","7","EA1270","SPECIES","Antlerless Elk","Elk","14"
"8","7","EA1270","HUNT NAME","Fishlake","Fishlake (Conservation)","14"
"9","8","EA1270","SPECIES","Antlerless Elk","Elk","14"
"9","8","EA1270","HUNT NAME","Fishlake","Fishlake (Conservation)","14"
"10","9","EA1180","SPECIES","Antlerless Elk","Elk","13"
"10","9","EA1180","HUNT NAME","La Sal","La Sal (Conservation)","13"
"11","10","EA1180","SPECIES","Antlerless Elk","Elk","13"
"11","10","EA1180","HUNT NAME","La Sal","La Sal (Conservation)","13"
"12","11","EA1180","SPECIES","Antlerless Elk","Elk","13"
"12","11","EA1180","HUNT NAME","La Sal","La Sal (Conservation)","13"
"13","12","EA1180","SPECIES","Antlerless Elk","Elk","13"
"13","12","EA1180","HUNT NAME","La Sal","La Sal (Conservation)","13"
"14","13","EA1271","SPECIES","Antlerless Elk","Elk","15"
"14","13","EA1271","HUNT NAME","Manti","Manti (Conservation)","15"
"15","14","EA1271","SPECIES","Antlerless Elk","Elk","15"
"15","14","EA1271","HUNT NAME","Manti","Manti (Conservation)","15"
"16","15","EA1271","SPECIES","Antlerless Elk","Elk","15"
"16","15","EA1271","HUNT NAME","Manti","Manti (Conservation)","15"
"17","16","EA1271","SPECIES","Antlerless Elk","Elk","15"
"17","16","EA1271","HUNT NAME","Manti","Manti (Conservation)","15"
"18","17","EA2045","SPECIES","Antlerless Elk","Elk","17"
"18","17","EA2045","HUNT NAME","Wasatch Mtns","Wasatch Mtns (Conservation)","17"
"19","18","EA2045","SPECIES","Antlerless Elk","Elk","17"
"19","18","EA2045","HUNT NAME","Wasatch Mtns","Wasatch Mtns (Conservation)","17"
"20","19","EA2045","SPECIES","Antlerless Elk","Elk","17"
"20","19","EA2045","HUNT NAME","Wasatch Mtns","Wasatch Mtns (Conservation)","17"
"21","20","EA2045","SPECIES","Antlerless Elk","Elk","17"
"21","20","EA2045","HUNT NAME","Wasatch Mtns","Wasatch Mtns (Conservation)","17"
"80","79","DB1075","HUNT NAME","Book Cliffs","Book Cliffs (North & South)","3"
"80","79","DB1075","Condition","Hunter's Choice","Archery","3"
"81","80","DB1075","HUNT NAME","Book Cliffs","Book Cliffs (North & South)","3"
"81","80","DB1075","Condition","Multiseason","Archery","3"
"84","83","DB1056","HUNT NAME","Book Cliffs","Book Cliffs (North & South)","2"
"84","83","DB1056","WEAPON","Multiseason","Any Legal Weapon","2"
"84","83","DB1056","Condition","Hunter's Choice","Any Legal Weapon","2"
"85","84","DB1056","HUNT NAME","Book Cliffs","Book Cliffs (North & South)","2"
"85","84","DB1056","WEAPON","Multiseason","Any Legal Weapon","2"
"85","84","DB1056","Condition","Multiseason","Any Legal Weapon","2"
