hunt_code,hunt_name,hunt_category_name,species_subtype_name,source_file,reason
GDR,General Deer Preference Point,Preference Point,Buck Deer,utahdraws_big_game_2026_general_season_buck_deer_mht5.json,point_purchase_or_family_code
DHL,Dedicated Hunter Preference Point,Preference Point,Dedicated Hunter Buck Deer,utahdraws_big_game_2026_dedicated_hunter_buck_deer_mht32.json,point_purchase_or_family_code
DEE,Buck Deer Bonus Point,Bonus Point,Buck Deer,utahdraws_big_game_2026_limited_entry_buck_deer_mht8.json,point_purchase_or_family_code
ELK,Bull Elk Bonus Point,Bonus Point,Bull Elk,utahdraws_big_game_2026_limited_entry_bull_elk_mht9.json,point_purchase_or_family_code
PRO,Buck Pronghorn Bonus Point,Bonus Point,Buck Pronghorn,utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json,point_purchase_or_family_code
MOO,Moose Bonus Point,Bonus Point,Bull Moose,utahdraws_big_game_2026_bull_moose_mht11.json,point_purchase_or_family_code
BIS,Bison Bonus Point,Bonus Point,Bison,utahdraws_big_game_2026_bison_mht12.json,point_purchase_or_family_code
DBS,Desert Bighorn Sheep Bonus Point,Bonus Point,Desert Bighorn Sheep,utahdraws_big_game_2026_desert_bighorn_sheep_mht13.json,point_purchase_or_family_code
RMB,Rocky Mountain Sheep Bonus Point,Bonus Point,Rocky Mtn Bighorn Sheep,utahdraws_big_game_2026_rocky_mtn_bighorn_sheep_mht14.json,point_purchase_or_family_code
GOA,Mountain Goat Bonus Point,Bonus Point,Mountain Goat,utahdraws_big_game_2026_mountain_goat_mht15.json,point_purchase_or_family_code
BER,Bear Bonus Point,Bonus Point,Black Bear,utahdraws_black_bear_2026_black_bear_mht1.json,point_purchase_or_family_code
BPU,Bear Restricted Pursuit Bonus Point,Bonus Point,Black Bear,utahdraws_black_bear_2026_black_bear_restricted_pursuit_mht16.json,point_purchase_or_family_code
TKY,Turkey Bonus Point,Bonus Point,LE Bearded Turkey,utahdraws_turkey_2026_turkey_mht3.json,point_purchase_or_family_code
