xlsx_row,source_no,hunt_code_cell,hunt_code_count,mapped_code_count,geojson_code_count,row_mapping_status,boundary_ids,member_boundary_ids,geometry_statuses,boundary_geojson_paths,dwr_boundary_links,species,sex,hunt_name,weapon,organization,permits
20,19,EA2045,1,1,1,single_code_mapped,5118,222;224;225;227;234;238;240;480;817;845;920;921,mapped,processed_data/boundaries/EA2045.geojson,, Elk,Antlerless,Wasatch Mtns,Any Legal Weapon,SFW,1
21,20,EA2045,1,1,1,single_code_mapped,5118,222;224;225;227;234;238;240;480;817;845;920;921,mapped,processed_data/boundaries/EA2045.geojson,, Elk,Antlerless,Wasatch Mtns,Any Legal Weapon,SFW,1
22,21,BR7318,1,1,1,single_code_mapped,628,,mapped,processed_data/boundaries/BR7318.geojson,,Bear,Either Sex,Beaver,Multiseason,MDF,1
23,22,BR7300,1,1,1,single_code_mapped,449,,mapped,processed_data/boundaries/BR7300.geojson,,Bear,Either Sex,"Book Cliffs, Bitter Creek/South",Multiseason,SFW,1
24,23,BR7300,1,1,1,single_code_mapped,449,,mapped,processed_data/boundaries/BR7300.geojson,,Bear,Either Sex,"Book Cliffs, Bitter Creek/South",Multiseason,MDF,1
25,24,BR7300,1,1,1,single_code_mapped,449,,mapped,processed_data/boundaries/BR7300.geojson,,Bear,Either Sex,"Book Cliffs, Bitter Creek/South",Multiseason,SFW,1
26,25,BR7300,1,1,1,single_code_mapped,449,,mapped,processed_data/boundaries/BR7300.geojson,,Bear,Either Sex,"Book Cliffs, Bitter Creek/South",Multiseason,SFW,1
27,26,BR7301,1,1,1,single_code_mapped,12,,mapped,processed_data/boundaries/BR7301.geojson,,Bear,Either Sex,"Book Cliffs, Little Creek Roadless",Multiseason,SFW,1
28,27,BR7310,1,1,1,single_code_mapped,455,,mapped,processed_data/boundaries/BR7310.geojson,,Bear,Either Sex,Boulder/Kaiparowits,Multiseason,SFW,1
29,28,BR7310,1,1,1,single_code_mapped,455,,mapped,processed_data/boundaries/BR7310.geojson,,Bear,Either Sex,Boulder/Kaiparowits,Multiseason,SFW,1
30,29,BR7310,1,1,1,single_code_mapped,455,,mapped,processed_data/boundaries/BR7310.geojson,,Bear,Either Sex,Boulder/Kaiparowits,Multiseason,SFW,1
31,30,BR7310,1,1,1,single_code_mapped,455,,mapped,processed_data/boundaries/BR7310.geojson,,Bear,Either Sex,Boulder/Kaiparowits,Multiseason,SFW,1
32,31,BR7324|BR7325,2,2,2,multi_candidate_all_mapped,610,,mapped,processed_data/boundaries/BR7324.geojson|processed_data/boundaries/BR7325.geojson,,Bear,Either Sex,Chalk Creek/East Canyon/Morgan-South Rich,Multiseason,DSC,1
33,32,BR7313,1,1,1,single_code_mapped,444,,mapped,processed_data/boundaries/BR7313.geojson,,Bear,Either Sex,Diamond Mtn/Vernal/Bonanza,Multiseason,MDF,1
34,33,BR7313,1,1,1,single_code_mapped,444,,mapped,processed_data/boundaries/BR7313.geojson,,Bear,Either Sex,Diamond Mtn/Vernal/Bonanza,Multiseason,SFW,1
35,34,BR7311,1,1,1,single_code_mapped,175,,mapped,processed_data/boundaries/BR7311.geojson,,Bear,Either Sex,Fishlake/Thousand Lakes,Multiseason,SFW,1
36,35,BR7321,1,1,1,single_code_mapped,5101,138;611,mapped,processed_data/boundaries/BR7321.geojson,,Bear,Either Sex,"Kamas/North Slope, Summit",Multiseason,MDF,1
37,36,BR7307,1,1,1,single_code_mapped,684,,mapped,processed_data/boundaries/BR7307.geojson,,Bear,Either Sex,La Sal,Multiseason,UHA,1
38,37,BR7307,1,1,1,single_code_mapped,684,,mapped,processed_data/boundaries/BR7307.geojson,,Bear,Either Sex,La Sal,Multiseason,SFW,1
39,38,BR7307,1,1,1,single_code_mapped,684,,mapped,processed_data/boundaries/BR7307.geojson,,Bear,Either Sex,La Sal,Multiseason,MDF,1
40,39,BR7307,1,1,1,single_code_mapped,684,,mapped,processed_data/boundaries/BR7307.geojson,,Bear,Either Sex,La Sal,Multiseason,SFW,1
41,40,BR7303,1,1,1,single_code_mapped,52,,mapped,processed_data/boundaries/BR7303.geojson,,Bear,Either Sex,Manti-North,Multiseason,UHA,1
42,41,BR7303,1,1,1,single_code_mapped,52,,mapped,processed_data/boundaries/BR7303.geojson,,Bear,Either Sex,Manti-North,Multiseason,MDF,1
