excel_row,workbook_hunt_code,workbook_boundary_id,workbook_species,workbook_hunt_name,workbook_sex_type,workbook_weapon,workbook_organization,matched_dwr_hunt_code,matched_dwr_boundary_id,matched_dwr_season,matched_dwr_source_file,status
111,DB1048,248,Deer,"West Desert, Vernon",Buck,Archery,SFW,DB1016,248,Aug 15 2026 - Sept 11 2026,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,applied_dwr_name_weapon_match_code_disagreement
227,PB5027,15,Pronghorn,"Book Cliffs, South",Buck,Archery,NWTF,PB5002,15,Aug 15 2026 - Sept 11 2026,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Buck,applied_dwr_name_weapon_match_code_disagreement
230,PB5029,25,Pronghorn,"Box Elder, Puddle Valley",Buck,Muzzleloader,SFW,,,,,skipped_no_dwr_name_weapon_match
240,PB5331,453,Pronghorn,Mt Dutton/Paunsaugunt,Buck,Archery,SFW,PB5332,453,Aug 15 2026 - Sept 11 2026,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Buck,applied_dwr_name_weapon_match_code_disagreement
241,PB5037,129,Pronghorn,"Nine Mile, Anthro-Myton Bench",Buck,Muzzleloader,NWTF,PB5059,129,Sept 23 2026 - Oct 01 2026,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Buck,applied_dwr_name_weapon_match_code_disagreement
242,PB5037,129,Pronghorn,"Nine Mile, Anthro-Myton Bench",Buck,Muzzleloader,WCF,PB5059,129,Sept 23 2026 - Oct 01 2026,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Buck,applied_dwr_name_weapon_match_code_disagreement
245,PB5037,129,Pronghorn,"Nine Mile, Anthro-Myton Bench",Buck,Archery,WCF,PB5011,129,Aug 15 2026 - Sept 11 2026,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Buck,applied_dwr_name_weapon_match_code_disagreement
247,PB5037,129,Pronghorn,"Nine Mile, Anthro-Myton Bench",Buck,Muzzleloader,NWTF,PB5059,129,Sept 23 2026 - Oct 01 2026,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Buck,applied_dwr_name_weapon_match_code_disagreement
250,PB5040,289,Pronghorn,"North Slope, Three Corners/West Daggett",Buck,Archery,MDF,PB5012,289,Aug 15 2026 - Sept 11 2026,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Buck,applied_dwr_name_weapon_match_code_disagreement
251,PB5040,289,Pronghorn,"North Slope, Three Corners/West Daggett",Buck,Archery,SFW,PB5012,289,Aug 15 2026 - Sept 11 2026,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Buck,applied_dwr_name_weapon_match_code_disagreement
254,PB5041,718,Pronghorn,"Panguitch Lake/Zion, North",Buck,Muzzleloader,MDF,PB5061,718,Sept 23 2026 - Oct 01 2026,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Buck,applied_dwr_name_weapon_match_code_disagreement
255,PB5039,138,Pronghorn,Parker Mtn,Buck,Muzzleloader,MDF,PB5078,703,Sept 23 2026 - Oct 01 2026,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Buck,applied_dwr_name_weapon_match_code_disagreement
267,PB5039,138,Pronghorn,Southwest Desert,Buck,Archery,UAA,PB5018,625,Aug 15 2026 - Sept 11 2026,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Buck,applied_dwr_name_weapon_match_code_disagreement
271,PB5039,138,Pronghorn,Southwest Desert,Buck,Archery,SFW,PB5018,625,Aug 15 2026 - Sept 11 2026,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Buck,applied_dwr_name_weapon_match_code_disagreement
276,PB5039,138,Pronghorn,Vernal,Buck,Archery,SCI,PB5017,208,Aug 15 2026 - Sept 11 2026,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Buck,applied_dwr_name_weapon_match_code_disagreement
279,PB5039,138,Pronghorn,"West Desert, Riverbed",Buck,Muzzleloader,NWTF,,,,,skipped_no_dwr_name_weapon_match
289,PB1000,5134,Pronghorn,"West Desert, Snake Valley",Buck,Archery,SFW,PB5021,246,Aug 15 2026 - Sept 11 2026,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Buck,applied_dwr_name_weapon_match_code_disagreement
292,RS0001,5135,Rocky Mountain Sheep,"Box Elder, Newfoundland Mtns",Male Only,Any Legal Weapon,UWSF,RS1003 | RS6703 | RS6704,20 | 20 | 20,"Oct 25 - Dec 31, 2025 | Oct 03 2026 - Oct 23 2026 | Oct 24 2026 - Nov 13 2026",conservation-permit-hunt-table-2025-27.csv | https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Rocky+Mountain+Bighorn+Sheep&gender=Male+Only | https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Rocky+Mountain+Bighorn+Sheep&gender=Male+Only,skipped_ambiguous_dwr_matches
293,RS0001,5135,Rocky Mountain Sheep,"Box Elder, Newfoundland Mtns",Male Only,Archery,UWSF,RS6722,20,Nov 14 2026 - Dec 06 2026,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Rocky+Mountain+Bighorn+Sheep&gender=Male+Only,applied_dwr_name_weapon_match_code_disagreement
