csv_row,hunt_code,boundary_id,species,sex_type,weapon,old_hunt_name,new_hunt_name,hunt_type,hunt_class,change_category
654,PB5325,557,Pronghorn,Buck,Any Legal Weapon,Allen Ranch CWMU,Allen Ranch,CWMU,CWMU,cwmu_hunt_type_label_removed
655,PB5314,558,Pronghorn,Buck,Any Legal Weapon,Westlake CWMU,Westlake,CWMU,CWMU,cwmu_hunt_type_label_removed
656,PD1031,558,Pronghorn,Doe,Any Legal Weapon,Westlake CWMU,Westlake,CWMU,CWMU,cwmu_hunt_type_label_removed
657,DB1204,559,Deer,Buck,Any Legal Weapon,Bally Watts CWMU,Bally Watts,CWMU,CWMU,cwmu_hunt_type_label_removed
658,DB1217,560,Deer,Buck,Any Legal Weapon,Causey Spring CWMU,Causey Spring,CWMU,CWMU,cwmu_hunt_type_label_removed
659,EA1122,560,Elk,Antlerless,Any Legal Weapon,Causey Spring CWMU,Causey Spring,CWMU,CWMU,cwmu_hunt_type_label_removed
660,EB3506,560,Elk,Bull,Any Legal Weapon,Causey Spring CWMU,Causey Spring,CWMU,CWMU,cwmu_hunt_type_label_removed
661,MA1009,560,Moose,Antlerless,Any Legal Weapon,Causey Spring CWMU,Causey Spring,CWMU,CWMU,cwmu_hunt_type_label_removed
662,MB6202,560,Moose,Bull,Any Legal Weapon,Causey Spring CWMU,Causey Spring,CWMU,CWMU,cwmu_hunt_type_label_removed
663,MB6201,561,Moose,Bull,Any Legal Weapon,Beaver Hollow CWMU,Beaver Hollow,CWMU,CWMU,cwmu_hunt_type_label_removed
664,DB1298,562,Deer,Buck,Any Legal Weapon,Strawberry Ridge CWMU,Strawberry Ridge,CWMU,CWMU,cwmu_hunt_type_label_removed
665,EA1170,562,Elk,Antlerless,Any Legal Weapon,Strawberry Ridge CWMU,Strawberry Ridge,CWMU,CWMU,cwmu_hunt_type_label_removed
666,EB3557,562,Elk,Bull,Any Legal Weapon,Strawberry Ridge CWMU,Strawberry Ridge,CWMU,CWMU,cwmu_hunt_type_label_removed
667,MB6222,562,Moose,Bull,Any Legal Weapon,Strawberry Ridge CWMU,Strawberry Ridge,CWMU,CWMU,cwmu_hunt_type_label_removed
668,DB1260,565,Deer,Buck,Any Legal Weapon,Middle Ridge CWMU,Middle Ridge,CWMU,CWMU,cwmu_hunt_type_label_removed
669,DB1232,567,Deer,Buck,Any Legal Weapon,Durst Mountain CWMU,Durst Mountain,CWMU,CWMU,cwmu_hunt_type_label_removed
670,EA1131,567,Elk,Antlerless,Any Legal Weapon,Durst Mountain CWMU,Durst Mountain,CWMU,CWMU,cwmu_hunt_type_label_removed
671,EB3516,567,Elk,Bull,Any Legal Weapon,Durst Mountain CWMU,Durst Mountain,CWMU,CWMU,cwmu_hunt_type_label_removed
672,DB1228,568,Deer,Buck,Any Legal Weapon,Deseret CWMU,Deseret,CWMU,CWMU,cwmu_hunt_type_label_removed
673,EA1129,568,Elk,Antlerless,Any Legal Weapon,Deseret CWMU,Deseret,CWMU,CWMU,cwmu_hunt_type_label_removed
