row,no,species,hunt_name,old_sex_type,new_sex_type,old_weapon,new_weapon,old_season,new_season,notes
181,180,Elk,Nebo/San Pitch Mtns,Bull,Bull,"Any Legal Weapon, late",Any Legal Weapon,,Late,moved_timing_from_weapon_to_season
183,182,Elk,Nebo/San Pitch Mtns,Bull,Bull,Hunter's Choice,,,Hunter's Choice,moved_hunters_choice_from_weapon_to_season
186,185,Elk,Panguitch Lake,Bull,Bull,"Any Legal Weapon, late",Any Legal Weapon,,Late,moved_timing_from_weapon_to_season
187,186,Elk,Panguitch Lake,Bull,Bull,Hunter's Choice,,,Hunter's Choice,moved_hunters_choice_from_weapon_to_season
189,188,Elk,San Juan,Bull,Bull,"Any Legal Weapon, late",Any Legal Weapon,,Late,moved_timing_from_weapon_to_season
190,189,Elk,San Juan,Bull,Bull,"Any Legal Weapon, mid",Any Legal Weapon,,Mid,moved_timing_from_weapon_to_season
192,191,Elk,San Juan,Bull,Bull,Hunter's Choice,,,Hunter's Choice,moved_hunters_choice_from_weapon_to_season
194,193,Elk,"Southwest Desert, South",Bull,Bull,"Any Legal Weapon, late",Any Legal Weapon,,Late,moved_timing_from_weapon_to_season
195,194,Elk,"Southwest Desert, South",Bull,Bull,"Any Legal Weapon, mid",Any Legal Weapon,,Mid,moved_timing_from_weapon_to_season
197,196,Elk,"Southwest Desert, South",Bull,Bull,Hunter's Choice,,,Hunter's Choice,moved_hunters_choice_from_weapon_to_season
201,200,Elk,Wasatch Mtns,Bull,Bull,"Any Legal Weapon, late",Any Legal Weapon,,Late,moved_timing_from_weapon_to_season
202,201,Elk,Wasatch Mtns,Bull,Bull,"Any Legal Weapon, mid",Any Legal Weapon,,Mid,moved_timing_from_weapon_to_season
204,203,Elk,Wasatch Mtns,Bull,Bull,Hunter's Choice,,,Hunter's Choice,moved_hunters_choice_from_weapon_to_season
205,204,Elk,Wasatch Mtns,Bull,Bull,Hunter's Choice,,,Hunter's Choice,moved_hunters_choice_from_weapon_to_season
215,214,Mountain Goat,Beaver,Either Sex,Either Sex,"Any Legal Weapon, early",Any Legal Weapon,,Early,moved_timing_from_weapon_to_season
222,221,Pronghorn,Beaver,Buck,Buck,Hunter's Choice,,,Hunter's Choice,moved_hunters_choice_from_weapon_to_season
223,222,Pronghorn,Beaver,Buck,Buck,Hunter's Choice,,,Hunter's Choice,moved_hunters_choice_from_weapon_to_season
292,291,Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtns",Male Only,Male Only,"Any Legal Weapon, early",Any Legal Weapon,,Early,moved_timing_from_weapon_to_season
293,292,Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtns",Male Only,Male Only,"Any Legal Weapon, late",Any Legal Weapon,,Late,moved_timing_from_weapon_to_season
294,293,Rocky Mountain Bighorn Sheep,"Fillmore, Oak Creek",Male Only,Male Only,"Any Legal Weapon, late",Any Legal Weapon,,Late,moved_timing_from_weapon_to_season
