hunt_code,source_hunt_name,source_species,source_sex_type,source_hunt_type,source_weapon,source_season,source_permits_res,source_permits_nr,source_permits_total,canonical_match_count,canonical_permit_sets,status,source_file
BI6505,Henry Mtns,Bison,Cow Only,Once-in-a-lifetime,Any Legal Weapon,Dec 9 2026 - Dec 20 2026,8,3,11,67,25|3|28,permit_mismatch,dwr_huntboundary_bison_cow_only.json
BI6506,Henry Mtns,Bison,Cow Only,Once-in-a-lifetime,Any Legal Weapon,"Dec 23, 2026 - Jan 3, 2027",11,0,11,67,30|0|30,permit_mismatch,dwr_huntboundary_bison_cow_only.json
BI6529,"Book Cliffs, Little Creek/South",Bison,Cow Only,Once-in-a-lifetime,Any Legal Weapon,Oct 17 2026 - Oct 27 2026,8,0,8,67,8|0|8,matched_permit_split,dwr_huntboundary_bison_cow_only.json
BI6536,"Book Cliffs, Bitter Creek",Bison,Cow Only,Once-in-a-lifetime,Any Legal Weapon,Nov 14 2026 - Nov 29 2026,15,0,15,67,2|0|2,permit_mismatch,dwr_huntboundary_bison_cow_only.json
BI6539,Henry Mtns,Bison,Cow Only,Once-in-a-lifetime,Any Legal Weapon,"Jan 6 - 17, 2027",11,0,11,0,,missing_from_canonical,dwr_huntboundary_bison_cow_only.json
BI1000,Bison - Statewide Permit,Bison,Hunters Choice,Statewide,Any Legal Weapon,"Aug 1, 2026 - Jan 31, 2027",,,0,1,1||1,permit_mismatch,dwr_huntboundary_bison_hunters_choice.json
BI6500,Antelope Island,Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,Dec 07 2026 - Dec 09 2026,2,0,2,67,2|0|2,matched_permit_split,dwr_huntboundary_bison_hunters_choice.json
BI6503,Henry Mtns,Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,Oct 28 2026 - Nov 8 2026,4,2,6,67,4|2|6,matched_permit_split,dwr_huntboundary_bison_hunters_choice.json
BI6504,Henry Mtns,Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,Nov 11 2026 - Nov 22 2026,5,2,7,67,5|2|7,matched_permit_split,dwr_huntboundary_bison_hunters_choice.json
BI6509,Henry Mtns,Bison,Hunters Choice,Once-in-a-lifetime,Archery,"Jan 18 - 31, 2027",5,0,5,67,4|0|4,permit_mismatch,dwr_huntboundary_bison_hunters_choice.json
BI6516,Henry Mtns,Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,Nov 25 2026 - Dec 6 2026,6,0,6,67,5|0|5,permit_mismatch,dwr_huntboundary_bison_hunters_choice.json
BI6527,Nine Mile,Bison,Hunters Choice,General Season,Any Legal Weapon,"Aug 1, 2025 - Jan 31, 2026",,,0,0,,missing_from_canonical,dwr_huntboundary_bison_hunters_choice.json
BI6528,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Once-in-a-lifetime,Archery,Aug 15 2026 - Sept 11 2026,6,0,6,67,5|0|5,permit_mismatch,dwr_huntboundary_bison_hunters_choice.json
BI6531,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,Sept 21 2026 - Oct 02 2026,10,0,10,67,7|0|7,permit_mismatch,dwr_huntboundary_bison_hunters_choice.json
BI6532,"Book Cliffs, Bitter Creek",Bison,Hunters Choice,Once-in-a-lifetime,Archery,Aug 15 2026 - Sept 11 2026,6,0,6,67,5|0|5,permit_mismatch,dwr_huntboundary_bison_hunters_choice.json
BI6534,"Book Cliffs, Bitter Creek",Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,Sept 12 2026 - Sept 20 2026,10,0,10,67,5|0|5,permit_mismatch,dwr_huntboundary_bison_hunters_choice.json
BI6535,"Book Cliffs, Bitter Creek",Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,Oct 03 2026 - Oct 15 2026,8,0,8,67,5|0|5,permit_mismatch,dwr_huntboundary_bison_hunters_choice.json
BI6537,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,Nov 07 2026 - Jan 31 2027,8,7,15,67,5|5|10,permit_mismatch,dwr_huntboundary_bison_hunters_choice.json
BI6538,"Nine Mile, Private Lands Only",Bison,Hunters Choice,General Season,Any Legal Weapon,"Aug 1, 2025 - Jan 31, 2026 | Harvest survey due by Feb 15, 2026 Visit: http://wildlife.utah.gov/harvest to submit your survey",,,0,0,,missing_from_canonical,dwr_huntboundary_bison_hunters_choice.json
BR1000,Black Bear - Statewide Permit,Black Bear,Either Sex,Statewide,Any Legal Weapon,Any open season on any open bear unit during the 2026 season. See 2026 Black Bear Guidebook for season dates and take methods.,,,0,1,1||1,permit_mismatch,dwr_huntboundary_black_bear_either_sex.json
BR1001,Black Bear Harvest Objective Units,Black Bear,Either Sex,Harvest Objective,Any Legal Weapon,Visit wildlife.utah.gov/bearharvest for units & closures. You are required to complete the annual bear orientation course & carry proof while hunting bear. Visit wildlife.utah.gov/bear for details.,,,0,0,,missing_from_canonical,dwr_huntboundary_black_bear_either_sex.json
BR1007,Black Bear Pursuit - Resident,Black Bear,Either Sex,Pursuit,Pursuit Only,"Spring: Mar 28-May 25, 2026 | Summer: July 6-July 31, 2026 | Fall: Nov 2-8, 2026",,,0,0,,missing_from_canonical,dwr_huntboundary_black_bear_either_sex.json
