target_file,row_index_zero_based,synthetic_huntCode,species,sourceSpecies,area,weapon,organizations,sourceRowNumbers,old_sourceHuntCodes,new_sourceHuntCodes,selected_codes_from_join,possible_codes_from_join,join_match_confidences,join_match_methods
data/conservation-permit-hunt-table-2025-27.json,0,CP-BISON-BOOK-CLIFFS-BITTER-CREEK-HUNTER-S-CHOICE--ANY-LEGAL-WEAPON,Bison,Bison,"Book Cliffs, Bitter Creek, Hunter's Choice",Any Legal Weapon,UWSF,65,,BI6523|BI6532|BI6534|BI6535|BI6536,,BI6523|BI6532|BI6534|BI6535|BI6536,MEDIUM,AMBIGUOUS_AREA_CONDITION
data/conservation-permit-hunt-table-2025-27.json,1,CP-BISON-BOOK-CLIFFS-LITTLE-CREEK-SOUTH-HUNTER-S-CHOICE--ANY-LEGAL-WEAPON,Bison,Bison,"Book Cliffs, Little Creek/South, Hunter's Choice",Any Legal Weapon,SFW,66,,BI6528|BI6529|BI6530|BI6531|BI6537,,BI6528|BI6529|BI6530|BI6531|BI6537,MEDIUM,AMBIGUOUS_AREA_CONDITION
data/conservation-permit-hunt-table-2025-27.json,2,CP-BISON-HENRY-MTNS-COW-ONLY-LATE--ANY-LEGAL-WEAPON,Bison,Bison,"Henry Mtns, Cow Only (late)",Any Legal Weapon,SFW,68,,BI6503|BI6504|BI6505|BI6506|BI6509|BI6516|BI6539,,BI6503|BI6504|BI6505|BI6506|BI6509|BI6516|BI6539,MEDIUM,AMBIGUOUS_AREA_CONDITION
data/conservation-permit-hunt-table-2025-27.json,3,CP-BISON-HENRY-MTNS-HUNTER-S-CHOICE-EARLY--ANY-LEGAL-WEAPON,Bison,Bison,"Henry Mtns, Hunter's Choice (early)",Any Legal Weapon,RMEF,67,,BI6503|BI6504|BI6505|BI6506|BI6509|BI6516|BI6539,,BI6503|BI6504|BI6505|BI6506|BI6509|BI6516|BI6539,MEDIUM,AMBIGUOUS_AREA_CONDITION
data/conservation-permit-hunt-table-2025-27.json,4,CP-BISON-HENRY-MTNS-HUNTER-S-CHOICE-LATE--ANY-LEGAL-WEAPON,Bison,Bison,"Henry Mtns, Hunter's Choice (late)",Any Legal Weapon,SCI,69,,BI6503|BI6504|BI6505|BI6506|BI6509|BI6516|BI6539,,BI6503|BI6504|BI6505|BI6506|BI6509|BI6516|BI6539,MEDIUM,AMBIGUOUS_AREA_CONDITION
data/conservation-permit-hunt-table-2025-27.json,5,CP-BISON-STATEWIDE--ANY-LEGAL-WEAPON,Bison,Bison,Statewide,Any Legal Weapon,SFW,70,BI6510,BI1000|BI6510,BI1000,BI1000,HIGH,statewide_boundary_equivalent_to_sportsman_tag
data/conservation-permit-hunt-table-2025-27.json,31,CP-BLACK-BEAR-STATEWIDE-EITHER-SEX-MULTISEASON,Black Bear,Bear,Statewide,ALW,MDF,64,BR7319,BR1000|BR7319,BR1000,BR1000,HIGH,statewide_boundary_equivalent_to_sportsman_tag
data/conservation-permit-hunt-table-2025-27.json,65,CP-DEER-STATEWIDE-BUCK-ANY-LEGAL-WEAPON,Deer,Deer,Statewide,Any Legal Weapon,MDF,117,,DB0007,DB0007,DB0007,HIGH,statewide_boundary_equivalent_to_sportsman_tag
data/conservation-permit-hunt-table-2025-27.json,74,CP-DESERT-BIGHORN-SHEEP-KAIPAROWITS-ESCALANTE-RAM-ANY-LEGAL-WEAPON,Desert Bighorn Sheep,Desert Bighorn Sheep,"Kaiparowits, Escalante",Any Legal Weapon,UWSF,72,DS1003,DS1003|DS6602,,DS1003|DS6602,MEDIUM,AMBIGUOUS_AREA_CONDITION
data/conservation-permit-hunt-table-2025-27.json,76,CP-DESERT-BIGHORN-SHEEP-LA-SAL-POTASH-SOUTH-CISCO-RAM-ANY-LEGAL-WEAPON,Desert Bighorn Sheep,Desert Bighorn Sheep,"La Sal, Potash/South Cisco",Any Legal Weapon,SFW,74,,DS6604,DS6604,DS6604,HIGH,AREA_CONDITION_SELECTED
data/conservation-permit-hunt-table-2025-27.json,77,CP-DESERT-BIGHORN-SHEEP-PINE-VALLEY-BEAVER-DAM-RAM-ANY-LEGAL-WEAPON,Desert Bighorn Sheep,Desert Bighorn Sheep,"Pine Valley, Beaver Dam",Any Legal Weapon,UWSF,75,,DS6605|DS6621,,DS6605|DS6621,MEDIUM,AMBIGUOUS_AREA_CONDITION
data/conservation-permit-hunt-table-2025-27.json,80,CP-DESERT-BIGHORN-SHEEP-STATEWIDE-RAM-ANY-LEGAL-WEAPON,Desert Bighorn Sheep,Desert Bighorn Sheep,Statewide,Any Legal Weapon,SFW,78,DS6618,DS1000|DS6618,DS1000,DS1000,HIGH,statewide_boundary_equivalent_to_sportsman_tag
data/conservation-permit-hunt-table-2025-27.json,97,CP-ELK-CACHE-ANTLERLESS-ANY-LEGAL-WEAPON,Elk,Antlerless Elk,Cache,Any Legal Weapon,NWTF,3,,EA2041,EA2041,EA2041,HIGH,AREA_CONDITION_SELECTED
