workbook,sheet,row,hunt_code,conservation_code,backup_path
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,16,BR7321,C_BR7321,audits/2025_canonical_finalization/backups/2025-27 Conservation Permits.before_conservation_internal_codes_20260622T123325Z.xlsx
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,17,BR7307,C_BR7307,audits/2025_canonical_finalization/backups/2025-27 Conservation Permits.before_conservation_internal_codes_20260622T123325Z.xlsx
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,18,BR7307,C_BR7307,audits/2025_canonical_finalization/backups/2025-27 Conservation Permits.before_conservation_internal_codes_20260622T123325Z.xlsx
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,19,BR7307,C_BR7307,audits/2025_canonical_finalization/backups/2025-27 Conservation Permits.before_conservation_internal_codes_20260622T123325Z.xlsx
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,20,BR7307,C_BR7307,audits/2025_canonical_finalization/backups/2025-27 Conservation Permits.before_conservation_internal_codes_20260622T123325Z.xlsx
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,21,BR7303,C_BR7303,audits/2025_canonical_finalization/backups/2025-27 Conservation Permits.before_conservation_internal_codes_20260622T123325Z.xlsx
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,22,BR7303,C_BR7303,audits/2025_canonical_finalization/backups/2025-27 Conservation Permits.before_conservation_internal_codes_20260622T123325Z.xlsx
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,23,BR7303,C_BR7303,audits/2025_canonical_finalization/backups/2025-27 Conservation Permits.before_conservation_internal_codes_20260622T123325Z.xlsx
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,24,BR7304,C_BR7304,audits/2025_canonical_finalization/backups/2025-27 Conservation Permits.before_conservation_internal_codes_20260622T123325Z.xlsx
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,25,BR7304,C_BR7304,audits/2025_canonical_finalization/backups/2025-27 Conservation Permits.before_conservation_internal_codes_20260622T123325Z.xlsx
