csv_row,hunt_code,boundary_id,species,sex_type,weapon,old_hunt_name,new_hunt_name,old_hunt_type,new_hunt_type,old_hunt_class,new_hunt_class,change_category
822,LO1542,615,Deer,Buck,Any Legal Weapon (Late),Nine Mile,Nine Mile,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
823,LO1572,615,Deer,Buck,Muzzleloader,Nine Mile,Nine Mile,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
824,LO1593,615,Deer,Buck,Any Legal Weapon (Early),Nine Mile,Nine Mile,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
836,EA2016,616,Elk,Antlerless,Any Legal Weapon,Nebo,Nebo,Private Lands Only,O.T.C.,Antlerless,Private Land Only,private_land_split_to_hunt_class
839,LO1504,616,Deer,Buck,Archery,Nebo,Nebo,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
840,LO1534,616,Deer,Buck,Any Legal Weapon (Late),Nebo,Nebo,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
841,LO1564,616,Deer,Buck,Muzzleloader,Nebo,Nebo,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
854,EA2009,617,Elk,Antlerless,Any Legal Weapon,La Sal Mtns,La Sal Mtns,Private Lands Only,O.T.C.,Antlerless,Private Land Only,private_land_split_to_hunt_class
862,EL3009,617,Elk,Bull,Archery,La Sal La Sal Mtns,La Sal La Sal Mtns,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
863,EL3045,617,Elk,Bull,Any Legal Weapon,La Sal La Sal Mtns,La Sal La Sal Mtns,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
864,EL3046,617,Elk,Bull,Any Legal Weapon,La Sal La Sal Mtns,La Sal La Sal Mtns,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
865,EL3087,617,Elk,Bull,Muzzleloader,La Sal La Sal Mtns,La Sal La Sal Mtns,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
866,EL3182,617,Elk,Bull,Archery,La Sal La Sal Mtns,La Sal La Sal Mtns,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
867,EL3183,617,Elk,Bull,Any Legal Weapon,La Sal La Sal Mtns,La Sal La Sal Mtns,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
869,LO1509,617,Deer,Buck,Archery,"La Sal, La Sal Mtns","La Sal, La Sal Mtns",General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
870,LO1539,617,Deer,Buck,Any Legal Weapon (Late),"La Sal, La Sal Mtns","La Sal, La Sal Mtns",General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
871,LO1569,617,Deer,Buck,Muzzleloader,"La Sal, La Sal Mtns","La Sal, La Sal Mtns",General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
877,LO1521,618,Deer,Buck,Archery,"San Juan, Abajo Mtns","San Juan, Abajo Mtns",General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
878,LO1551,618,Deer,Buck,Any Legal Weapon (Late),"San Juan, Abajo Mtns","San Juan, Abajo Mtns",General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
879,LO1581,618,Deer,Buck,Muzzleloader,"San Juan, Abajo Mtns","San Juan, Abajo Mtns",General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
885,LO1503,619,Deer,Buck,Archery,Manti/San Rafael,Manti/San Rafael,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
886,LO1533,619,Deer,Buck,Any Legal Weapon (Late),Manti/San Rafael,Manti/San Rafael,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
887,LO1563,619,Deer,Buck,Muzzleloader,Manti/San Rafael,Manti/San Rafael,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
893,EA2012,620,Elk,Antlerless,Any Legal Weapon,"Wasatch Mtns, West-Central","Wasatch Mtns, West-Central",Private Lands Only,O.T.C.,Antlerless,Private Land Only,private_land_split_to_hunt_class
894,LO1526,620,Deer,Buck,Archery,"Wasatch Mtns, West","Wasatch Mtns, West",General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
895,LO1556,620,Deer,Buck,Any Legal Weapon (Late),"Wasatch Mtns, West","Wasatch Mtns, West",General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
896,LO1586,620,Deer,Buck,Muzzleloader,"Wasatch Mtns, West","Wasatch Mtns, West",General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
903,LO1525,621,Deer,Buck,Archery,"Wasatch Mtns, East","Wasatch Mtns, East",General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
904,LO1555,621,Deer,Buck,Any Legal Weapon (Late),"Wasatch Mtns, East","Wasatch Mtns, East",General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
905,LO1585,621,Deer,Buck,Muzzleloader,"Wasatch Mtns, East","Wasatch Mtns, East",General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
912,LO1524,625,Deer,Buck,Archery,Southwest Desert,Southwest Desert,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
913,LO1554,625,Deer,Buck,Any Legal Weapon (Late),Southwest Desert,Southwest Desert,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
914,LO1584,625,Deer,Buck,Muzzleloader,Southwest Desert,Southwest Desert,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
915,LP5049,625,Pronghorn,Buck,Any Legal Weapon,Southwest Desert - Private Land Only,Southwest Desert,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
926,LP5025,628,Pronghorn,Buck,Any Legal Weapon,Beaver - Private Land Only,Beaver,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
945,EL3010,629,Elk,Bull,Archery,Monroe,Monroe,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
946,EL3047,629,Elk,Bull,Any Legal Weapon,Monroe,Monroe,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
947,EL3048,629,Elk,Bull,Any Legal Weapon,Monroe,Monroe,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
948,EL3088,629,Elk,Bull,Muzzleloader,Monroe,Monroe,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
949,EL3184,629,Elk,Bull,Archery,Monroe,Monroe,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
950,EL3185,629,Elk,Bull,Any Legal Weapon,Monroe,Monroe,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
951,LO1510,629,Deer,Buck,Archery,Monroe,Monroe,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
952,LO1540,629,Deer,Buck,Any Legal Weapon (Late),Monroe,Monroe,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
953,LO1570,629,Deer,Buck,Muzzleloader,Monroe,Monroe,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
963,EA2017,630,Elk,Antlerless,Any Legal Weapon,Mt Dutton,Mt Dutton,Private Lands Only,O.T.C.,Antlerless,Private Land Only,private_land_split_to_hunt_class
971,EL3011,630,Elk,Bull,Archery,Mt Dutton,Mt Dutton,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
972,EL3049,630,Elk,Bull,Any Legal Weapon,Mt Dutton,Mt Dutton,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
973,EL3050,630,Elk,Bull,Any Legal Weapon,Mt Dutton,Mt Dutton,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
974,EL3089,630,Elk,Bull,Muzzleloader,Mt Dutton,Mt Dutton,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
975,EL3186,630,Elk,Bull,Archery,Mt Dutton,Mt Dutton,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
976,EL3187,630,Elk,Bull,Any Legal Weapon,Mt Dutton,Mt Dutton,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
978,LO1511,630,Deer,Buck,Archery,Mt Dutton,Mt Dutton,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
979,LO1541,630,Deer,Buck,Any Legal Weapon (Late),Mt Dutton,Mt Dutton,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
980,LO1571,630,Deer,Buck,Muzzleloader,Mt Dutton,Mt Dutton,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
985,LD1108,632,Deer,Buck,Restricted Rifle,Thousand Lakes - Private Land Only,Thousand Lakes,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
992,LO1519,633,Deer,Buck,Archery,Fishlake,Fishlake,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
993,LO1549,633,Deer,Buck,Any Legal Weapon (Late),Fishlake,Fishlake,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
994,LO1579,633,Deer,Buck,Muzzleloader,Fishlake,Fishlake,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
995,LO1596,633,Deer,Buck,Any Legal Weapon (Early),Fishlake,Fishlake,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1006,EA2018,634,Elk,Antlerless,Any Legal Weapon,Panguitch Lake,Panguitch Lake,Private Lands Only,O.T.C.,Antlerless,Private Land Only,private_land_split_to_hunt_class
1014,EL3015,634,Elk,Bull,Archery,Panguitch Lake,Panguitch Lake,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1015,EL3056,634,Elk,Bull,Any Legal Weapon,Panguitch Lake,Panguitch Lake,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1016,EL3057,634,Elk,Bull,Any Legal Weapon,Panguitch Lake,Panguitch Lake,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1017,EL3093,634,Elk,Bull,Muzzleloader,Panguitch Lake,Panguitch Lake,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1018,EL3188,634,Elk,Bull,Archery,Panguitch Lake,Panguitch Lake,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1019,EL3189,634,Elk,Bull,Any Legal Weapon,Panguitch Lake,Panguitch Lake,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1020,LO1516,634,Deer,Buck,Archery,Panguitch Lake,Panguitch Lake,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1021,LO1546,634,Deer,Buck,Any Legal Weapon (Late),Panguitch Lake,Panguitch Lake,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1022,LO1576,634,Deer,Buck,Muzzleloader,Panguitch Lake,Panguitch Lake,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1023,LO1594,634,Deer,Buck,Any Legal Weapon (Early),Panguitch Lake,Panguitch Lake,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1032,EA2020,635,Elk,Antlerless,Any Legal Weapon,Zion,Zion,Private Lands Only,O.T.C.,Antlerless,Private Land Only,private_land_split_to_hunt_class
1033,LO1529,635,Deer,Buck,Archery,Zion,Zion,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1034,LO1559,635,Deer,Buck,Any Legal Weapon (Late),Zion,Zion,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1035,LO1589,635,Deer,Buck,Muzzleloader,Zion,Zion,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1036,LO1597,635,Deer,Buck,Any Legal Weapon (Early),Zion,Zion,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1044,LO1517,636,Deer,Buck,Archery,Pine Valley,Pine Valley,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1045,LO1547,636,Deer,Buck,Any Legal Weapon (Late),Pine Valley,Pine Valley,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1046,LO1577,636,Deer,Buck,Muzzleloader,Pine Valley,Pine Valley,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1047,LO1595,636,Deer,Buck,Any Legal Weapon (Early),Pine Valley,Pine Valley,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1067,LO1614,672,Deer,Buck,Archery,"Beaver, West","Beaver, West",General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1068,LO1615,672,Deer,Buck,Restricted Muzzleloader,"Beaver, West","Beaver, West",General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1069,LO1616,672,Deer,Buck,Restricted Rifle,"Beaver, West","Beaver, West",General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1074,EL3031,682,Elk,Bull,Any Legal Weapon,Box Elder Pilot Mtn,Box Elder Pilot Mtn,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1075,EL3130,682,Elk,Bull,Archery,Box Elder Pilot Mtn,Box Elder Pilot Mtn,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1087,EA2021,685,Elk,Antlerless,Any Legal Weapon,"Beaver, East","Beaver, East",Private Lands Only,O.T.C.,Antlerless,Private Land Only,private_land_split_to_hunt_class
1095,EL3000,685,Elk,Bull,Archery,Beaver East,Beaver East,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1096,EL3024,685,Elk,Bull,Any Legal Weapon,Beaver East,Beaver East,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1097,EL3025,685,Elk,Bull,Any Legal Weapon,Beaver East,Beaver East,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1098,EL3077,685,Elk,Bull,Muzzleloader,Beaver East,Beaver East,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1099,EL3158,685,Elk,Bull,Archery,Beaver East,Beaver East,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1100,EL3159,685,Elk,Bull,Any Legal Weapon,Beaver East,Beaver East,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1101,LO1611,685,Deer,Buck,Archery,"Beaver, East","Beaver, East",General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1102,LO1612,685,Deer,Buck,Muzzleloader,"Beaver, East","Beaver, East",General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1103,LO1613,685,Deer,Buck,Any Legal Weapon (Late),"Beaver, East","Beaver, East",General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1126,EA2010,710,Elk,Antlerless,Any Legal Weapon,San Juan,San Juan,Private Lands Only,O.T.C.,Antlerless,Private Land Only,private_land_split_to_hunt_class
1152,LP5031,755,Pronghorn,Buck,Any Legal Weapon,"Box Elder, West - Private Land Only","Box Elder, West",Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1163,LO1506,804,Deer,Buck,Archery,Fillmore,Fillmore,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1164,LO1536,804,Deer,Buck,Any Legal Weapon (Late),Fillmore,Fillmore,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1165,LO1566,804,Deer,Buck,Muzzleloader,Fillmore,Fillmore,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1166,LO1591,804,Deer,Buck,Any Legal Weapon (Early),Fillmore,Fillmore,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1178,EA2014,817,Elk,Antlerless,Any Legal Weapon,"Wasatch Mtns, Avintaquin-White River","Wasatch Mtns, Avintaquin-White River",Private Lands Only,O.T.C.,Antlerless,Private Land Only,private_land_split_to_hunt_class
1218,EL3147,867,Elk,Bull,Any Legal Weapon,Box Elder Grouse Creek,Box Elder Grouse Creek,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1219,EL3150,867,Elk,Bull,Any Legal Weapon,Box Elder Grouse Creek,Box Elder Grouse Creek,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1220,EL3153,867,Elk,Bull,Muzzleloader,Box Elder Grouse Creek,Box Elder Grouse Creek,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1221,EA2046,868,Elk,Antlerless,Any Legal Weapon,"Box Elder, Sawtooth","Box Elder, Sawtooth",Private Lands Only,O.T.C.,Antlerless,Private Land Only,private_land_split_to_hunt_class
1224,EL3135,869,Elk,Bull,Archery,Barney Top/Kaiparowits,Barney Top/Kaiparowits,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1225,EL3142,869,Elk,Bull,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",Barney Top/Kaiparowits,Barney Top/Kaiparowits,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1228,EL3136,871,Elk,Bull,Archery,Southwest Desert North,Southwest Desert North,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1229,EL3143,871,Elk,Bull,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",Southwest Desert North,Southwest Desert North,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1237,EL3146,872,Elk,Bull,Archery,Southwest Desert South,Southwest Desert South,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1238,EL3149,872,Elk,Bull,Any Legal Weapon,Southwest Desert South,Southwest Desert South,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1239,EL3152,872,Elk,Bull,Any Legal Weapon,Southwest Desert South,Southwest Desert South,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1240,EL3155,872,Elk,Bull,Muzzleloader,Southwest Desert South,Southwest Desert South,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1241,EL3197,872,Elk,Bull,Archery,Southwest Desert South,Southwest Desert South,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1242,EL3198,872,Elk,Bull,Any Legal Weapon,Southwest Desert South,Southwest Desert South,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1276,TK1020,898,Turkey,Either Sex,Any Legal Weapon,Central Region - Private land only,Central Region,Fall Management,Fall Management,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1284,EL3160,899,Elk,Bull,Archery,Book Cliffs Bitter Creek/East,Book Cliffs Bitter Creek/East,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1285,EL3161,899,Elk,Bull,Archery,Book Cliffs Bitter Creek/East,Book Cliffs Bitter Creek/East,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1286,EL3162,899,Elk,Bull,Any Legal Weapon,Book Cliffs Bitter Creek/East,Book Cliffs Bitter Creek/East,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1287,EL3163,899,Elk,Bull,Any Legal Weapon,Book Cliffs Bitter Creek/East,Book Cliffs Bitter Creek/East,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1288,EL3164,899,Elk,Bull,Any Legal Weapon,Book Cliffs Bitter Creek/East,Book Cliffs Bitter Creek/East,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1289,EL3166,899,Elk,Bull,Muzzleloader,Book Cliffs Bitter Creek/East,Book Cliffs Bitter Creek/East,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1297,EL3173,901,Elk,Bull,Archery,Nebo/San Pitch Mtns,Nebo/San Pitch Mtns,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1298,EL3174,901,Elk,Bull,Archery,Nebo/San Pitch Mtns,Nebo/San Pitch Mtns,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1299,EL3175,901,Elk,Bull,Any Legal Weapon,Nebo/San Pitch Mtns,Nebo/San Pitch Mtns,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1300,EL3176,901,Elk,Bull,Any Legal Weapon,Nebo/San Pitch Mtns,Nebo/San Pitch Mtns,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1301,EL3177,901,Elk,Bull,Any Legal Weapon,Nebo/San Pitch Mtns,Nebo/San Pitch Mtns,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1302,EL3179,901,Elk,Bull,Muzzleloader,Nebo/San Pitch Mtns,Nebo/San Pitch Mtns,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1321,LO1623,925,Deer,Buck,Archery,Cedar/Stansbury,Cedar/Stansbury,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1322,LO1624,925,Deer,Buck,Muzzleloader,Cedar/Stansbury,Cedar/Stansbury,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1323,LO1625,925,Deer,Buck,Any Legal Weapon (Late),Cedar/Stansbury,Cedar/Stansbury,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1329,LO1617,926,Deer,Buck,Archery,"West Desert, Swasey","West Desert, Swasey",General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1330,LO1618,926,Deer,Buck,Muzzleloader,"West Desert, Swasey","West Desert, Swasey",General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1331,LO1619,926,Deer,Buck,Any Legal Weapon (Late),"West Desert, Swasey","West Desert, Swasey",General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1337,LO1620,927,Deer,Buck,Archery,Oquirrh/Tintic,Oquirrh/Tintic,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1338,LO1621,927,Deer,Buck,Muzzleloader,Oquirrh/Tintic,Oquirrh/Tintic,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1339,LO1622,927,Deer,Buck,Any Legal Weapon (Late),Oquirrh/Tintic,Oquirrh/Tintic,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
1390,TK1001,5136,Turkey,Either Sex,Any Legal Weapon,Northern Region - Private land only,Northern Region,Fall Management,Fall Management,Private Land Only,Private Land Only,private_land_split_to_hunt_class
