hunt_code,boundary_id,member_boundary_ids,geometry_status,boundary_geojson_path,boundary_kmz_path,boundary_kml_path,dwr_boundary_link,source_boundary_ids,database_hunt_name,database_species,database_weapon,database_hunt_type,in_display_boundary_index,in_database,in_hunt_code_boundary_map,in_boundary_manifest,split_hunt_json_exists,geojson_exists
BR7321,5101,138;611,mapped,processed_data/boundaries/BR7321.geojson,,,,889,"Book Cliffs, Little Creek/South",Black Bear,Any Legal Weapon,Once-in-a-lifetime,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
BR7323,163,,mapped,processed_data/boundaries/BR7323.geojson,,,,889,"Book Cliffs, Little Creek/South",Black Bear,Any Legal Weapon,Once-in-a-lifetime,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
BR7324,610,,mapped,processed_data/boundaries/BR7324.geojson,,,,889,"Book Cliffs, Little Creek/South",Black Bear,Any Legal Weapon,Once-in-a-lifetime,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
BR7325,610,,mapped,processed_data/boundaries/BR7325.geojson,,,,15,"Book Cliffs, South",Black Bear,Archery,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB0007,5108,7;15;32;85;94;108;138;163;185;206;248;609;610;611;612;613;615;621;625;628;629;630;632;633;635;636;714;802,mapped,processed_data/boundaries/DB0007.geojson,data/boundaries/kmz/DB0007.kmz,data/boundaries/kml/DB0007.kml,,15,"Book Cliffs, South",Deer,Any Legal Weapon,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB1000,94,,mapped,processed_data/boundaries/DB1000.geojson,,,,15,"Book Cliffs, South",Deer,Any Legal Weapon,Conservation,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB1001,163,,mapped,processed_data/boundaries/DB1001.geojson,,,,15,"Book Cliffs, South",Deer,Any Legal Weapon,Once-in-a-lifetime,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB1003,94,,mapped,processed_data/boundaries/DB1003.geojson,,,,172,Boulder,Deer,Archery,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB1004,163,,mapped,processed_data/boundaries/DB1004.geojson,,,,172,Boulder,Deer,Early Any Legal Weapon,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB1005,94,,mapped,processed_data/boundaries/DB1005.geojson,,,,172,Boulder,Deer,Late Any Legal Weapon,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
