workbook,sheet,row,hunt_code,conservation_code,boundary_id,species,sex_type,expected_family_from_prefix,hunt_name
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,46,BR1000,C_BR1000,5001,Bison,Either Sex,bear,"Book Cliffs, Bitter Creek, "
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,47,BR1000,C_BR1000,5001,Bison,Either Sex,bear,"Book Cliffs, Little Creek/South, Hunter's Choice"
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,48,BR1000,C_BR1000,5001,Bison,Cow Only,bear,"Henry Mtns, Cow Only "
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,49,BR1000,C_BR1000,5001,Bison,Either Sex,bear,"Henry Mtns,  "
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,53,EB3025,C_EB3025,685,Deer,Bull,elk,"Beaver, East"
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,73,DS6604,C_DS6604,688,Deer,Ram,desert bighorn sheep,"La Sal, Potash/South Cisco"
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,79,DS6604,C_DS6604,688,Deer,Buck,desert bighorn sheep,Paunsaugunt
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,80,DS6604,C_DS6604,688,Deer,Buck,desert bighorn sheep,Paunsaugunt
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,81,DS6604,C_DS6604,688,Deer,Buck,desert bighorn sheep,Paunsaugunt
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,99,DB1008,C_DB1008,163,Desert Bighorn Sheep,Buck,deer,Book Cliffs
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,100,DB1000,C_DB1000,94,Desert Bighorn Sheep,Buck,deer,Book Cliffs (North & South)
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,104,DB1008,C_DB1008,163,Desert Bighorn Sheep,Buck,deer,Paunsaugunt
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,125,MB6000,C_MB6000,29,Elk,Bull,moose,"Cache, Meadowville"
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,191,MB6006,C_MB6006,138,Elk,Bull,moose,"North Slope, Summit"
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,192,MB6006,C_MB6006,138,Elk,Bull,moose,"North Slope, Summit"
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,221,GO6808,C_GO6808,148,Moose,Either Sex,mountain goat,High Uintas West
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,222,GO6817,C_GO6817,617,Moose,Either Sex,mountain goat,"La Sal, La Sal Mtns"
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,233,GO1000,C_GO1000,5131,Pronghorn,Buck,mountain goat,Beaver
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,234,GO1000,C_GO1000,5131,Pronghorn,Buck,mountain goat,Beaver
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,244,GO1000,C_GO1000,5131,Pronghorn,Buck,mountain goat,"Box Elder, West"
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,245,GO1000,C_GO1000,5131,Pronghorn,Buck,mountain goat,"Box Elder, West"
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,246,GO1000,C_GO1000,5131,Pronghorn,Buck,mountain goat,"Fillmore, Oak Creek South"
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,247,GO1000,C_GO1000,5131,Pronghorn,Buck,mountain goat,"Fillmore, Oak Creek South"
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,248,GO1000,C_GO1000,5131,Pronghorn,Buck,mountain goat,"Fillmore, Oak Creek South"
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,302,PB1000,C_PB1000,5134,Rocky Mountain Bighorn Sheep,Ram,pronghorn,"Book Cliffs, South"
