workbook,sheet,row,hunt_code,conservation_code,boundary_id,species,expected_species_from_prefix,hunt_name
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,240,GO1000,CGO1000,5131,Pronghorn,Mountain Goat,"Box Elder, Promontory"
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,241,GO1000,CGO1000,5131,Pronghorn,Mountain Goat,"Box Elder, Puddle Valley"
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,242,GO1000,CGO1000,5131,Pronghorn,Mountain Goat,"Box Elder, Snowville"
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,243,GO1000,CGO1000,5131,Pronghorn,Mountain Goat,"Box Elder, Snowville"
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,244,GO1000,CGO1000,5131,Pronghorn,Mountain Goat,"Box Elder, West"
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,245,GO1000,CGO1000,5131,Pronghorn,Mountain Goat,"Box Elder, West"
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,246,GO1000,CGO1000,5131,Pronghorn,Mountain Goat,"Fillmore, Oak Creek South"
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,247,GO1000,CGO1000,5131,Pronghorn,Mountain Goat,"Fillmore, Oak Creek South"
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,248,GO1000,CGO1000,5131,Pronghorn,Mountain Goat,"Fillmore, Oak Creek South"
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,249,GO1000,CGO1000,5131,Pronghorn,Mountain Goat,"La Sal, Potash/South Cisco"
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,250,GO1000,CGO1000,5131,Pronghorn,Mountain Goat,Mt Dutton/Paunsaugunt
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,251,GO1000,CGO1000,5131,Pronghorn,Mountain Goat,Mt Dutton/Paunsaugunt
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,252,GO1000,CGO1000,5131,Pronghorn,Mountain Goat,"Nine Mile, Anthro-Myton Bench"
