hunt_code,hunt_name,old_hunt_type,new_hunt_type,old_draw_design,new_draw_design,points,residency
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,0,Nonresident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,1,Nonresident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,2,Nonresident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,3,Nonresident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,4,Nonresident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,5,Nonresident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,6,Nonresident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,7,Nonresident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,8,Nonresident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,9,Nonresident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,10,Nonresident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,11,Nonresident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,12,Nonresident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,13,Nonresident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,14,Nonresident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,15,Nonresident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,16,Nonresident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,17,Nonresident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,18,Nonresident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,19,Nonresident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,20,Nonresident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,21,Nonresident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,22,Nonresident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,0,Resident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,1,Resident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,2,Resident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,3,Resident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,4,Resident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,5,Resident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,6,Resident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,7,Resident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,8,Resident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,9,Resident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,10,Resident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,11,Resident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,12,Resident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,13,Resident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,14,Resident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,15,Resident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,16,Resident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,17,Resident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,18,Resident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,19,Resident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,20,Resident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,21,Resident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,22,Resident
BR7307,La Sal,Limited Entry,Conservation,Max/Weighted Split,Allocation / Reference Only,,
