after_boundary_id,after_map_geojson,before_boundary_id,before_hunt_code,before_hunt_name,before_map_geojson,before_sex,before_weapon,excel_row,hunt_code,hunt_name,hunt_type,pdf_area,pdf_condition,pdf_no,pdf_species,score,season,sex,species,status,weapon
,,,,,,,,,DB1056,Book Cliffs (North & South),Conservation,,,,,0.000,"Oct 17, 2026 - Oct 25, 2026",Buck,Deer,review_no_confident_pdf_row,Any Legal Weapon
7,processed_data/boundaries/DB1075.geojson,206,DB1015,Diamond Mtn,processed_data/boundaries/DB1015.geojson,Buck,Archery,89,DB1075,Book Cliffs (North & South),Conservation,Book Cliffs,Archery,88,Deer,1.000,Aug 16 2025 - Sept 12 2025,Buck,Deer,applied,Archery
7,processed_data/boundaries/DB1076.geojson,7,DB1076,Book Cliffs (North & South),processed_data/boundaries/DB1076.geojson,Buck,Muzzleloader,95,DB1076,Book Cliffs (North & South),Conservation,Book Cliffs,Muzzleloader,94,Deer,1.000,Sept 24 2025 - Oct 02 2025,Buck,Deer,applied,Muzzleloader
108,processed_data/boundaries/DB1118.geojson,248,DB1048,"West Desert, Vernon",processed_data/boundaries/DB1048.geojson,Buck,Multiseason,105,DB1118,Dolores Triangle,Conservation,"La Sal, Dolores Triangle",Multiseason,104,Deer,1.000,"Arch: Oct 31-Nov 13, 2026 | Any Legal Weapon: Nov 14-22, 2026 | Muzz: Nov 23-Dec 1, 2026",Buck,Deer,applied,Multiseason
610,processed_data/boundaries/BR7324.geojson,455,BR7310,Boulder/Kaiparowits,processed_data/boundaries/BR7310.geojson,Either Sex,Multiseason,32,BR7324,Chalk Creek/East Canyon/Morgan-South Rich,Conservation,Chalk Creek/East Canyon/Morgan-South Rich,Multiseason,31,Bear,1.000,"March 29 - May 26, 2025 | Jul 5 - 31, 2025 | Aug 1 - 31, 2025 | Sept 1 - Oct 26, 2025 | Nov 3 - 9, 2025 | Sept 1 - Oct 26, 2025",Either Sex,Black Bear,applied,Multiseason
98,processed_data/boundaries/DS1002.geojson,94,DB1000,Henry Mtns,processed_data/boundaries/DB1000.geojson|processed_data/boundaries/DB1003.geojson|processed_data/boundaries/DB1005.geojson|processed_data/boundaries/DB1007.geojson,Buck,Hunter's Choice,72,DS1002,"Kaiparowits, East",Conservation,"Kaiparowits, East",Any Legal Weapon,71,Desert Bighorn Sheep,1.000,"Sept 13, 2025 - Dec 31, 2025",Male Only,Desert Bighorn Sheep,applied,Any Legal Weapon
5141,processed_data/boundaries/DS1003.geojson,94,DB1000,,processed_data/boundaries/DB1007.geojson,,,73,DS1003,"Kaiparowits, Escalante East/West",Conservation,"Kaiparowits, Escalante",Any Legal Weapon,72,Desert Bighorn Sheep,1.000,"Sept 12 - Nov 10, 2026",Male Only,Desert Bighorn Sheep,applied,Any Legal Weapon
193,processed_data/boundaries/DS1004.geojson,193,DS1004,"San Rafael, Dirty Devil",processed_data/boundaries/DS1004.geojson,Male Only,Any Legal Weapon,77,DS1004,"San Rafael, Dirty Devil",Conservation,"San Rafael, Dirty Devil",Any Legal Weapon,76,Desert Bighorn Sheep,1.000,"Sept 13 - Dec 31, 2025",Male Only,Desert Bighorn Sheep,applied,Any Legal Weapon
100,processed_data/boundaries/DS1006.geojson,163,DB1010,Paunsaugunt,processed_data/boundaries/DB1001.geojson|processed_data/boundaries/DB1073.geojson,Buck,Archery,74,DS1006,"Kaiparowits, West",Conservation,"Kaiparowits, West",Any Legal Weapon,73,Desert Bighorn Sheep,1.000,"Sept 13, 2025 - Dec 31, 2025",Male Only,Desert Bighorn Sheep,applied,Any Legal Weapon
195,processed_data/boundaries/DS1007.geojson,195,DS1007,"San Rafael, South",processed_data/boundaries/DS1007.geojson,Male Only,Any Legal Weapon,78,DS1007,"San Rafael, South",Conservation,"San Rafael, South",Any Legal Weapon,77,Desert Bighorn Sheep,1.000,"Sept 13, 2025 - Dec 31, 2025",Male Only,Desert Bighorn Sheep,applied,Any Legal Weapon
305,processed_data/boundaries/DS6605.geojson,305,DS6605,"Pine Valley, Beaver Dam",processed_data/boundaries/DS6605.geojson,Male Only,Any Legal Weapon,76,DS6605,"Pine Valley, Beaver Dam",Conservation,"Pine Valley, Beaver Dam",Any Legal Weapon,75,Desert Bighorn Sheep,1.000,"Sept 13, 2025 - Dec 31, 2025",Male Only,Desert Bighorn Sheep,applied,Any Legal Weapon
5111,processed_data/boundaries/EA1180.geojson,5111,EA1180,La Sal (Conservation),processed_data/boundaries/EA1180.geojson,Antlerless,Any Legal Weapon,10,EA1180,La Sal (Conservation),Conservation,La Sal,Any Legal Weapon,9,Antlerless Elk,1.000,"Oct 3 - Oct 15, 2026 & Nov 19 - Dec 31, 2026",Antlerless,Elk,applied,Any Legal Weapon
5114,processed_data/boundaries/EA1270.geojson,5114,EA1270,Fishlake (Conservation),processed_data/boundaries/EA1270.geojson,Antlerless,Any Legal Weapon,6,EA1270,Fishlake (Conservation),Conservation,Fishlake,Any Legal Weapon,5,Antlerless Elk,1.000,"Oct 3 - Oct 15, 2026 & Nov 21 - Dec 30, 2026",Antlerless,Elk,applied,Any Legal Weapon
5115,processed_data/boundaries/EA1271.geojson,5115,EA1271,Manti (Conservation),processed_data/boundaries/EA1271.geojson,Antlerless,Any Legal Weapon,14,EA1271,Manti (Conservation),Conservation,Manti,Any Legal Weapon,13,Antlerless Elk,1.000,"Oct 3 - Oct 15, 2026 & Nov 19, 2026 - Dec 31, 2026",Antlerless,Elk,applied,Any Legal Weapon
5117,processed_data/boundaries/EA2041.geojson,5117,EA2041,Cache (Conservation),processed_data/boundaries/EA2041.geojson,Antlerless,Any Legal Weapon,2,EA2041,Cache (Conservation),Conservation,Cache,Any Legal Weapon,1,Antlerless Elk,1.000,"Oct 3 - Oct 25, 2026",Antlerless,Elk,applied,Any Legal Weapon
