metric,value,count
row_stats,hunt_type_normalized,32170
row_stats,draw_design_normalized,75598
row_stats,hunt_name_cleaned,52376
row_stats,weapon_filled_or_normalized,11094
blank_count,actual_draw_year,0
blank_count,model_target_year,0
blank_count,source_scope,0
blank_count,source_namespace,0
blank_count,draw_source_namespace,0
blank_count,source_file,0
blank_count,pdf_page,1
blank_count,page_kind,75598
blank_count,hunt_code,0
blank_count,hunt_name,0
blank_count,species,0
blank_count,sex_type,0
blank_count,draw_design,0
blank_count,weapon,0
blank_count,hunt_type,141
blank_count,season,39745
blank_count,residency,393
blank_count,points,404
blank_count,eligible_applicants,394
blank_count,bonus_permits,394
blank_count,regular_permits,394
blank_count,total_permits,0
blank_count,successful_applicants,1
blank_count,unsuccessful_applicants,394
blank_count,success_ratio,32511
blank_count,p_draw,75598
blank_count,p_draw_percent,36145
blank_count,record_type,0
blank_count,boundary_id,66
blank_count,algorithm_status,36383
blank_count,source_dataset,0
blank_count,extraction_status,75598
blank_count,parse_method,75598
blank_count,qa_status,36383
blank_count,notes,0
blank_count,permits_2025_res,1
blank_count,permits_2025_nr,11
blank_count,permits_2025_total,0
hunt_type,Limited Entry,23859
hunt_type,General Season,22572
hunt_type,CWMU,20198
hunt_type,Once-in-a-lifetime,5226
hunt_type,Dedicated Hunter,2268
hunt_type,O.T.C.,669
hunt_type,Premium Limited Entry,608
hunt_type,,141
hunt_type,Multiseason - Conservation,47
hunt_type,Sportsman,10
draw_design,Max/Weighted Split,44045
draw_design,Preference,30874
draw_design,Capped Permits,668
draw_design,Random,10
draw_design,Unlimited,1
