workbook,row,old_hunt_code,old_boundary_id,species,sex_type,hunt_name,candidate_count,best_code,best_boundary_id,best_hunt_name,best_species,best_sex_type,best_weapon,score,apply_safe,reason
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,243,GO1000,5131,Pronghorn,Buck,"Box Elder, Snowville",3,PB5080,27,"Box Elder, Snowville",Pronghorn,Buck,Muzzleloader,1.0,False,ambiguous_or_low_confidence
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,244,GO1000,5131,Pronghorn,Buck,"Box Elder, West",7,PB5079,755,"Box Elder, West",Pronghorn,Buck,Muzzleloader,1.0,False,ambiguous_or_low_confidence
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,245,GO1000,5131,Pronghorn,Buck,"Box Elder, West",7,PB5079,755,"Box Elder, West",Pronghorn,Buck,Muzzleloader,1.0,False,ambiguous_or_low_confidence
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,246,GO1000,5131,Pronghorn,Buck,"Fillmore, Oak Creek South",4,PB5065,81,"Fillmore, Oak Creek South",Pronghorn,Buck,Muzzleloader,1.0,False,ambiguous_or_low_confidence
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,247,GO1000,5131,Pronghorn,Buck,"Fillmore, Oak Creek South",4,PB5065,81,"Fillmore, Oak Creek South",Pronghorn,Buck,Muzzleloader,1.0,False,ambiguous_or_low_confidence
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,248,GO1000,5131,Pronghorn,Buck,"Fillmore, Oak Creek South",4,PB5065,81,"Fillmore, Oak Creek South",Pronghorn,Buck,Muzzleloader,1.0,False,ambiguous_or_low_confidence
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,249,GO1000,5131,Pronghorn,Buck,"La Sal, Potash/South Cisco",2,PB5035,688,"La Sal, Potash/South Cisco",Pronghorn,Buck,Any Legal Weapon,1.0,False,ambiguous_or_low_confidence
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,250,GO1000,5131,Pronghorn,Buck,Mt Dutton/Paunsaugunt,2,PB5332,453,Mt Dutton/Paunsaugunt,Pronghorn,Buck,Archery,1.0,False,ambiguous_or_low_confidence
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,251,GO1000,5131,Pronghorn,Buck,Mt Dutton/Paunsaugunt,2,PB5332,453,Mt Dutton/Paunsaugunt,Pronghorn,Buck,Archery,1.0,False,ambiguous_or_low_confidence
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,252,GO1000,5131,Pronghorn,Buck,"Nine Mile, Anthro-Myton Bench",3,PB5059,129,"Nine Mile, Anthro-Myton Bench",Pronghorn,Buck,Muzzleloader,1.0,False,ambiguous_or_low_confidence
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,253,GO1000,5131,Pronghorn,Buck,"Nine Mile, Anthro-Myton Bench",3,PB5059,129,"Nine Mile, Anthro-Myton Bench",Pronghorn,Buck,Muzzleloader,1.0,False,ambiguous_or_low_confidence
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,254,GO1000,5131,Pronghorn,Buck,"Nine Mile, Anthro-Myton Bench",3,PB5059,129,"Nine Mile, Anthro-Myton Bench",Pronghorn,Buck,Muzzleloader,1.0,False,ambiguous_or_low_confidence
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,255,GO1000,5131,Pronghorn,Buck,"Nine Mile, Anthro-Myton Bench",3,PB5059,129,"Nine Mile, Anthro-Myton Bench",Pronghorn,Buck,Muzzleloader,1.0,False,ambiguous_or_low_confidence
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,256,GO1000,5131,Pronghorn,Buck,"Nine Mile, Anthro-Myton Bench",3,PB5059,129,"Nine Mile, Anthro-Myton Bench",Pronghorn,Buck,Muzzleloader,1.0,False,ambiguous_or_low_confidence
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,302,PB1000,5134,Rocky Mountain Bighorn Sheep,Ram,"Book Cliffs, South",2,RS6701,15,"Book Cliffs, South",Rocky Mountain Bighorn Sheep,Ram,Any Legal Weapon,1.0,False,ambiguous_or_low_confidence
