path,extension,bytes,records_or_pages,unique_hunt_code_count,hunt_code_mentions,sample_hunt_codes
data_model/harvest_quality/raw_packages/unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected/full_joined_hunt_code_backcheck_2021_2026_conservation_annual_per_row.csv,.csv,1819671,1683,1705,9217,BI0001|BI1000|BI6500|BI6503|BI6504|BI6505|BI6506|BI6509|BI6516|BI6517|BI6519|BI6520|BI6521|BI6523|BI6524|BI6526|BI6527|BI6528|BI6529|BI6530|BI6531|BI6532|BI6533|BI6534|BI6535|BI6536|BI6537|BI6538|BI6539|BR1000
data_model/harvest_quality/raw_packages/unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected/full_joined_hunt_code_backcheck_2021_2026_conservation_annual_per_row_corrected.xlsx,.xlsx,341380,2070,1705,10390,BI0001|BI1000|BI6500|BI6503|BI6504|BI6505|BI6506|BI6509|BI6516|BI6517|BI6519|BI6520|BI6521|BI6523|BI6524|BI6526|BI6527|BI6528|BI6529|BI6530|BI6531|BI6532|BI6533|BI6534|BI6535|BI6536|BI6537|BI6538|BI6539|BR1000
data_truth/harvest_results_truth/raw_packages/unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected/full_joined_hunt_code_backcheck_2021_2026_conservation_annual_per_row.csv,.csv,1819671,1683,1705,9217,BI0001|BI1000|BI6500|BI6503|BI6504|BI6505|BI6506|BI6509|BI6516|BI6517|BI6519|BI6520|BI6521|BI6523|BI6524|BI6526|BI6527|BI6528|BI6529|BI6530|BI6531|BI6532|BI6533|BI6534|BI6535|BI6536|BI6537|BI6538|BI6539|BR1000
processed_data/backups/DATABASE_before_conservation_pdf_ingest_20260530_074022.csv,.csv,605376,1449,1449,1505,BI1000|BI6500|BI6503|BI6504|BI6505|BI6506|BI6509|BI6516|BI6527|BI6528|BI6529|BI6530|BI6531|BI6532|BI6534|BI6535|BI6536|BI6537|BI6538|BI6539|BR1000|BR1001|BR1007|BR1008|BR1009|BR1010|BR1011|BR1012|BR1013|BR1015
audits/hunt_research_engine/field_permit_overlay_hypothesis_audit.csv,.csv,539399,3058,1091,3058,BI6500|BI6503|BI6504|BI6505|BI6506|BI6509|BI6516|BI6517|BI6519|BI6520|BI6523|BI6524|BI6528|BI6529|BI6530|BI6531|BI6532|BI6533|BI6534|BI6536|BI6537|BR7001|BR7003|BR7004|BR7005|BR7008|BR7011|BR7012|BR7013|BR7014
processed_data/audits/unresolved_2026_vs_database_conservation_audit_synthetic_policy_update.csv,.csv,290672,698,701,765,BI1000|BI6503|BI6505|BI6506|BI6527|BI6529|BI6530|BI6531|BI6536|BI6538|BI6539|BR1000|BR1001|BR1007|BR1018|BR7008|BR7019|BR7021|BR7022|BR7108|BR7126|BR7127|BR7208|BR7238|BR7239|BR7307|BR7324|BR7326|CE1000|CG9999
processed_data/audits/unresolved_2026_vs_database_conservation_audit.csv,.csv,281888,698,698,699,BI1000|BI6503|BI6505|BI6506|BI6527|BI6529|BI6530|BI6531|BI6536|BI6538|BI6539|BR1000|BR1001|BR1007|BR1018|BR7008|BR7019|BR7021|BR7022|BR7108|BR7126|BR7127|BR7208|BR7238|BR7239|BR7307|BR7324|BR7326|CG9999|DA1009
data_model/permit_overlays/special_permit_overlay_classes_all_years.csv,.csv,394547,1531,398,1530,BI1000|BR7307|BR7324|DA1011|DA1012|DA1013|DA1050|DB0007|DB0009|DB1056|DB1075|DB1076|DB1200|DB1201|DB1202|DB1203|DB1204|DB1205|DB1206|DB1207|DB1208|DB1209|DB1211|DB1212|DB1213|DB1215|DB1216|DB1217|DB1219|DB1221
processed_data/special_permit_overlay_classes_all_years.csv,.csv,405470,1531,398,1530,BI1000|BR7307|BR7324|DA1011|DA1012|DA1013|DA1050|DB0007|DB0009|DB1056|DB1075|DB1076|DB1200|DB1201|DB1202|DB1203|DB1204|DB1205|DB1206|DB1207|DB1208|DB1209|DB1211|DB1212|DB1213|DB1215|DB1216|DB1217|DB1219|DB1221
data/conservation-permit-hunt-table-2025-27.json,.json,234746,271,372,1168,BI6510|BR1000|BR1001|BR1002|BR1004|BR1005|BR1006|BR1007|BR1009|BR1010|BR1012|BR1013|BR1014|BR1016|BR1017|BR1018|BR7000|BR7001|BR7003|BR7004|BR7005|BR7008|BR7010|BR7011|BR7012|BR7013|BR7014|BR7015|BR7016|BR7018
