source_file,hunt_code,hunt_name,residency,points,eligible_applicants,total_permits,permits_2025_res,permits_2025_nr,permits_2025_total,boundary_id,hunt_type,draw_design,season
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Resident,19,0,0,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Nonresident,19,0,0,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Resident,18,0,0,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Nonresident,18,0,0,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Resident,17,0,0,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Nonresident,17,0,0,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Resident,16,0,0,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Nonresident,16,0,0,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Resident,15,0,0,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Nonresident,15,0,0,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Resident,14,0,0,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Nonresident,14,0,0,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Resident,13,0,0,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Nonresident,13,0,0,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Resident,12,0,0,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Nonresident,12,0,0,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Resident,11,0,0,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Nonresident,11,0,0,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Resident,10,0,0,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Nonresident,10,0,0,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Resident,9,0,0,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Nonresident,9,0,0,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Resident,8,6,6,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Nonresident,8,0,0,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Resident,7,36,36,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Nonresident,7,0,0,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Resident,6,120,120,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Nonresident,6,2,2,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Resident,5,169,67,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Nonresident,5,2,2,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Resident,4,211,31,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Nonresident,4,1,1,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Resident,3,310,51,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Nonresident,3,2,0,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Resident,2,504,51,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Nonresident,2,3,0,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Resident,1,526,37,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Nonresident,1,3,0,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Resident,0,843,20,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1003,Central Area,Nonresident,0,14,1,419,6,425,887,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1004,Northeastern Area,Resident,19,0,0,205,8,213,886,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1004,Northeastern Area,Nonresident,19,0,0,205,8,213,886,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1004,Northeastern Area,Resident,18,0,0,205,8,213,886,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1004,Northeastern Area,Nonresident,18,0,0,205,8,213,886,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1004,Northeastern Area,Resident,17,0,0,205,8,213,886,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,TK1004,Northeastern Area,Nonresident,17,0,0,205,8,213,886,Limited Entry,Max/Weighted Split,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026"
