excel_row,No.,Species,Area,Condition,Organization,HUNT CODE,expected_prefixes,HUNT NAME,SEX,WEAPON,BOUNDARY ID,MAP GEOJSON,readiness_flags
32,31,Bear,Chalk Creek/East Canyon/Morgan-South Rich,Multiseason,DSC,BR7310,BR,,,,455,processed_data/boundaries/BR7310.geojson,blank_hunt_name;blank_weapon;blank_sex
66,65,Bison,"Book Cliffs, Bitter Creek, Hunter's Choice",Any Legal Weapon,UWSF,BR1000,BI,,,,5001,processed_data/boundaries/BR1000.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
67,66,Bison,"Book Cliffs, Little Creek/South, Hunter's Choice",Any Legal Weapon,SFW,BR1000,BI,,,,5001,processed_data/boundaries/BR1000.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
68,67,Bison,"Henry Mtns, Hunter's Choice (early)",Any Legal Weapon,RMEF,BR1000,BI,,,,5001,processed_data/boundaries/BR1000.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
69,68,Bison,"Henry Mtns, Cow Only (late)",Any Legal Weapon,SFW,BR1000,BI,,,,5001,processed_data/boundaries/BR1000.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
71,70,Bison,Statewide,Any Legal Weapon,SFW,BI1000,BI,,,,5000,processed_data/boundaries/BI1000.geojson,blank_hunt_name;blank_weapon;blank_sex
73,72,Desert Bighorn Sheep,"Kaiparowits, Escalante",Any Legal Weapon,UWSF,DB1000,DS,,,,94,processed_data/boundaries/DB1007.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
77,76,Desert Bighorn Sheep,"San Rafael, Dirty Devil",Any Legal Weapon,SCI,DB1008,DS,Paunsaugunt,Buck,Multiseason,163,processed_data/boundaries/DB1008.geojson,prefix_species_mismatch
78,77,Desert Bighorn Sheep,"San Rafael, South",Any Legal Weapon,UWSF,DB1008,DS,,,,163,processed_data/boundaries/DB1008.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
82,81,Deer,Paunsaugunt,Archery,NWTF,DB1075,DB,,,,7,processed_data/boundaries/DB1011.geojson,blank_hunt_name;blank_weapon;blank_sex
83,82,Deer,Paunsaugunt,Hunter's Choice,MDF,DB1075,DB,,,,7,processed_data/boundaries/DB1011.geojson|processed_data/boundaries/DB1025.geojson|processed_data/boundaries/DB1044.geojson,blank_hunt_name;blank_weapon;blank_sex
89,88,Deer,Book Cliffs,Archery,WCF,DB1015,DB,,,,206,processed_data/boundaries/DB1015.geojson,blank_hunt_name;blank_weapon;blank_sex
90,89,Deer,Book Cliffs,Archery,UAA,DB1015,DB,,,,206,processed_data/boundaries/DB1015.geojson|processed_data/boundaries/DB1023.geojson|processed_data/boundaries/DB1038.geojson|processed_data/boundaries/DB1047.geojson,blank_hunt_name;blank_weapon;blank_sex
94,93,Deer,Book Cliffs,Multiseason,MDF,DB1038,DB,,,,206,processed_data/boundaries/DB1038.geojson,blank_hunt_name;blank_weapon;blank_sex
96,95,Deer,Book Cliffs,Muzzleloader,WCF,DB1045,DB,,,,85,processed_data/boundaries/DB1045.geojson,blank_hunt_name;blank_weapon;blank_sex
98,97,Deer,Diamond Mtn,Hunter's Choice,RMEF,DB1014,DB,,,,185,processed_data/boundaries/DB1014.geojson,blank_hunt_name;blank_weapon;blank_sex
103,102,Deer,"Fillmore, Oak Creek LE",Hunter's Choice,MDF,DB1016,DB,,,,248,processed_data/boundaries/DB1016.geojson,blank_hunt_name;blank_weapon;blank_sex
104,103,Deer,"Fillmore, Oak Creek LE",Multiseason,MDF,DB1016,DB,,,,248,processed_data/boundaries/DB1016.geojson|processed_data/boundaries/DB1024.geojson|processed_data/boundaries/DB1042.geojson|processed_data/boundaries/DB1048.geojson,blank_hunt_name;blank_weapon;blank_sex
109,108,Deer,"San Juan, Elk Ridge",Muzzleloader,MDF,DB0007,DB,Statewide,Buck,,5108,processed_data/boundaries/DB0007.geojson,blank_weapon
111,110,Deer,"West Desert, Vernon",Archery,SFW,DB0007,DB,,,,5108,processed_data/boundaries/DB0007.geojson,blank_hunt_name;blank_weapon;blank_sex
