hunt_code,issue,value,sample_hunt_name
BR7307,nonstandard_draw_design,UHA,La Sal
BR7307,nonstandard_draw_design,SFW,La Sal
BR7307,nonstandard_draw_design,MDF,La Sal
BR7307,nonstandard_draw_design,SFW,La Sal
BR1008,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Book Cliffs
BR1009,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,La Sal
BR1010,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,San Juan
BR1011,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Book Cliffs
BR1012,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,La Sal
BR1013,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,San Juan
BR1015,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Book Cliffs
BR1016,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,San Juan
BR1017,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,La Sal
BR7000,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Beaver
BR7001,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Book Cliffs, Bitter Creek/south"
BR7003,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Manti North
BR7004,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Manti South/san Rafael North
BR7005,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Nebo
BR7007,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Fillmore, Pahvant"
BR7008,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,La Sal
BR7009,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Mt Dutton
BR7010,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Panguitch Lake/zion
BR7011,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Paunsaugunt
BR7012,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Boulder/kaiparowits
BR7013,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Fishlake/thousand Lakes
BR7014,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,San Juan
BR7015,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Diamond Mtn/vernal/bonanza
BR7016,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Wasatch Mtns, West-central"
BR7017,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Cache/ogden
BR7018,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Kamas/north Slope, Summit"
BR7020,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Monroe
BR7100,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Beaver
BR7101,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Book Cliffs, Bitter Creek/south"
BR7102,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Book Cliffs, Little Creek Roadless"
BR7104,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Manti North
BR7105,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Manti South/san Rafael North
BR7106,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Nebo
BR7108,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,La Sal
BR7109,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Mt Dutton
BR7110,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Nine Mile
BR7111,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"North Slope, Three Corners/west Daggett"
BR7112,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Panguitch Lake/zion
BR7113,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Paunsaugunt
BR7114,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Boulder/kaiparowits
BR7115,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Fishlake/thousand Lakes
BR7116,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,San Juan
