row,status,hunt_code,boundary_id,species,hunt_name,sex_type,weapon,old_season,new_season,db_hunt_name,db_species,db_boundary_id,db_sex_type,db_weapon
111,no_strict_species_boundary_sex_weapon_season_match,DB1048,248,Deer,"West Desert, Vernon",Buck,Archery,,,,,,,
112,strict_match_filled,DB1048,248,Deer,"West Desert, Vernon",Buck,Multiseason,,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026","West Desert, Vernon",Deer,248,Buck,Multiseason
113,strict_match_filled,DB1048,248,Deer,"West Desert, Vernon",Buck,Multiseason,,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026","West Desert, Vernon",Deer,248,Buck,Multiseason
114,strict_match_filled,DB1048,248,Deer,"West Desert, Vernon",Buck,Multiseason,,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026","West Desert, Vernon",Deer,248,Buck,Multiseason
115,strict_match_filled,DB1048,248,Deer,"West Desert, Vernon",Buck,Multiseason,,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026","West Desert, Vernon",Deer,248,Buck,Multiseason
116,no_strict_species_boundary_sex_weapon_season_match,DB1048,248,Deer,"West Desert, Vernon",Buck,Muzzleloader,,,,,,,
117,no_strict_species_boundary_sex_weapon_season_match,DB1048,248,Deer,"West Desert, Vernon",Buck,Muzzleloader,,,,,,,
118,strict_match_filled,DB0007,5108,Deer,Statewide,Buck,Any Legal Weapon,,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027",Buck Deer - Statewide Permit,Deer,5108,Buck,Any Legal Weapon
210,strict_match_filled,MB1000,5133,Moose,Cache,Bull,Any Legal Weapon,,"Sept 1 - Nov 15, 2026",Moose - Statewide Permit,Moose,5133,Bull,Any Legal Weapon
211,strict_match_filled,MB1000,5133,Moose,"North Slope, Summit",Bull,Any Legal Weapon,,"Sept 1 - Nov 15, 2026",Moose - Statewide Permit,Moose,5133,Bull,Any Legal Weapon
212,strict_match_filled,MB1000,5133,Moose,"North Slope, Summit",Bull,Any Legal Weapon,,"Sept 1 - Nov 15, 2026",Moose - Statewide Permit,Moose,5133,Bull,Any Legal Weapon
214,strict_match_filled,MB1000,5133,Moose,Statewide,Bull,Any Legal Weapon,,"Sept 1 - Nov 15, 2026",Moose - Statewide Permit,Moose,5133,Bull,Any Legal Weapon
216,strict_match_filled,GO6817,617,Mountain Goat,High Uintas West,Either Sex,Any Legal Weapon,,Sept 05 2026 - Nov 25 2026,La Sal Mtns,Mountain Goat,617,Either Sex,Any Legal Weapon
217,strict_match_filled,GO6820,200,Mountain Goat,"La Sal, La Sal Mtns",Either Sex,Any Legal Weapon,,Sept 05 2026 - Nov 25 2026,"Wasatch Mtns, Timpanogos",Mountain Goat,200,Either Sex,Any Legal Weapon
218,strict_match_filled,GO1000,5131,Mountain Goat,Nebo,Either Sex,Any Legal Weapon,,"Sept 1 - Dec 31, 2026",Mountain Goat - Statewide Permit,Mountain Goat,5131,Hunters Choice,Any Legal Weapon
221,strict_match_filled,GO1000,5131,Mountain Goat,Statewide,Either Sex,Any Legal Weapon,,"Sept 1 - Dec 31, 2026",Mountain Goat - Statewide Permit,Mountain Goat,5131,Hunters Choice,Any Legal Weapon
224,no_strict_species_boundary_sex_weapon_season_match,PB5026,667,Pronghorn,"Book Cliffs, Bitter Creek",Buck,Muzzleloader,,,,,,,
225,strict_match_filled,PB5026,667,Pronghorn,"Book Cliffs, Bitter Creek",Buck,Any Legal Weapon,,Sept 12 2026 - Sept 20 2026,"Book Cliffs, Bitter Creek",Pronghorn,667,Buck,Any Legal Weapon
226,strict_match_filled,PB5026,667,Pronghorn,"Book Cliffs, Bitter Creek",Buck,Any Legal Weapon,,Sept 12 2026 - Sept 20 2026,"Book Cliffs, Bitter Creek",Pronghorn,667,Buck,Any Legal Weapon
227,no_strict_species_boundary_sex_weapon_season_match,PB5027,15,Pronghorn,"Book Cliffs, South",Buck,Archery,,,,,,,
228,strict_match_filled,PB5027,15,Pronghorn,"Book Cliffs, South",Buck,Any Legal Weapon,,Sept 12 2026 - Sept 20 2026,"Book Cliffs, South",Pronghorn,15,Buck,Any Legal Weapon
229,strict_match_filled,PB5029,25,Pronghorn,"Box Elder, Promontory",Buck,Any Legal Weapon,,Sept 12 2026 - Sept 20 2026,"Box Elder, Puddle Valley",Pronghorn,25,Buck,Any Legal Weapon
230,no_strict_species_boundary_sex_weapon_season_match,PB5029,25,Pronghorn,"Box Elder, Puddle Valley",Buck,Muzzleloader,,,,,,,
