"row","source_no","hunt_code","reason","species","area","condition","db_species","db_weapon","db_hunt_name"
"65","64","BR1000","code_content_mismatch","Bear","Statewide","Multiseason","Black Bear","Any Legal Weapon","Black Bear - Statewide Permit"
"75","74","DS6604","code_content_mismatch","Desert Bighorn Sheep","La Sal, Potash/South Cisco","Any Legal Weapon","Male Only","Desert Bighorn Sheep","""La Sal"
"104","103","DB1045","code_content_mismatch","Deer","Fillmore, Oak Creek LE","Multiseason","Buck","Deer","""Fillmore"
"106","105","DB1014","code_content_mismatch","Deer","San Juan, Elk Ridge","Archery","Buck","Deer","""San Juan"
"108","107","DB1046","code_content_mismatch","Deer","San Juan, Elk Ridge","Multiseason","Buck","Deer","""San Juan"
"109","108","DB1037","code_content_mismatch","Deer","San Juan, Elk Ridge","Muzzleloader","Buck","Deer","""San Juan"
"110","109","DB1016","code_content_mismatch","Deer","West Desert, Vernon","Archery","Buck","Deer","""West Desert"
"111","110","DB1016","code_content_mismatch","Deer","West Desert, Vernon","Archery","Buck","Deer","""West Desert"
"114","113","DB1048","code_content_mismatch","Deer","West Desert, Vernon","Multiseason","Buck","Deer","""West Desert"
"115","114","DB1048","code_content_mismatch","Deer","West Desert, Vernon","Multiseason","Buck","Deer","""West Desert"
"116","115","DB1042","code_content_mismatch","Deer","West Desert, Vernon","Muzzleloader","Buck","Deer","""West Desert"
"117","116","DB1042","code_content_mismatch","Deer","West Desert, Vernon","Muzzleloader","Buck","Deer","""West Desert"
"119","118","EB3025","code_content_mismatch","Elk","Beaver, East","Any Legal Weapon, late","Bull","Elk","""Beaver"
"120","119","EB3000","code_content_mismatch","Elk","Beaver, East","Archery","Bull","Elk","""Beaver"
"122","121","EB3102","code_content_mismatch","Elk","Beaver, East","Multiseason","Bull","Elk","""Beaver"
"123","122","EB3163","code_content_mismatch","Elk","Book Cliffs, Bitter Creek/East","Any Legal Weapon, late","Bull","Elk","""Book Cliffs"
"126","125","EB3165","code_content_mismatch","Elk","Book Cliffs, Bitter Creek/East","Multiseason","Bull","Elk","""Book Cliffs"
"133","132","EB3128","code_content_mismatch","Elk","Box Elder, Grouse Creek","Multiseason","Bull","Elk","""Box Elder"
"134","133","EB3209","code_content_mismatch","Elk","Box Elder, Pilot Mtn","Multiseason","Bull","Elk","""Box Elder"
"135","134","EB3033","code_content_mismatch","Elk","Cache, Meadowville","Any Legal Weapon, late","Bull","Elk","""Cache"
"137","136","EB3105","code_content_mismatch","Elk","Cache, Meadowville","Multiseason","Bull","Elk","""Cache"
"139","138","EB3107","code_content_mismatch","Elk","Cache, South","Multiseason","Bull","Elk","""Cache"
"145","144","EB3043","code_content_mismatch","Elk","Fillmore, Pahvant","Any Legal Weapon, late","Bull","Elk","""Fillmore"
"146","145","EB3008","code_content_mismatch","Elk","Fillmore, Pahvant","Archery","Bull","Elk","""Fillmore"
"148","147","EB3110","code_content_mismatch","Elk","Fillmore, Pahvant","Multiseason","Bull","Elk","""Fillmore"
"185","184","EB3115","code_content_mismatch","Elk","North Slope, Three Corners","Multiseason","Bull","Elk","""North Slope"
"194","193","EB3152","code_content_mismatch","Elk","Southwest Desert, South","Any Legal Weapon, late","Bull","Elk","""Southwest Desert"
"195","194","EB3198","code_content_mismatch","Elk","Southwest Desert, South","Any Legal Weapon, mid","Bull","Elk","""Southwest Desert"
"198","197","EB3157","code_content_mismatch","Elk","Southwest Desert, South","Multiseason","Bull","Elk","""Southwest Desert"
"199","198","EB3157","code_content_mismatch","Elk","Southwest Desert, South","Multiseason","Bull","Elk","""Southwest Desert"
"200","199","EB3155","code_content_mismatch","Elk","Southwest Desert, South","Muzzleloader","Bull","Elk","""Southwest Desert"
"211","210","MB6006","code_content_mismatch","Moose","North Slope, Summit","Any Legal Weapon","Bull","Moose","""North Slope"
