xlsx_row,source_no,hunt_code_written,possible_hunt_codes,match_confidence,species,sex_type,hunt name,season,weapon,organization,review_flags
71,70,BI1000,BI1000,HIGH,Bison,Either Sex,Statewide,,Any Legal Weapon,SFW,
69,68,BI6503|BI6504|BI6505|BI6506|BI6509|BI6516|BI6539,BI6503|BI6504|BI6505|BI6506|BI6509|BI6516|BI6539,MEDIUM,Bison,Cow Only,"Henry Mtns, Cow Only (late)",,Any Legal Weapon,SFW,
68,67,BI6503|BI6504|BI6505|BI6506|BI6509|BI6516|BI6539,BI6503|BI6504|BI6505|BI6506|BI6509|BI6516|BI6539,MEDIUM,Bison,Either Sex,"Henry Mtns, Hunter's Choice (early)",,Any Legal Weapon,RMEF,
70,69,BI6503|BI6504|BI6505|BI6506|BI6509|BI6516|BI6539,BI6503|BI6504|BI6505|BI6506|BI6509|BI6516|BI6539,MEDIUM,Bison,Either Sex,"Henry Mtns, Hunter's Choice (late)",,Any Legal Weapon,SCI,
66,65,BI6523|BI6532|BI6534|BI6535|BI6536,BI6523|BI6532|BI6534|BI6535|BI6536,MEDIUM,Bison,Either Sex,"Book Cliffs, Bitter Creek, Hunter's Choice",,Any Legal Weapon,UWSF,
67,66,BI6528|BI6529|BI6530|BI6531|BI6537,BI6528|BI6529|BI6530|BI6531|BI6537,MEDIUM,Bison,Either Sex,"Book Cliffs, Little Creek/South, Hunter's Choice",,Any Legal Weapon,SFW,
65,64,BR1000,BR1000,HIGH,Bear,Either Sex,Statewide,,Multiseason,MDF,
23,22,BR7300,BR7300,HIGH,Bear,Either Sex,"Book Cliffs, Bitter Creek/South",,Multiseason,SFW,
24,23,BR7300,BR7300,HIGH,Bear,Either Sex,"Book Cliffs, Bitter Creek/South",,Multiseason,MDF,
25,24,BR7300,BR7300,HIGH,Bear,Either Sex,"Book Cliffs, Bitter Creek/South",,Multiseason,SFW,
26,25,BR7300,BR7300,HIGH,Bear,Either Sex,"Book Cliffs, Bitter Creek/South",,Multiseason,SFW,
27,26,BR7301,BR7301,HIGH,Bear,Either Sex,"Book Cliffs, Little Creek Roadless",,Multiseason,SFW,
41,40,BR7303,BR7303,HIGH,Bear,Either Sex,Manti-North,,Multiseason,UHA,
42,41,BR7303,BR7303,HIGH,Bear,Either Sex,Manti-North,,Multiseason,MDF,
43,42,BR7303,BR7303,HIGH,Bear,Either Sex,Manti-North,,Multiseason,SFW,
44,43,BR7304,BR7304,HIGH,Bear,Either Sex,"Manti-South/San Rafael, North",,Multiseason,MDF,
45,44,BR7304,BR7304,HIGH,Bear,Either Sex,"Manti-South/San Rafael, North",,Multiseason,MDF,
46,45,BR7304,BR7304,HIGH,Bear,Either Sex,"Manti-South/San Rafael, North",,Multiseason,SFW,
47,46,BR7305,BR7305,HIGH,Bear,Either Sex,Nebo,,Multiseason,UHA,
37,36,BR7307,BR7307,HIGH,Bear,Either Sex,La Sal,,Multiseason,UHA,
38,37,BR7307,BR7307,HIGH,Bear,Either Sex,La Sal,,Multiseason,SFW,
39,38,BR7307,BR7307,HIGH,Bear,Either Sex,La Sal,,Multiseason,MDF,
40,39,BR7307,BR7307,HIGH,Bear,Either Sex,La Sal,,Multiseason,SFW,
52,51,BR7309,BR7309,HIGH,Bear,Either Sex,Panguitch Lake/Zion,,Multiseason,MDF,
28,27,BR7310,BR7310,HIGH,Bear,Either Sex,Boulder/Kaiparowits,,Multiseason,SFW,
29,28,BR7310,BR7310,HIGH,Bear,Either Sex,Boulder/Kaiparowits,,Multiseason,SFW,
30,29,BR7310,BR7310,HIGH,Bear,Either Sex,Boulder/Kaiparowits,,Multiseason,SFW,
31,30,BR7310,BR7310,HIGH,Bear,Either Sex,Boulder/Kaiparowits,,Multiseason,SFW,
35,34,BR7311,BR7311,HIGH,Bear,Either Sex,Fishlake/Thousand Lakes,,Multiseason,SFW,
54,53,BR7312,BR7312,HIGH,Bear,Either Sex,San Juan,,Multiseason,UHA,
55,54,BR7312,BR7312,HIGH,Bear,Either Sex,San Juan,,Multiseason,SFW,
56,55,BR7312,BR7312,HIGH,Bear,Either Sex,San Juan,,Multiseason,SFW,
57,56,BR7312,BR7312,HIGH,Bear,Either Sex,San Juan,,Multiseason,MDF,
33,32,BR7313,BR7313,HIGH,Bear,Either Sex,Diamond Mtn/Vernal/Bonanza,,Multiseason,MDF,
34,33,BR7313,BR7313,HIGH,Bear,Either Sex,Diamond Mtn/Vernal/Bonanza,,Multiseason,SFW,
64,63,BR7314,BR7314,HIGH,Bear,Either Sex,Yellowstone,,Multiseason,WCF,
58,57,BR7315,BR7315,HIGH,Bear,Either Sex,"Wasatch Mtns, Avintaquin/Currant Creek",,Multiseason,SFW,
59,58,BR7315,BR7315,HIGH,Bear,Either Sex,"Wasatch Mtns, Avintaquin/Currant Creek",,Multiseason,SFW,
60,59,BR7316,BR7316,HIGH,Bear,Either Sex,"Wasatch Mtns, West-Central",,Multiseason,UAA,
61,60,BR7316,BR7316,HIGH,Bear,Either Sex,"Wasatch Mtns, West-Central",,Multiseason,SFW,
62,61,BR7316,BR7316,HIGH,Bear,Either Sex,"Wasatch Mtns, West-Central",,Multiseason,MDF,
63,62,BR7316,BR7316,HIGH,Bear,Either Sex,"Wasatch Mtns, West-Central",,Multiseason,SFW,
48,47,BR7317,BR7317,HIGH,Bear,Either Sex,Nine Mile,,Multiseason,SFW,
49,48,BR7317,BR7317,HIGH,Bear,Either Sex,Nine Mile,,Multiseason,SFW,
50,49,BR7317,BR7317,HIGH,Bear,Either Sex,Nine Mile,,Multiseason,SFW,
51,50,BR7317,BR7317,HIGH,Bear,Either Sex,Nine Mile,,Multiseason,SFW,
22,21,BR7318,BR7318,HIGH,Bear,Either Sex,Beaver,,Multiseason,MDF,
36,35,BR7321,BR7321,HIGH,Bear,Either Sex,"Kamas/North Slope, Summit",,Multiseason,MDF,
53,52,BR7323,BR7323,HIGH,Bear,Either Sex,Paunsaugunt,,Multiseason,SFW,
32,31,BR7324|BR7325,BR7324|BR7325,MEDIUM,Bear,Either Sex,Chalk Creek/East Canyon/Morgan-South Rich,,Multiseason,DSC,
110,117,DB0007,,confirm,Deer,Buck,Statewide,"Archery: Aug 15 - 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027",Statewide,MDF,
72,79,DB1000,,confirm,Deer,Buck,Henry Mtns,,Hunter's Choice,SFW,
75,82,DB1010,,confirm,Deer,Buck,Paunsaugunt,,Hunter's Choice,MDF,
76,83,DB1010,,confirm,Deer,Buck,Paunsaugunt,,Hunter's Choice,SFW,
74,81,DB1010,,confirm,Deer,Buck,Paunsaugunt,,Archery,NWTF,
79,86,DB1006,,confirm,Deer,Buck,Paunsaugunt,,Muzzleloader,NWTF,
80,87,DB1006,,confirm,Deer,Buck,Paunsaugunt,,Muzzleloader,MDF,
73,80,DB1007,DB1007,HIGH,Deer,Buck,Henry Mtns,,Multiseason,MDF,
77,84,DB1008,DB1008,HIGH,Deer,Buck,Paunsaugunt,,Multiseason,SFW,
78,85,DB1008,DB1008,HIGH,Deer,Buck,Paunsaugunt,,Multiseason,SFW,
81,88,DB1075,,HIGH,Deer,Buck,Book Cliffs,,Archery,WCF,
82,89,DB1075,,HIGH,Deer,Buck,Book Cliffs,,Archery,UAA,
83,90,DB1011|DB1025|DB1044,DB1011|DB1025|DB1044,MEDIUM,Deer,Buck,Book Cliffs,,Hunter's Choice,SFW,
84,91,DB1011|DB1025|DB1044,DB1011|DB1025|DB1044,MEDIUM,Deer,Buck,Book Cliffs,,Hunter's Choice,MDF,
95,102,DB1012|DB1019|DB1029|DB1045,DB1012|DB1019|DB1029|DB1045,MEDIUM,Deer,Buck,"Fillmore, Oak Creek LE",,Hunter's Choice,MDF,
97,104,DB1013|DB1020|DB1031|DB1118,DB1013|DB1020|DB1031|DB1118,MEDIUM,Deer,Buck,"La Sal, Dolores Triangle",,Multiseason,SCI,
98,105,DB1014,DB1014,HIGH,Deer,Buck,"San Juan, Elk Ridge",,Archery,UAA,
99,106,DB1014|DB1022|DB1037|DB1046,DB1014|DB1022|DB1037|DB1046,MEDIUM,Deer,Buck,"San Juan, Elk Ridge",,Hunter's Choice,SFW,
89,96,DB1015,DB1015,HIGH,Deer,Buck,Diamond Mtn,,Archery,MDF,
90,97,DB1015|DB1023|DB1038|DB1047,DB1015|DB1023|DB1038|DB1047,MEDIUM,Deer,Buck,Diamond Mtn,,Hunter's Choice,RMEF,
91,98,DB1015|DB1023|DB1038|DB1047,DB1015|DB1023|DB1038|DB1047,MEDIUM,Deer,Buck,Diamond Mtn,,Hunter's Choice,MDF,
