excel_row,hunt_code,boundary_id,species,hunt_name,sex_type,weapon,old_season,new_season,organization,applied
222,PB5025,628,Pronghorn,Beaver,Buck,Any Legal Weapon,Hunter's Choice,Sept 12 2026 - Sept 20 2026,UAA,yes
274,PB5039,138,Pronghorn,Vernal,Buck,Any Legal Weapon,Multiseason,Sept 12 2026 - Sept 20 2026,WCF,yes
