file,actual_draw_year,model_target_year,hunt_code,hunt_name,species,sex_type,weapon,hunt_type,draw_design,record_type,source_file,rows,permits_sum,res_sum,nr_sum,reasons,confirmed_like
draw_results_2019_for_2020_canonical_yearly_draw_results.csv,2019,2020,DS6605,"Pine Valley, Beaver Dam",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,"2019 Draw 5, Big Game Bonus Point Draw Results",point_level_draw_result,19_bg-odds(1).pdf,54,0,0,0,hunt_type=Conservation|text_indicator,True
draw_results_2019_for_2020_canonical_yearly_draw_results.csv,2019,2020,DS6605,"Pine Valley, Beaver Dam",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,"2019 Draw 5, Big Game Bonus Point Draw Results",hunt_total_draw_result,19_bg-odds(1).pdf,2,0,0,0,hunt_type=Conservation|text_indicator,True
draw_results_2019_for_2020_canonical_yearly_draw_results.csv,2019,2020,BR7307,La Sal,Black Bear,Either Sex,Multiseason,Conservation,Black Bear,point_level_draw_result,19_drawing_odds(1).pdf,40,0,0,0,hunt_type=Conservation|text_indicator,True
draw_results_2019_for_2020_canonical_yearly_draw_results.csv,2019,2020,BR7307,La Sal,Black Bear,Either Sex,Multiseason,Conservation,Black Bear,hunt_total_draw_result,19_drawing_odds(1).pdf,2,0,0,0,hunt_type=Conservation|text_indicator,True
draw_results_2020_for_2021_canonical_yearly_draw_results.csv,2020,2021,BR7307,La Sal,Black Bear,Either Sex,Multiseason,Conservation,Black Bear,point_level_draw_result,20_drawing_odds(2).pdf,40,0,0,0,hunt_type=Conservation|text_indicator,True
draw_results_2020_for_2021_canonical_yearly_draw_results.csv,2020,2021,BR7307,La Sal,Black Bear,Either Sex,Multiseason,Conservation,Black Bear,hunt_total_draw_result,20_drawing_odds(2).pdf,2,0,0,0,hunt_type=Conservation|text_indicator,True
draw_results_2021_for_2022_canonical_yearly_draw_results.csv,2021,2022,BR7307,La Sal,Black Bear,Either Sex,Any Legal Weapon,Conservation,Black Bear,POINT_ROW,2021 Bear Draw Results.pdf,40,0,0,0,hunt_type=Conservation|text_indicator,True
draw_results_2021_for_2022_canonical_yearly_draw_results.csv,2021,2022,BR7307,La Sal,Black Bear,Either Sex,Any Legal Weapon,Conservation,Black Bear,TOTAL,2021 Bear Draw Results.pdf,2,0,0,0,hunt_type=Conservation|text_indicator,True
draw_results_2025_for_2026_canonical_yearly_draw_results.csv,2025,2026,BR7307,La Sal,Black Bear,Either Sex,Multiseason,Conservation,UHA,conservation_auction_allocation,pipeline/RAW/hunt_unit_database/2026/pdf/Conservation Permits/2025-27 Conservation Permits.pdf,1,1,0,0,hunt_type=Conservation|record_type=conservation_auction_allocation|draw_design=org|text_indicator,True
draw_results_2025_for_2026_canonical_yearly_draw_results.csv,2025,2026,BR7307,La Sal,Black Bear,Either Sex,Multiseason,Conservation,SFW,conservation_auction_allocation,pipeline/RAW/hunt_unit_database/2026/pdf/Conservation Permits/2025-27 Conservation Permits.pdf,2,2,0,0,hunt_type=Conservation|record_type=conservation_auction_allocation|draw_design=org|text_indicator,True
draw_results_2025_for_2026_canonical_yearly_draw_results.csv,2025,2026,BR7307,La Sal,Black Bear,Either Sex,Multiseason,Conservation,MDF,conservation_auction_allocation,pipeline/RAW/hunt_unit_database/2026/pdf/Conservation Permits/2025-27 Conservation Permits.pdf,1,1,0,0,hunt_type=Conservation|record_type=conservation_auction_allocation|draw_design=org|text_indicator,True
