cols,ext,headers,list_changed_hunt_codes,list_changes,list_largest_group_decreases,list_largest_group_increases,list_largest_species_decreases,list_largest_species_increases,list_lock_codes,list_misses,list_no_quota_published_codes,list_notes,list_organization_counts,list_predictive_reference_codes_added_this_run,list_predictive_reference_codes_locked,list_species_counts,list_stale_quota_fixed_codes,list_total_only_codes,list_validation_errors,mtime,path,rows,size
23,.csv,source_no|permit_class|source_year_range|model_target_year|species_raw|species|hunt_family|area|condition|value|organization|permit_total,,,,,,,,,,,,,,,,,,1779805168.4766567,data_model\harvest_quality\raw_packages\unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected\official_2025_2027_conservation_permit_year_expanded.csv,1008,245023
23,.csv,source_no|permit_class|source_year_range|model_target_year|species_raw|species|hunt_family|area|condition|value|organization|permit_total,,,,,,,,,,,,,,,,,,1779805168.585747,data_truth\harvest_results_truth\raw_packages\unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected\official_2025_2027_conservation_permit_year_expanded.csv,1008,245023
17,.csv,permit_year|permit_class|source_cycle|source_row|row_number|species|area|condition|organization|hunt_class|average_value|permit_count,,,,,,,,,,,,,,,,,,1779805168.4616525,data_model\harvest_quality\raw_packages\2026_for_2026_conservation_overlay_truth_2026_species_corrected\conservation_permit_raw_336_rows_expanded_2025_2027_species_corrected.csv,1008,234808
17,.csv,permit_year|permit_class|source_cycle|source_row|row_number|species|area|condition|organization|hunt_class|average_value|permit_count,,,,,,,,,,,,,,,,,,1779805168.5706751,data_truth\harvest_results_truth\raw_packages\2026_for_2026_conservation_overlay_truth_2026_species_corrected\conservation_permit_raw_336_rows_expanded_2025_2027_species_corrected.csv,1008,234808
46,.csv,overlay_id|permit_class|source_cycle|permit_year_rule|species|sex|huntType|huntClass|area|unitCode|unitNames|weapon,,,,,,,,,,,,,,,,,,1779805168.4606533,data_model\harvest_quality\raw_packages\2026_for_2026_conservation_overlay_truth_2026_species_corrected\conservation_permit_overlay_grouped_2025_2027_species_corrected.csv,813,472853
46,.csv,overlay_id|permit_class|source_cycle|permit_year_rule|species|sex|huntType|huntClass|area|unitCode|unitNames|weapon,,,,,,,,,,,,,,,,,,1779805168.5696757,data_truth\harvest_results_truth\raw_packages\2026_for_2026_conservation_overlay_truth_2026_species_corrected\conservation_permit_overlay_grouped_2025_2027_species_corrected.csv,813,472853
15,.csv,cycle|cycle_start_year|cycle_end_year|cycle_year_count|source_file|source_row_id|group|organization|species_detail|species_family|area|condition_or_weapon,,,,,,,,,,,,,,,,,,1779819236.3048267,data_truth\permit_overlay_truth\normalized\conservation_permit_cycle_rows_2022_2027.csv,589,103038
5,.csv,file|hunt_code|changed|before|after,,,,,,,,,,,,,,,,,,1779810268.7196891,processed_data\desert_bighorn_conservation_permit_code_lock_2026_runtime_updates.csv,506,542252
5,.csv,file|hunt_code|changed|before|after,,,,,,,,,,,,,,,,,,1779678535.8498812,processed_data\conservation_permit_hunt_code_lock_2026_runtime_updates.csv,504,430323
26,.csv,source_no|permit_class|source_year_range|model_target_year|species_raw|species|hunt_family|area|condition|value|organization|permit_total,,,,,,,,,,,,,,,,,,1779805168.469654,data_model\harvest_quality\raw_packages\unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected\conservation_permit_hunt_code_join_candidates_annual_per_row.csv,336,125260
26,.csv,source_no|permit_class|source_year_range|model_target_year|species_raw|species|hunt_family|area|condition|value|organization|permit_total,,,,,,,,,,,,,,,,,,1779805168.578677,data_truth\harvest_results_truth\raw_packages\unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected\conservation_permit_hunt_code_join_candidates_annual_per_row.csv,336,125260
23,.csv,source_no|permit_class|source_year_range|model_target_year|species_raw|species|hunt_family|area|condition|value|organization|permit_total,,,,,,,,,,,,,,,,,,1779805168.4786553,data_model\harvest_quality\raw_packages\unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected\official_2026_conservation_permits_one_year_rows.csv,336,81907
23,.csv,source_no|permit_class|source_year_range|model_target_year|species_raw|species|hunt_family|area|condition|value|organization|permit_total,,,,,,,,,,,,,,,,,,1779805168.5867505,data_truth\harvest_results_truth\raw_packages\unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected\official_2026_conservation_permits_one_year_rows.csv,336,81907
json-list,.json,,,,,,,,,,,,,,,,,,,1776796726.5962954,pipeline\RAW\hunt_unit_database\2025\json\conservation-permit-workbook-2025-27-raw.json,336,80079
