pdf_name,title,hunt_code_count,canonical_row_count,canonical_code_count,missing_canonical_codes,output_pdf,output_xlsx,preview
2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf,COMPREHENSIVE SPECIES HUNT FAMILY UOGA FORMAT,834,29549,834,,outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf,outputs\2026_PERMITS=2027_MODEL_species_family_docs\xlsx\2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.xlsx,outputs\2026_PERMITS=2027_MODEL_species_family_docs\previews\2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT__summary.png
2026_PERMITS=2027_MODEL__ANTLERLESS DEER PERMIT QUOTA.pdf,ANTLERLESS DEER PERMIT QUOTA,21,21,21,,outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__ANTLERLESS DEER PERMIT QUOTA.pdf,outputs\2026_PERMITS=2027_MODEL_species_family_docs\xlsx\2026_PERMITS=2027_MODEL__ANTLERLESS DEER PERMIT QUOTA.xlsx,
2026_PERMITS=2027_MODEL__ANTLERLESS ELK PERMIT QUOTA.pdf,ANTLERLESS ELK PERMIT QUOTA,210,210,210,,outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__ANTLERLESS ELK PERMIT QUOTA.pdf,outputs\2026_PERMITS=2027_MODEL_species_family_docs\xlsx\2026_PERMITS=2027_MODEL__ANTLERLESS ELK PERMIT QUOTA.xlsx,
2026_PERMITS=2027_MODEL__ANTLERLESS MOOSE PERMIT QUOTA.pdf,ANTLERLESS MOOSE PERMIT QUOTA,5,5,5,,outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__ANTLERLESS MOOSE PERMIT QUOTA.pdf,outputs\2026_PERMITS=2027_MODEL_species_family_docs\xlsx\2026_PERMITS=2027_MODEL__ANTLERLESS MOOSE PERMIT QUOTA.xlsx,
2026_PERMITS=2027_MODEL__ANTLERLESS PERMIT QUOTA SUMMARY.pdf,ANTLERLESS PERMIT QUOTA SUMMARY,262,262,262,,outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__ANTLERLESS PERMIT QUOTA SUMMARY.pdf,outputs\2026_PERMITS=2027_MODEL_species_family_docs\xlsx\2026_PERMITS=2027_MODEL__ANTLERLESS PERMIT QUOTA SUMMARY.xlsx,
2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,BEAR DRAW RESULTS,90,2698,90,,outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,outputs\2026_PERMITS=2027_MODEL_species_family_docs\xlsx\2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.xlsx,
2026_PERMITS=2027_MODEL__BEAR RESTRICTED PURSUIT DRAW RESULTS.pdf,BEAR RESTRICTED PURSUIT DRAW RESULTS,9,116,9,,outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__BEAR RESTRICTED PURSUIT DRAW RESULTS.pdf,outputs\2026_PERMITS=2027_MODEL_species_family_docs\xlsx\2026_PERMITS=2027_MODEL__BEAR RESTRICTED PURSUIT DRAW RESULTS.xlsx,
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,D.H. DEER DRAW RESULTS,31,421,31,,outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,outputs\2026_PERMITS=2027_MODEL_species_family_docs\xlsx\2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.xlsx,
2026_PERMITS=2027_MODEL__DOE PRONGHORN PERMIT QUOTA.pdf,DOE PRONGHORN PERMIT QUOTA,25,25,25,,outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__DOE PRONGHORN PERMIT QUOTA.pdf,outputs\2026_PERMITS=2027_MODEL_species_family_docs\xlsx\2026_PERMITS=2027_MODEL__DOE PRONGHORN PERMIT QUOTA.xlsx,
2026_PERMITS=2027_MODEL__EWE ROCKY MTN SHEEP PERMIT QUOTA.pdf,EWE ROCKY MTN SHEEP PERMIT QUOTA,1,1,1,,outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__EWE ROCKY MTN SHEEP PERMIT QUOTA.pdf,outputs\2026_PERMITS=2027_MODEL_species_family_docs\xlsx\2026_PERMITS=2027_MODEL__EWE ROCKY MTN SHEEP PERMIT QUOTA.xlsx,
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS,106,2534,106,,outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,outputs\2026_PERMITS=2027_MODEL_species_family_docs\xlsx\2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.xlsx,
2026_PERMITS=2027_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,L.E. BUCK DEER DRAW RESULTS,192,6756,192,,outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,outputs\2026_PERMITS=2027_MODEL_species_family_docs\xlsx\2026_PERMITS=2027_MODEL__L.E. BUCK DEER DRAW RESULTS.xlsx,outputs\2026_PERMITS=2027_MODEL_species_family_docs\previews\2026_PERMITS=2027_MODEL__L.E. BUCK DEER DRAW RESULTS__summary.png
2026_PERMITS=2027_MODEL__L.E. BUCK PRONGHORN DRAW RESULTS.pdf,L.E. BUCK PRONGHORN DRAW RESULTS,87,2222,87,,outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__L.E. BUCK PRONGHORN DRAW RESULTS.pdf,outputs\2026_PERMITS=2027_MODEL_species_family_docs\xlsx\2026_PERMITS=2027_MODEL__L.E. BUCK PRONGHORN DRAW RESULTS.xlsx,
2026_PERMITS=2027_MODEL__L.E. BULL ELK DRAW RESULTS.pdf,L.E. BULL ELK DRAW RESULTS,209,9560,209,,outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__L.E. BULL ELK DRAW RESULTS.pdf,outputs\2026_PERMITS=2027_MODEL_species_family_docs\xlsx\2026_PERMITS=2027_MODEL__L.E. BULL ELK DRAW RESULTS.xlsx,outputs\2026_PERMITS=2027_MODEL_species_family_docs\previews\2026_PERMITS=2027_MODEL__L.E. BULL ELK DRAW RESULTS__summary.png
2026_PERMITS=2027_MODEL__O.I.L. BISON DRAW RESULTS.pdf,O.I.L. BISON DRAW RESULTS,16,870,16,,outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__O.I.L. BISON DRAW RESULTS.pdf,outputs\2026_PERMITS=2027_MODEL_species_family_docs\xlsx\2026_PERMITS=2027_MODEL__O.I.L. BISON DRAW RESULTS.xlsx,
2026_PERMITS=2027_MODEL__O.I.L. BULL MOOSE DRAW RESULTS.pdf,O.I.L. BULL MOOSE DRAW RESULTS,26,1516,26,,outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__O.I.L. BULL MOOSE DRAW RESULTS.pdf,outputs\2026_PERMITS=2027_MODEL_species_family_docs\xlsx\2026_PERMITS=2027_MODEL__O.I.L. BULL MOOSE DRAW RESULTS.xlsx,
