hunt_code,boundary_id,hunt_name,species,hunt_class,hunt_type,draw_family,weapon,sex_type,season,access_type,permits_2024_res,permits_2024_nr,permits_2024_total,permits_2024_source,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2025_source,permits_2026_res,permits_2026_nr,permits_2026_total,permits_2026_source,permits_2026_draw_source,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permit_allotment_2026_source,permit_allotment_2026_source_file,permit_allotment_2026_status,draw_2026_system_type,draw_2025_bg_pdf_page,draw_2025_bg_report_page,draw_2025_type,percent_harvest_success_previous_hunting_season,average_harvest_age,current_age_3yr_average,average_harvest_age_source_file,average_harvest_age_review_status,dwr_huntplanner_age_objective,dwr_huntplanner_population_objective,dwr_huntplanner_current_population_estimate,conservation_permits_2026_total,conservation_permits_2026_source,notes,source_authority,source_file,data_status,generated_at,huntCode,code,title,huntTitle,unitName,unitCode,boundaryId,boundaryID,BoundaryID,boundary_id_numeric,totalPermits,permitsTotal,quota,dates,sex,sexType,type,category,Weapon,boundaryLink
BI1000,5000,Bison - Statewide Permit,Bison,Statewide Permit,Statewide,,Any Legal Weapon,Hunters Choice,"Aug 1, 2026 - Jan 31, 2027",Public,1,0,1,REBUILD_2023_DRAW_RESULTS_FOR_2024_MODELING_V2,,,,,,,1,2026_CURRENT_PERMIT_RECONCILIATION:UTAHDRAWS,,,,1,2026_CURRENT_PERMIT_RECONCILIATION:UTAHDRAWS,processed_data/audits/dwr_2026_draw_results_vs_database_allotments.csv,RECONCILED_2026_RECOMMENDED_TOTAL_ONLY,,,,,100,,,,,,,,1,2026 CONSERVATION PERMITS.pdf (rows by hunt code); ingested 2026-05-30,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-06-04T07:07:35Z,BI1000,BI1000,Bison - Statewide Permit,Bison - Statewide Permit,Bison - Statewide Permit,5000,5000,5000,5000,5000,1,1,1,"Aug 1, 2026 - Jan 31, 2027",Hunters Choice,Hunters Choice,Statewide,Statewide Permit,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI1000
BI6500,1,Antelope Island,Bison,Once-in-a-lifetime,Once-in-a-lifetime,BONUS_OIL_BIG_GAME,Any Legal Weapon,Hunters Choice,Dec 07 2026 - Dec 09 2026,Public,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,1,0,1,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,2,0,2,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2,0,2,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,LIVE_DWR_RES_NR_SPLIT,BONUS_OIL_BIG_GAME,535,1,Bonus Point Draw Results,100,,,,,,,,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-06-04T07:07:35Z,BI6500,BI6500,Antelope Island,Antelope Island,Antelope Island,1,1,1,1,1,2,2,2,Dec 07 2026 - Dec 09 2026,Hunters Choice,Hunters Choice,Once-in-a-lifetime,Once-in-a-lifetime,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6500
BI6503,94,Henry Mtns,Bison,Once-in-a-lifetime,Once-in-a-lifetime,BONUS_OIL_BIG_GAME,Any Legal Weapon,Hunters Choice,Oct 28 2026 - Nov 8 2026,Public,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,4,1,5,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,4,2,6,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,4,2,6,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,LIVE_DWR_RES_NR_SPLIT,BONUS_OIL_BIG_GAME,536,2,Bonus Point Draw Results,90.9,,,,,,450 adults,358 adults,1,2026 CONSERVATION PERMITS.pdf (rows by hunt code); ingested 2026-05-30,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-06-04T07:07:35Z,BI6503,BI6503,Henry Mtns,Henry Mtns,Henry Mtns,94,94,94,94,94,6,6,6,Oct 28 2026 - Nov 8 2026,Hunters Choice,Hunters Choice,Once-in-a-lifetime,Once-in-a-lifetime,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6503
BI6504,94,Henry Mtns,Bison,Once-in-a-lifetime,Once-in-a-lifetime,BONUS_OIL_BIG_GAME,Any Legal Weapon,Hunters Choice,Nov 11 2026 - Nov 22 2026,Public,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,3,1,4,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,5,2,7,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,5,2,7,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,LIVE_DWR_RES_NR_SPLIT,BONUS_OIL_BIG_GAME,537,3,Bonus Point Draw Results,90.9,,,,,,450 adults,358 adults,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-06-04T07:07:35Z,BI6504,BI6504,Henry Mtns,Henry Mtns,Henry Mtns,94,94,94,94,94,7,7,7,Nov 11 2026 - Nov 22 2026,Hunters Choice,Hunters Choice,Once-in-a-lifetime,Once-in-a-lifetime,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6504
BI6505,94,Henry Mtns,Bison,Antlerless,Once-in-a-lifetime,BONUS_OIL_BIG_GAME,Any Legal Weapon,Female Only,Dec 9 2026 - Dec 20 2026,Public,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,1,1,2,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,8,3,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,2026_RAC_CURRENT_YEAR_ALLOTMENT,8,3,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT,BONUS_OIL_BIG_GAME,538,4,Bonus Point Draw Results,80,,,,,,450 adults,358 adults,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-06-04T07:07:35Z,BI6505,BI6505,Henry Mtns,Henry Mtns,Henry Mtns,94,94,94,94,94,11,11,11,Dec 9 2026 - Dec 20 2026,Female Only,Female Only,Once-in-a-lifetime,Antlerless,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6505
BI6506,94,Henry Mtns,Bison,Antlerless,Once-in-a-lifetime,BONUS_OIL_BIG_GAME,Any Legal Weapon,Female Only,"Dec 23, 2026 - Jan 3, 2027",Public,5,1,6,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,1,1,2,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,11,0,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,2026_RAC_CURRENT_YEAR_ALLOTMENT,11,0,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT,BONUS_OIL_BIG_GAME,539,5,Bonus Point Draw Results,75,,,,,,450 adults,358 adults,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-06-04T07:07:35Z,BI6506,BI6506,Henry Mtns,Henry Mtns,Henry Mtns,94,94,94,94,94,11,11,11,"Dec 23, 2026 - Jan 3, 2027",Female Only,Female Only,Once-in-a-lifetime,Antlerless,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6506
BI6509,94,Henry Mtns,Bison,Once-in-a-lifetime,Once-in-a-lifetime,BONUS_OIL_BIG_GAME,Archery,Hunters Choice,"Jan 18 - 31, 2027",Public,1,1,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,2,1,3,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,5,0,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,5,0,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,LIVE_DWR_RES_NR_SPLIT,BONUS_OIL_BIG_GAME,540,6,Bonus Point Draw Results,100,,,,,,450 adults,358 adults,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-06-04T07:07:35Z,BI6509,BI6509,Henry Mtns,Henry Mtns,Henry Mtns,94,94,94,94,94,5,5,5,"Jan 18 - 31, 2027",Hunters Choice,Hunters Choice,Once-in-a-lifetime,Once-in-a-lifetime,Archery,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6509
BI6516,94,Henry Mtns,Bison,Once-in-a-lifetime,Once-in-a-lifetime,BONUS_OIL_BIG_GAME,Any Legal Weapon,Hunters Choice,Nov 25 2026 - Dec 6 2026,Public,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,2,1,3,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,6,0,6,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,6,0,6,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,LIVE_DWR_RES_NR_SPLIT,BONUS_OIL_BIG_GAME,541,7,Bonus Point Draw Results,100,,,,,,450 adults,358 adults,1,2026 CONSERVATION PERMITS.pdf (rows by hunt code); ingested 2026-05-30,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-06-04T07:07:35Z,BI6516,BI6516,Henry Mtns,Henry Mtns,Henry Mtns,94,94,94,94,94,6,6,6,Nov 25 2026 - Dec 6 2026,Hunters Choice,Hunters Choice,Once-in-a-lifetime,Once-in-a-lifetime,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6516
BI6527,615,Nine Mile,Bison,General Season,General Season,,Any Legal Weapon,Hunters Choice,"Aug 1, 2025 - Jan 31, 2026",Public,,,,,,,,,,,,Utah DWR Hunt Planner,,,,,Utah DWR Hunt Planner,Utah DWR Hunt Planner,NO_QUOTA_PUBLISHED,,,,,14.3,,,,,,,,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-06-04T07:07:35Z,BI6527,BI6527,Nine Mile,Nine Mile,Nine Mile,615,615,615,615,615,,,,"Aug 1, 2025 - Jan 31, 2026",Hunters Choice,Hunters Choice,General Season,General Season,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6527
BI6528,889,"Book Cliffs, Little Creek/South",Bison,Once-in-a-lifetime,Once-in-a-lifetime,BONUS_OIL_BIG_GAME,Archery,Hunters Choice,Aug 15 2026 - Sept 11 2026,Public,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,1,1,2,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,6,0,6,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,6,0,6,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,LIVE_DWR_RES_NR_SPLIT,BONUS_OIL_BIG_GAME,542,8,Bonus Point Draw Results,33.3,,,,,,325 adults (post season),478 adults,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-06-04T07:07:35Z,BI6528,BI6528,"Book Cliffs, Little Creek/South","Book Cliffs, Little Creek/South","Book Cliffs, Little Creek/South",889,889,889,889,889,6,6,6,Aug 15 2026 - Sept 11 2026,Hunters Choice,Hunters Choice,Once-in-a-lifetime,Once-in-a-lifetime,Archery,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6528
BI6529,889,"Book Cliffs, Little Creek/South",Bison,Antlerless,Once-in-a-lifetime,BONUS_OIL_BIG_GAME,Any Legal Weapon,Female Only,Oct 17 2026 - Oct 27 2026,Public,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,1,1,2,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,8,0,8,2026_RAC_CURRENT_YEAR_ALLOTMENT,2026_RAC_CURRENT_YEAR_ALLOTMENT,8,0,8,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT,BONUS_OIL_BIG_GAME,543,9,Bonus Point Draw Results,60,,,,,,325 adults (post season),478 adults,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-06-04T07:07:35Z,BI6529,BI6529,"Book Cliffs, Little Creek/South","Book Cliffs, Little Creek/South","Book Cliffs, Little Creek/South",889,889,889,889,889,8,8,8,Oct 17 2026 - Oct 27 2026,Female Only,Female Only,Once-in-a-lifetime,Antlerless,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6529
BI6530,889,"Book Cliffs, Little Creek/South",Bison,,Once-in-a-lifetime,,Any Legal Weapon,Hunters Choice,Historical 2025 draw only; season dates not validated in current DATABASE,Public,4,1,5,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,1,1,2,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,3,1,4,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,3,1,4,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=BI6530,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,,494,,2024 Draw Results PDF Model Target 2025,100,,,,,,325 adults (post season),478 adults,,,HISTORICAL_2025_DRAW_ONLY_NOT_ACTIVE_2026,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-06-04T07:07:35Z,BI6530,BI6530,"Book Cliffs, Little Creek/South","Book Cliffs, Little Creek/South","Book Cliffs, Little Creek/South",889,889,889,889,889,4,4,4,Historical 2025 draw only; season dates not validated in current DATABASE,Hunters Choice,Hunters Choice,Once-in-a-lifetime,,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6530
BI6531,889,"Book Cliffs, Little Creek/South",Bison,Once-in-a-lifetime,Once-in-a-lifetime,BONUS_OIL_BIG_GAME,Any Legal Weapon,Hunters Choice,Sept 21 2026 - Oct 02 2026,Public,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,2,1,3,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,10,0,10,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,10,0,10,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,LIVE_DWR_RES_NR_SPLIT,BONUS_OIL_BIG_GAME,544,10,Bonus Point Draw Results,60,,,,,,450 adults,480 adults (post season),1,2026 CONSERVATION PERMITS.pdf (rows by hunt code); ingested 2026-05-30,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-06-04T07:07:35Z,BI6531,BI6531,"Book Cliffs, Little Creek/South","Book Cliffs, Little Creek/South","Book Cliffs, Little Creek/South",889,889,889,889,889,10,10,10,Sept 21 2026 - Oct 02 2026,Hunters Choice,Hunters Choice,Once-in-a-lifetime,Once-in-a-lifetime,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6531
BI6532,667,"Book Cliffs, Bitter Creek",Bison,Once-in-a-lifetime,Once-in-a-lifetime,BONUS_OIL_BIG_GAME,Archery,Hunters Choice,Aug 15 2026 - Sept 11 2026,Public,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,2,1,3,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,6,0,6,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,6,0,6,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,LIVE_DWR_RES_NR_SPLIT,BONUS_OIL_BIG_GAME,545,11,Bonus Point Draw Results,75,,,,,,325 adults (post season),478 adults,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-06-04T07:07:35Z,BI6532,BI6532,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek",667,667,667,667,667,6,6,6,Aug 15 2026 - Sept 11 2026,Hunters Choice,Hunters Choice,Once-in-a-lifetime,Once-in-a-lifetime,Archery,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6532
BI6534,667,"Book Cliffs, Bitter Creek",Bison,Once-in-a-lifetime,Once-in-a-lifetime,BONUS_OIL_BIG_GAME,Any Legal Weapon,Hunters Choice,Sept 12 2026 - Sept 20 2026,Public,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,1,1,2,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,10,0,10,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,10,0,10,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,LIVE_DWR_RES_NR_SPLIT,BONUS_OIL_BIG_GAME,546,12,Bonus Point Draw Results,40,,,,,,325 adults (post season),478 adults,1,2026 CONSERVATION PERMITS.pdf (rows by hunt code); ingested 2026-05-30,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-06-04T07:07:35Z,BI6534,BI6534,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek",667,667,667,667,667,10,10,10,Sept 12 2026 - Sept 20 2026,Hunters Choice,Hunters Choice,Once-in-a-lifetime,Once-in-a-lifetime,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6534
