hunt_code,boundary_id,hunt_name,species,hunt_class,hunt_type,draw_family,weapon,sex_type,season,access_type,permits_2024_res,permits_2024_nr,permits_2024_total,permits_2024_source,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2025_source,permits_2026_res,permits_2026_nr,permits_2026_total,permits_2026_source,permits_2026_draw_source,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permit_allotment_2026_source,permit_allotment_2026_source_file,permit_allotment_2026_status,draw_2026_system_type,draw_2025_bg_pdf_page,draw_2025_bg_report_page,draw_2025_type,percent_harvest_success_previous_hunting_season,average_harvest_age,average_harvest_age_3yr_reported,current_age_3yr_average,average_harvest_age_source_file,average_harvest_age_review_status,dwr_huntplanner_age_objective,dwr_huntplanner_population_objective,dwr_huntplanner_current_population_estimate,conservation_permits_2026_total,conservation_permits_2026_source,notes,source_authority,source_file,data_status,generated_at,huntCode,code,title,huntTitle,unitName,unitCode,boundaryId,boundaryID,BoundaryID,boundary_id_numeric,totalPermits,permitsTotal,quota,dates,sex,sexType,type,category,Weapon,boundaryLink
DB1107,632,Thousand Lakes,Deer,Max/Weighted Split,Limited Entry,MAX_WEIGHTED_SPLIT,Restricted Muzzleloader,Buck,Sept 23 2026 - Oct 01 2026,Public,,,,,2,2,4,CANONICAL_YEARLY_DRAW_RESULTS_2025_FOR_2026_MODEL,20,2,22,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_HUNTPLANNER__deer.xlsx,20,2,22,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_RES_NR_SPLIT,MAX_WEIGHTED_SPLIT,71,86,Bonus Point Draw Results,27.8,,,,,,,1400,600,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,DB1107,DB1107,Thousand Lakes,Thousand Lakes,Thousand Lakes,632,632,632,632,632,22,22,22,Sept 23 2026 - Oct 01 2026,Buck,Buck,Limited Entry,Max/Weighted Split,Restricted Muzzleloader,https://dwrapps.utah.gov/huntboundary/hbstart?HN=DB1107
DB1108,632,Thousand Lakes,Deer,Max/Weighted Split,Limited Entry,MAX_WEIGHTED_SPLIT,Restricted Rifle,Buck,Oct 17 2026 - Oct 25 2026,Public,,,,,25,3,28,CANONICAL_YEARLY_DRAW_RESULTS_2025_FOR_2026_MODEL,27,3,30,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_HUNTPLANNER__deer.xlsx,27,3,30,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_RES_NR_SPLIT,MAX_WEIGHTED_SPLIT,72,87,Bonus Point Draw Results,54.5,,,,,,,1400,600,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,DB1108,DB1108,Thousand Lakes,Thousand Lakes,Thousand Lakes,632,632,632,632,632,30,30,30,Oct 17 2026 - Oct 25 2026,Buck,Buck,Limited Entry,Max/Weighted Split,Restricted Rifle,https://dwrapps.utah.gov/huntboundary/hbstart?HN=DB1108
DB1109,632,Thousand Lakes,Deer,Max/Weighted Split,Limited Entry,MAX_WEIGHTED_SPLIT,Restricted Multiseason,Buck,Multiseason,Public,,,,,,,,,2,0,2,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_HUNTPLANNER__deer.xlsx,2,0,2,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_RES_NR_SPLIT,MAX_WEIGHTED_SPLIT,,,,100,,,,,,,1400,600,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,DB1109,DB1109,Thousand Lakes,Thousand Lakes,Thousand Lakes,632,632,632,632,632,2,2,2,Multiseason,Buck,Buck,Limited Entry,Max/Weighted Split,Restricted Multiseason,https://dwrapps.utah.gov/huntboundary/hbstart?HN=DB1109
DB1110,685,"Beaver, East",Deer,Max/Weighted Split,Limited Entry,MAX_WEIGHTED_SPLIT,Muzzleloader,Buck,Oct 28 2026 - Nov 05 2026,Public,,,,,9,1,10,CANONICAL_YEARLY_DRAW_RESULTS_2025_FOR_2026_MODEL,10,1,11,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_HUNTPLANNER__deer.xlsx,10,1,11,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_RES_NR_SPLIT,MAX_WEIGHTED_SPLIT,73,88,Bonus Point Draw Results,40,,,,,,,14000 (entire Beaver unit),10500 (entire Beaver unit),,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,DB1110,DB1110,"Beaver, East","Beaver, East","Beaver, East",685,685,685,685,685,11,11,11,Oct 28 2026 - Nov 05 2026,Buck,Buck,Limited Entry,Max/Weighted Split,Muzzleloader,https://dwrapps.utah.gov/huntboundary/hbstart?HN=DB1110
DB1111,672,"Beaver, West",Deer,Max/Weighted Split,Limited Entry,MAX_WEIGHTED_SPLIT,Muzzleloader,Buck,Oct 28 2026 - Nov 05 2026,Public,,,,,4,1,5,CANONICAL_YEARLY_DRAW_RESULTS_2025_FOR_2026_MODEL,4,1,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_HUNTPLANNER__deer.xlsx,4,1,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_RES_NR_SPLIT,MAX_WEIGHTED_SPLIT,74,89,Bonus Point Draw Results,100,,,,,,,14000 (entire Beaver unit),10500 (entire Beaver unit),,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,DB1111,DB1111,"Beaver, West","Beaver, West","Beaver, West",672,672,672,672,672,5,5,5,Oct 28 2026 - Nov 05 2026,Buck,Buck,Limited Entry,Max/Weighted Split,Muzzleloader,https://dwrapps.utah.gov/huntboundary/hbstart?HN=DB1111
DB1112,926,"West Desert, Swasey",Deer,Max/Weighted Split,Limited Entry,MAX_WEIGHTED_SPLIT,Muzzleloader,Buck,Oct 28 2026 - Nov 05 2026,Public,,,,,4,1,5,CANONICAL_YEARLY_DRAW_RESULTS_2025_FOR_2026_MODEL,4,1,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_HUNTPLANNER__deer.xlsx,4,1,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_RES_NR_SPLIT,MAX_WEIGHTED_SPLIT,75,90,Bonus Point Draw Results,25,,,,,,,6200,5900,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,DB1112,DB1112,"West Desert, Swasey","West Desert, Swasey","West Desert, Swasey",926,926,926,926,926,5,5,5,Oct 28 2026 - Nov 05 2026,Buck,Buck,Limited Entry,Max/Weighted Split,Muzzleloader,https://dwrapps.utah.gov/huntboundary/hbstart?HN=DB1112
DB1113,927,Oquirrh/Tintic,Deer,Max/Weighted Split,Limited Entry,MAX_WEIGHTED_SPLIT,Muzzleloader,Buck,Oct 28 2026 - Nov 05 2026,Public,,,,,11,1,12,CANONICAL_YEARLY_DRAW_RESULTS_2025_FOR_2026_MODEL,10,1,11,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_HUNTPLANNER__deer.xlsx,10,1,11,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_RES_NR_SPLIT,MAX_WEIGHTED_SPLIT,76,91,Bonus Point Draw Results,100,,,,,,,8800,9500,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,DB1113,DB1113,Oquirrh/Tintic,Oquirrh/Tintic,Oquirrh/Tintic,927,927,927,927,927,11,11,11,Oct 28 2026 - Nov 05 2026,Buck,Buck,Limited Entry,Max/Weighted Split,Muzzleloader,https://dwrapps.utah.gov/huntboundary/hbstart?HN=DB1113
DB1114,925,Cedar/Stansbury,Deer,Max/Weighted Split,Limited Entry,MAX_WEIGHTED_SPLIT,Muzzleloader,Buck,Oct 28 2026 - Nov 05 2026,Public,,,,,5,1,6,CANONICAL_YEARLY_DRAW_RESULTS_2025_FOR_2026_MODEL,5,1,6,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_HUNTPLANNER__deer.xlsx,5,1,6,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_RES_NR_SPLIT,MAX_WEIGHTED_SPLIT,77,92,Bonus Point Draw Results,33.3,,,,,,,5600,5100,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,DB1114,DB1114,Cedar/Stansbury,Cedar/Stansbury,Cedar/Stansbury,925,925,925,925,925,6,6,6,Oct 28 2026 - Nov 05 2026,Buck,Buck,Limited Entry,Max/Weighted Split,Muzzleloader,https://dwrapps.utah.gov/huntboundary/hbstart?HN=DB1114
DB1115,928,Little Rockies,Deer,Max/Weighted Split,Limited Entry,MAX_WEIGHTED_SPLIT,Any Legal Weapon,Buck,Nov 07 2026 - Nov 30 2026,Public,,,,,4,1,5,CANONICAL_YEARLY_DRAW_RESULTS_2025_FOR_2026_MODEL,4,1,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_HUNTPLANNER__deer.xlsx,4,1,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_RES_NR_SPLIT,MAX_WEIGHTED_SPLIT,78,93,Bonus Point Draw Results,40,,,,,,,,,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,DB1115,DB1115,Little Rockies,Little Rockies,Little Rockies,928,928,928,928,928,5,5,5,Nov 07 2026 - Nov 30 2026,Buck,Buck,Limited Entry,Max/Weighted Split,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=DB1115
DB1116,929,"San Juan, Mancos Mesa",Deer,Max/Weighted Split,Limited Entry,MAX_WEIGHTED_SPLIT,"San Juan, Mancos Mesa",Buck,Nov 07 2026 - Nov 30 2026,Public,,,,,4,1,5,CANONICAL_YEARLY_DRAW_RESULTS_2025_FOR_2026_MODEL,4,1,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_HUNTPLANNER__deer.xlsx,4,1,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_RES_NR_SPLIT,MAX_WEIGHTED_SPLIT,79,94,Bonus Point Draw Results,50,,,,,,,,,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,DB1116,DB1116,"San Juan, Mancos Mesa","San Juan, Mancos Mesa","San Juan, Mancos Mesa",929,929,929,929,929,5,5,5,Nov 07 2026 - Nov 30 2026,Buck,Buck,Limited Entry,Max/Weighted Split,"San Juan, Mancos Mesa",https://dwrapps.utah.gov/huntboundary/hbstart?HN=DB1116
DB1118,108,Dolores Triangle,Deer,Organizations,Conservation,REFERENCE_ONLY,Multiseason,Buck,Multiseason,Public,,,,,,,,,,,0,2026_HUNT_PLANNER_DWR_CONFIRMED_TRUTH_SOURCE,2026_HUNTPLANNER__deer.xlsx,,,0,2026_HUNT_PLANNER_DWR_CONFIRMED_TRUTH_SOURCE,2026_HUNTPLANNER__deer.xlsx,LEGACY_COMPAT_MIRROR_OF_PERMITS_2026,REFERENCE_ONLY,,,,,,,,,,,,,1,data/conservation-permit-hunt-table-2025-27.json; reviewed official DWR 2025-27 conservation-permit crosswalk; non-additive per-hunt-code coverage; checked 2026-08-28,Conservation overlay verified: 1 permit for Dolores Triangle; keep separate from public draw odds.,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,DB1118,DB1118,Dolores Triangle,Dolores Triangle,Dolores Triangle,108,108,108,108,108,0,0,0,Multiseason,Buck,Buck,Conservation,Organizations,Multiseason,https://dwrapps.utah.gov/huntboundary/hbstart?HN=DB1118
DB1119,930,Moab Valley,Deer,Max/Weighted Split,Limited Entry,MAX_WEIGHTED_SPLIT,Any Legal Weapon,Buck,Nov 07 2026 - Nov 22 2026,Public,,,,,9,1,10,CANONICAL_YEARLY_DRAW_RESULTS_2025_FOR_2026_MODEL,9,1,10,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_HUNTPLANNER__deer.xlsx,9,1,10,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_RES_NR_SPLIT,MAX_WEIGHTED_SPLIT,80,95,Bonus Point Draw Results,44.4,,,,,,,,,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,DB1119,DB1119,Moab Valley,Moab Valley,Moab Valley,930,930,930,930,930,10,10,10,Nov 07 2026 - Nov 22 2026,Buck,Buck,Limited Entry,Max/Weighted Split,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=DB1119
DB1120,932,Castle Valley,Deer,Max/Weighted Split,Limited Entry,MAX_WEIGHTED_SPLIT,Any Legal Weapon,Buck,Nov 07 2026 - Nov 22 2026,Public,,,,,13,2,15,CANONICAL_YEARLY_DRAW_RESULTS_2025_FOR_2026_MODEL,13,2,15,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_HUNTPLANNER__deer.xlsx,13,2,15,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_RES_NR_SPLIT,MAX_WEIGHTED_SPLIT,81,96,Bonus Point Draw Results,80,,,,,,,,,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,DB1120,DB1120,Castle Valley,Castle Valley,Castle Valley,932,932,932,932,932,15,15,15,Nov 07 2026 - Nov 22 2026,Buck,Buck,Limited Entry,Max/Weighted Split,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=DB1120
DB1121,1,Antelope Island,Deer,Max/Weighted Split,Limited Entry,MAX_WEIGHTED_SPLIT,Any Legal Weapon,Buck,"Nov 16 2026 - Nov 20, 2026",Public,,,,,,,,,2,0,2,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_HUNTPLANNER__deer.xlsx,2,0,2,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_RES_NR_SPLIT,MAX_WEIGHTED_SPLIT,,,,,,,,,,,,,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,DB1121,DB1121,Antelope Island,Antelope Island,Antelope Island,1,1,1,1,1,2,2,2,"Nov 16 2026 - Nov 20, 2026",Buck,Buck,Limited Entry,Max/Weighted Split,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=DB1121
DB1200,526,Alton,Deer,Max/Weighted Split,CWMU,MAX_WEIGHTED_SPLIT,Any Legal Weapon,Buck,Contact operator for 2026 season dates,Public,4,0,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,3,0,3,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,3,0,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_HUNTPLANNER__deer.xlsx,3,0,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_CWMU_TOTAL_ONLY_FROM_QUOTA_RES,MAX_WEIGHTED_SPLIT,82,97,Bonus Point Draw Results,90,,,,,,,,,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,DB1200,DB1200,Alton,Alton,Alton,526,526,526,526,526,3,3,3,Contact operator for 2026 season dates,Buck,Buck,CWMU,Max/Weighted Split,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=DB1200
DB1201,526,Alton,Deer,Max/Weighted Split,CWMU,MAX_WEIGHTED_SPLIT,Any Legal Weapon,Buck,Contact Operator for 2026 season dates,Public,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,1,0,1,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,1,0,1,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_HUNTPLANNER__deer.xlsx,1,0,1,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_CWMU_TOTAL_ONLY_FROM_QUOTA_RES,MAX_WEIGHTED_SPLIT,83,98,Bonus Point Draw Results,100,,,,,,,,,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,DB1201,DB1201,Alton,Alton,Alton,526,526,526,526,526,1,1,1,Contact Operator for 2026 season dates,Buck,Buck,CWMU,Max/Weighted Split,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=DB1201
DB1202,581,Antelope Creek,Deer,Max/Weighted Split,CWMU,MAX_WEIGHTED_SPLIT,Any Legal Weapon,Buck,Contact Operator for 2026 season dates,Public,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,1,0,1,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,1,0,1,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_HUNTPLANNER__deer.xlsx,1,0,1,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_CWMU_TOTAL_ONLY_FROM_QUOTA_RES,MAX_WEIGHTED_SPLIT,84,99,Bonus Point Draw Results,50,,,,,,,,,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,DB1202,DB1202,Antelope Creek,Antelope Creek,Antelope Creek,581,581,581,581,581,1,1,1,Contact Operator for 2026 season dates,Buck,Buck,CWMU,Max/Weighted Split,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=DB1202
DB1203,599,Avintaquin Canyon,Deer,Max/Weighted Split,CWMU,MAX_WEIGHTED_SPLIT,Any Legal Weapon,Buck,Contact Operator for 2026 season dates,Public,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,1,0,1,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,1,0,1,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_HUNTPLANNER__deer.xlsx,1,0,1,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_CWMU_TOTAL_ONLY_FROM_QUOTA_RES,MAX_WEIGHTED_SPLIT,85,100,Bonus Point Draw Results,100,,,,,,,,,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,DB1203,DB1203,Avintaquin Canyon,Avintaquin Canyon,Avintaquin Canyon,599,599,599,599,599,1,1,1,Contact Operator for 2026 season dates,Buck,Buck,CWMU,Max/Weighted Split,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=DB1203
DB1204,559,Bally Watts,Deer,Max/Weighted Split,CWMU,MAX_WEIGHTED_SPLIT,Any Legal Weapon,Buck,Contact Operator for 2026 season dates,Public,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,1,0,1,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,1,0,1,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_HUNTPLANNER__deer.xlsx,1,0,1,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_CWMU_TOTAL_ONLY_FROM_QUOTA_RES,MAX_WEIGHTED_SPLIT,86,101,Bonus Point Draw Results,77.8,,,,,,,,,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,DB1204,DB1204,Bally Watts,Bally Watts,Bally Watts,559,559,559,559,559,1,1,1,Contact Operator for 2026 season dates,Buck,Buck,CWMU,Max/Weighted Split,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=DB1204
DB1205,527,Bar J Ranch,Deer,Max/Weighted Split,CWMU,MAX_WEIGHTED_SPLIT,Any Legal Weapon,Buck,Contact Operator for 2026 season dates,Public,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,1,0,1,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,1,0,1,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_HUNTPLANNER__deer.xlsx,1,0,1,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_CWMU_TOTAL_ONLY_FROM_QUOTA_RES,MAX_WEIGHTED_SPLIT,87,102,Bonus Point Draw Results,50,,,,,,,,,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,DB1205,DB1205,Bar J Ranch,Bar J Ranch,Bar J Ranch,527,527,527,527,527,1,1,1,Contact Operator for 2026 season dates,Buck,Buck,CWMU,Max/Weighted Split,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=DB1205
DB1206,582,Bear Mountain,Deer,Max/Weighted Split,CWMU,MAX_WEIGHTED_SPLIT,Any Legal Weapon,Buck,Contact Operator for 2026 season dates,Public,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,1,0,1,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,1,0,1,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_HUNTPLANNER__deer.xlsx,1,0,1,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_CWMU_TOTAL_ONLY_FROM_QUOTA_RES,MAX_WEIGHTED_SPLIT,88,103,Bonus Point Draw Results,100,,,,,,,,,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,DB1206,DB1206,Bear Mountain,Bear Mountain,Bear Mountain,582,582,582,582,582,1,1,1,Contact Operator for 2026 season dates,Buck,Buck,CWMU,Max/Weighted Split,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=DB1206
DB1207,575,Bear Springs,Deer,Max/Weighted Split,CWMU,MAX_WEIGHTED_SPLIT,Any Legal Weapon,Buck,Contact Operator for 2026 season dates,Public,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,1,0,1,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,1,0,1,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_HUNTPLANNER__deer.xlsx,1,0,1,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_CWMU_TOTAL_ONLY_FROM_QUOTA_RES,MAX_WEIGHTED_SPLIT,89,104,Bonus Point Draw Results,66.7,,,,,,,,,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,DB1207,DB1207,Bear Springs,Bear Springs,Bear Springs,575,575,575,575,575,1,1,1,Contact Operator for 2026 season dates,Buck,Buck,CWMU,Max/Weighted Split,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=DB1207
