hunt_code,residency,user_points,gap,status,trend,guaranteed_at_2026,guaranteed_at_2025,projected_draw_odds,hunt_point_summary_title,hunt_point_summary_guaranteed,hunt_point_summary_points,hunt_point_summary_status,hunt_point_summary_odds,hunt_point_summary_trend
BI6500,Resident,8,23,BEHIND CURVE,YELLOW,31,31,0.046,HUNT POINT SUMMARY,Guaranteed At: 31 pts,Your Points: 8 pts,Status: 23 pts short of guaranteed,Estimated Draw Odds: 0.046% from remaining pool,Trend: YELLOW
BI6500,Resident,7,24,BEHIND CURVE,YELLOW,31,31,0.018,HUNT POINT SUMMARY,Guaranteed At: 31 pts,Your Points: 7 pts,Status: 24 pts short of guaranteed,Estimated Draw Odds: 0.018% from remaining pool,Trend: YELLOW
BI6500,Resident,6,25,BEHIND CURVE,YELLOW,31,31,0.016,HUNT POINT SUMMARY,Guaranteed At: 31 pts,Your Points: 6 pts,Status: 25 pts short of guaranteed,Estimated Draw Odds: 0.016% from remaining pool,Trend: YELLOW
BI6500,Resident,5,26,BEHIND CURVE,YELLOW,31,31,0.034,HUNT POINT SUMMARY,Guaranteed At: 31 pts,Your Points: 5 pts,Status: 26 pts short of guaranteed,Estimated Draw Odds: 0.034% from remaining pool,Trend: YELLOW
BI6500,Resident,4,27,BEHIND CURVE,YELLOW,31,31,0.010,HUNT POINT SUMMARY,Guaranteed At: 31 pts,Your Points: 4 pts,Status: 27 pts short of guaranteed,Estimated Draw Odds: 0.010% from remaining pool,Trend: YELLOW
BI6500,Resident,3,28,BEHIND CURVE,YELLOW,31,31,0.010,HUNT POINT SUMMARY,Guaranteed At: 31 pts,Your Points: 3 pts,Status: 28 pts short of guaranteed,Estimated Draw Odds: 0.010% from remaining pool,Trend: YELLOW
BI6500,Resident,2,29,BEHIND CURVE,YELLOW,31,31,0.014,HUNT POINT SUMMARY,Guaranteed At: 31 pts,Your Points: 2 pts,Status: 29 pts short of guaranteed,Estimated Draw Odds: 0.014% from remaining pool,Trend: YELLOW
BI6500,Resident,1,30,BEHIND CURVE,YELLOW,31,31,0.002,HUNT POINT SUMMARY,Guaranteed At: 31 pts,Your Points: 1 pts,Status: 30 pts short of guaranteed,Estimated Draw Odds: 0.002% from remaining pool,Trend: YELLOW
BI6500,Resident,0,31,BEHIND CURVE,YELLOW,31,31,0.004,HUNT POINT SUMMARY,Guaranteed At: 31 pts,Your Points: 0 pts,Status: 31 pts short of guaranteed,Estimated Draw Odds: 0.004% from remaining pool,Trend: YELLOW
BI6500,Nonresident,32,-32,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 32 pts,Status: 32 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
BI6500,Nonresident,31,-31,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 31 pts,Status: 31 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
BI6500,Nonresident,30,-30,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 30 pts,Status: 30 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
BI6500,Nonresident,29,-29,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 29 pts,Status: 29 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
BI6500,Nonresident,28,-28,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 28 pts,Status: 28 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
BI6500,Nonresident,27,-27,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 27 pts,Status: 27 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
BI6500,Nonresident,26,-26,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 26 pts,Status: 26 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
BI6500,Nonresident,25,-25,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 25 pts,Status: 25 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
BI6500,Nonresident,24,-24,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 24 pts,Status: 24 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
BI6500,Nonresident,23,-23,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 23 pts,Status: 23 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
BI6500,Nonresident,22,-22,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 22 pts,Status: 22 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
BI6500,Nonresident,21,-21,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 21 pts,Status: 21 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
BI6500,Nonresident,20,-20,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 20 pts,Status: 20 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
BI6500,Nonresident,19,-19,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 19 pts,Status: 19 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
BI6500,Nonresident,18,-18,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 18 pts,Status: 18 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
