engine_family,normalized_field,resident_source,nonresident_source,total_source,defaulted
preference_general_deer,eligible_applicants,resident_eligible_applicants,nonresident_eligible_applicants,total_eligible_applicants,false
preference_general_deer,drawn,resident_regular_permits|resident_total_permits,nonresident_regular_permits|nonresident_total_permits,total_regular_permits|total_permits,false
preference_antlerless,p_draw_pct,resident_p_draw_percent,nonresident_p_draw_percent,total_p_draw_percent,false
dedicated_hunter,target_permits,resident_regular_permits|resident_total_permits,nonresident_regular_permits|nonresident_total_permits,total_regular_permits|total_permits,false
