bucket,hunt_code,hunt_name,species,permit_type,draw_system_type,algorithm_status,present_in_ml_draw_predictions_v1,present_in_draw_reality_engine_predictive_v2,present_in_hunt_master_enriched,present_in_hunt_unit_reference_linked,reason_not_modeled,recommended_action
coverage_seen_not_in_database,BI6501,,,,BONUS_OIL_BIG_GAME,MODELED_BONUS,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BI6507,,,,BONUS_OIL_BIG_GAME,MODELED_BONUS,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BI6508,,,,BONUS_OIL_BIG_GAME,MODELED_BONUS,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BI6515,,,,BONUS_OIL_BIG_GAME,MODELED_BONUS,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BI6518,,,,BONUS_OIL_BIG_GAME,MODELED_BONUS,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BI6522,,,,BONUS_OIL_BIG_GAME,MODELED_BONUS,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BR7002,,,,BEAR_DRAW,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BR7006,,,,BEAR_DRAW,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BR7103,,,,BEAR_DRAW,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BR7107,,,,BEAR_DRAW,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BR7202,,,,BEAR_DRAW,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BR7206,,,,BEAR_DRAW,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BR7222,,,,BEAR_DRAW,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BR7223,,,,BEAR_DRAW,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BR7302,,,,BEAR_DRAW,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BR7306,,,,BEAR_DRAW,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
