hunt_code,in_forecast,in_backtest,in_current_database,forecast_eligible_2026,exclusion_reason,hunt_type,species,hunt_name,permits_2026_res,permits_2026_nr,permits_2026_total,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permit_allotment_2026_source,permit_allotment_2026_source_file,permit_allotment_2026_status
BI1000,True,True,True,False,included_forecast,Statewide,Bison,Statewide,1,0,1,1,0,1,FALLBACK_EXISTING_2026_PERMITS,CANONICAL_YEARLY_DRAW_RESULTS_2026_FOR_2027_MODEL,FALLBACK_EXISTING_2026_PERMITS
BI6500,True,True,True,True,included_forecast,Once-in-a-lifetime,Bison,Antelope Island,2,0,2,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6501,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,,,,,,,
BI6503,True,True,True,True,included_forecast,Once-in-a-lifetime,Bison,Henry Mtns,3,2,5,4,2,6,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6504,True,True,True,True,included_forecast,Once-in-a-lifetime,Bison,Henry Mtns,5,2,7,5,2,7,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6505,True,True,True,True,included_forecast,Once-in-a-lifetime,Bison,Henry Mtns,8,2,10,8,3,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6506,True,True,True,True,included_forecast,Once-in-a-lifetime,Bison,Henry Mtns,11,0,11,11,0,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6507,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,,,,,,,
BI6508,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,,,,,,,
BI6509,True,True,True,True,included_forecast,Once-in-a-lifetime,Bison,Henry Mtns,5,0,5,5,0,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6515,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,,,,,,,
BI6516,True,True,True,True,included_forecast,Once-in-a-lifetime,Bison,Henry Mtns,6,0,6,6,0,6,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6517,False,True,True,False,missing_forecast_quota,Once-in-a-Lifetime,Bison,Book Cliffs,,,,,,,,,
BI6518,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,,,,,,,
BI6519,False,True,True,False,missing_forecast_quota,Once-in-a-Lifetime,Bison,"Book Cliffs, Little Creek Roadless",,,,,,,,,
BI6520,False,True,True,False,missing_forecast_quota,Once-in-a-Lifetime,Bison,Book Cliffs,,,,,,,,,
BI6521,False,True,True,False,missing_forecast_quota,Once-in-a-Lifetime,Bison,Book Cliffs,,,,,,,,,
BI6522,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,,,,,,,
BI6523,False,True,True,False,missing_forecast_quota,Once-in-a-Lifetime,Bison,"Book Cliffs, Bitter Creek/south",,,,,,,,,
BI6524,False,True,True,False,missing_forecast_quota,Once-in-a-Lifetime,Bison,"Book Cliffs, Little Creek Roadless",,,,,,,,,
BI6526,False,True,True,False,missing_forecast_quota,Once-in-a-Lifetime,Bison,"Book Cliffs, Wild Horse Bench (hunter's Choice) - Closed",,,,,,,,,
BI6527,False,False,True,False,not_OIL_LE_PLE,General Season,Bison,Nine Mile,,,,,,,Utah DWR Hunt Planner,Utah DWR Hunt Planner,NO_QUOTA_PUBLISHED
BI6528,True,True,True,True,included_forecast,Once-in-a-lifetime,Bison,"Book Cliffs, Little Creek/South",6,0,6,5,0,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6529,True,True,True,True,included_forecast,Once-in-a-lifetime,Bison,"Book Cliffs, Little Creek/South",8,0,8,8,0,8,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6530,False,True,True,False,missing_forecast_quota,Once-in-a-lifetime,Bison,"Book Cliffs, Little Creek/South",,,,,,,,,LIVE_DWR_2026_NOT_ACTIVE_HISTORICAL_ONLY
BI6531,True,True,True,True,included_forecast,Once-in-a-lifetime,Bison,"Book Cliffs, Little Creek/South",9,0,9,10,0,10,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6532,True,True,True,True,included_forecast,Once-in-a-lifetime,Bison,"Book Cliffs, Bitter Creek (pronghorn)",6,0,6,5,0,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6533,False,True,True,False,missing_forecast_quota,Once-in-a-Lifetime,Bison,"Book Cliffs, Little Creek/south",,,,,,,,,
BI6534,True,True,True,True,included_forecast,Once-in-a-lifetime,Bison,"Book Cliffs, Bitter Creek (pronghorn)",10,0,10,10,0,10,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6535,True,True,True,True,included_forecast,Once-in-a-lifetime,Bison,"Book Cliffs, Bitter Creek (pronghorn)",8,0,8,8,0,8,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6536,True,True,True,True,included_forecast,Once-in-a-lifetime,Bison,"Book Cliffs, Bitter Creek (pronghorn)",14,0,14,15,0,15,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6537,True,True,True,True,included_forecast,Once-in-a-lifetime,Bison,"Book Cliffs, Little Creek/South",8,7,15,8,7,15,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6538,False,False,True,False,not_OIL_LE_PLE,General Season,Bison,Nine Mile,,,,,,,Utah DWR Hunt Planner,Utah DWR Hunt Planner,NO_QUOTA_PUBLISHED
BI6539,False,True,True,True,other_missing_model_input,Once-in-a-Lifetime,Bison,Henry Mtns,11,0,11,11,0,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BR1000,True,True,True,False,included_forecast,Statewide,Black Bear,Statewide,1,0,1,1,0,1,FALLBACK_EXISTING_2026_PERMITS,CANONICAL_YEARLY_DRAW_RESULTS_2026_FOR_2027_MODEL,FALLBACK_EXISTING_2026_PERMITS
BR1001,True,False,True,False,included_forecast,O.T.C.,Black Bear,Harvest Objective Units,,,,,,,,,
BR1007,True,False,True,False,included_forecast,O.T.C.,Black Bear,Pursuit,,,,,,,,,
BR1008,True,True,True,False,included_forecast,O.T.C.,Black Bear,Book Cliffs,26,2,28,26,2,28,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR1009,True,True,True,False,included_forecast,O.T.C.,Black Bear,La Sal,14,1,15,14,1,15,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR1010,True,True,True,False,included_forecast,O.T.C.,Black Bear,San Juan,14,1,15,14,1,15,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR1011,True,True,True,False,included_forecast,O.T.C.,Black Bear,Book Cliffs,26,2,28,26,2,28,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR1012,True,True,True,False,included_forecast,O.T.C.,Black Bear,La Sal,14,1,15,14,1,15,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR1013,True,True,True,False,included_forecast,O.T.C.,Black Bear,San Juan,14,1,15,14,1,15,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR1015,True,True,True,False,included_forecast,O.T.C.,Black Bear,Book Cliffs,0,2,2,0,2,2,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
