"local_path","size_bytes","size_mb","git_tracked","r2_bucket","r2_key","r2_uri","public_url_candidate","uploaded_at"
"audits/draw_results_long_2019_2020_backfill/draw_results_long_2019_2020_backfill_candidate.csv","142383950","135.79","False","uoga-data","hunt-builder/large-files/audits/draw_results_long_2019_2020_backfill/draw_results_long_2019_2020_backfill_candidate.csv","r2://uoga-data/hunt-builder/large-files/audits/draw_results_long_2019_2020_backfill/draw_results_long_2019_2020_backfill_candidate.csv","https://json.uoga.workers.dev/hunt-builder/large-files/audits/draw_results_long_2019_2020_backfill/draw_results_long_2019_2020_backfill_candidate.csv","2026-06-20T20:52:44"
"data_truth/draw_results_truth/normalized/draw_results_long.BACKUP_BEFORE_2019_CLEAN_20260609_091524.csv","142383950","135.79","False","uoga-data","hunt-builder/large-files/data_truth/draw_results_truth/normalized/draw_results_long.BACKUP_BEFORE_2019_CLEAN_20260609_091524.csv","r2://uoga-data/hunt-builder/large-files/data_truth/draw_results_truth/normalized/draw_results_long.BACKUP_BEFORE_2019_CLEAN_20260609_091524.csv","https://json.uoga.workers.dev/hunt-builder/large-files/data_truth/draw_results_truth/normalized/draw_results_long.BACKUP_BEFORE_2019_CLEAN_20260609_091524.csv","2026-06-20T20:52:48"
"audits/prediction_validation/patch_2021_success_rates_from_parent_pdfs/backups/finalized_point_distribution.BACKUP_BEFORE_2021_SUCCESS_RATE_PATCH_20260619T044654Z.csv","141669078","135.11","False","uoga-data","hunt-builder/large-files/audits/prediction_validation/patch_2021_success_rates_from_parent_pdfs/backups/finalized_point_distribution.BACKUP_BEFORE_2021_SUCCESS_RATE_PATCH_20260619T044654Z.csv","r2://uoga-data/hunt-builder/large-files/audits/prediction_validation/patch_2021_success_rates_from_parent_pdfs/backups/finalized_point_distribution.BACKUP_BEFORE_2021_SUCCESS_RATE_PATCH_20260619T044654Z.csv","https://json.uoga.workers.dev/hunt-builder/large-files/audits/prediction_validation/patch_2021_success_rates_from_parent_pdfs/backups/finalized_point_distribution.BACKUP_BEFORE_2021_SUCCESS_RATE_PATCH_20260619T044654Z.csv","2026-06-20T20:52:53"
"audits/prediction_validation/patch_2021_success_rates_from_parent_pdfs/backups/finalized_point_distribution.BACKUP_BEFORE_2021_SUCCESS_RATE_PATCH_20260619T043910Z.csv","141658165","135.1","False","uoga-data","hunt-builder/large-files/audits/prediction_validation/patch_2021_success_rates_from_parent_pdfs/backups/finalized_point_distribution.BACKUP_BEFORE_2021_SUCCESS_RATE_PATCH_20260619T043910Z.csv","r2://uoga-data/hunt-builder/large-files/audits/prediction_validation/patch_2021_success_rates_from_parent_pdfs/backups/finalized_point_distribution.BACKUP_BEFORE_2021_SUCCESS_RATE_PATCH_20260619T043910Z.csv","https://json.uoga.workers.dev/hunt-builder/large-files/audits/prediction_validation/patch_2021_success_rates_from_parent_pdfs/backups/finalized_point_distribution.BACKUP_BEFORE_2021_SUCCESS_RATE_PATCH_20260619T043910Z.csv","2026-06-20T20:52:57"
"audits/prediction_validation/patch_2021_success_rates_from_parent_pdfs/backups/finalized_point_distribution.BACKUP_BEFORE_2021_SUCCESS_RATE_PATCH_20260619T041919Z.csv","141634716","135.07","False","uoga-data","hunt-builder/large-files/audits/prediction_validation/patch_2021_success_rates_from_parent_pdfs/backups/finalized_point_distribution.BACKUP_BEFORE_2021_SUCCESS_RATE_PATCH_20260619T041919Z.csv","r2://uoga-data/hunt-builder/large-files/audits/prediction_validation/patch_2021_success_rates_from_parent_pdfs/backups/finalized_point_distribution.BACKUP_BEFORE_2021_SUCCESS_RATE_PATCH_20260619T041919Z.csv","https://json.uoga.workers.dev/hunt-builder/large-files/audits/prediction_validation/patch_2021_success_rates_from_parent_pdfs/backups/finalized_point_distribution.BACKUP_BEFORE_2021_SUCCESS_RATE_PATCH_20260619T041919Z.csv","2026-06-20T20:53:02"
"engine_rebuild_from_truth/engine/draw_engine_input_point_rows.csv","141634716","135.07","False","uoga-data","hunt-builder/large-files/engine_rebuild_from_truth/engine/draw_engine_input_point_rows.csv","r2://uoga-data/hunt-builder/large-files/engine_rebuild_from_truth/engine/draw_engine_input_point_rows.csv","https://json.uoga.workers.dev/hunt-builder/large-files/engine_rebuild_from_truth/engine/draw_engine_input_point_rows.csv","2026-06-20T20:53:06"
"audits/prediction_validation/patch_2021_success_rates_from_parent_pdfs/backups/finalized_point_distribution.BACKUP_BEFORE_2021_SUCCESS_RATE_PATCH_20260619T041655Z.csv","141634716","135.07","False","uoga-data","hunt-builder/large-files/audits/prediction_validation/patch_2021_success_rates_from_parent_pdfs/backups/finalized_point_distribution.BACKUP_BEFORE_2021_SUCCESS_RATE_PATCH_20260619T041655Z.csv","r2://uoga-data/hunt-builder/large-files/audits/prediction_validation/patch_2021_success_rates_from_parent_pdfs/backups/finalized_point_distribution.BACKUP_BEFORE_2021_SUCCESS_RATE_PATCH_20260619T041655Z.csv","https://json.uoga.workers.dev/hunt-builder/large-files/audits/prediction_validation/patch_2021_success_rates_from_parent_pdfs/backups/finalized_point_distribution.BACKUP_BEFORE_2021_SUCCESS_RATE_PATCH_20260619T041655Z.csv","2026-06-20T20:53:11"
"point_ladder_view1.csv","132457019","126.32","False","uoga-data","hunt-builder/large-files/point_ladder_view1.csv","r2://uoga-data/hunt-builder/large-files/point_ladder_view1.csv","https://json.uoga.workers.dev/hunt-builder/large-files/point_ladder_view1.csv","2026-06-20T20:53:15"
"processed_data/backups/research_feeder_sync_20260604T064259Z/processed_data/point_ladder_view.csv","132456166","126.32","False","uoga-data","hunt-builder/large-files/processed_data/backups/research_feeder_sync_20260604T064259Z/processed_data/point_ladder_view.csv","r2://uoga-data/hunt-builder/large-files/processed_data/backups/research_feeder_sync_20260604T064259Z/processed_data/point_ladder_view.csv","https://json.uoga.workers.dev/hunt-builder/large-files/processed_data/backups/research_feeder_sync_20260604T064259Z/processed_data/point_ladder_view.csv","2026-06-20T20:53:19"
"audits/draw_truth_rebuild/clean_rebuild_now_20260607/draw_results_long_CLEAN_CANDIDATE.csv","132078197","125.96","False","uoga-data","hunt-builder/large-files/audits/draw_truth_rebuild/clean_rebuild_now_20260607/draw_results_long_CLEAN_CANDIDATE.csv","r2://uoga-data/hunt-builder/large-files/audits/draw_truth_rebuild/clean_rebuild_now_20260607/draw_results_long_CLEAN_CANDIDATE.csv","https://json.uoga.workers.dev/hunt-builder/large-files/audits/draw_truth_rebuild/clean_rebuild_now_20260607/draw_results_long_CLEAN_CANDIDATE.csv","2026-06-20T20:53:23"
