from_year,to_year,year_transition,hunt_code,residency,mean_absolute_error_applicants_at_level,mean_absolute_error_applicants_above,bonus_pool_cutoff_error,guaranteed_at_error,quota_split_error,brier_score_by_point_level,calibration_error_by_probability_bucket
2018,2019,2018->2019,EA1013,Resident,31.941176,25.941176,-1,-1,54,0.058874,0.060554
2018,2019,2018->2019,DB1550,Resident,15.045455,20.272727,-6,-6,202,0.143777,0.15472
2018,2019,2018->2019,MA1000,Nonresident,2.058824,0.823529,-3,-3,2,0.058824,0.058824
2018,2019,2018->2019,BR7112,Resident,1.285714,0.52381,1,1,2,0.021164,0.031746
2018,2019,2018->2019,EA1189,Nonresident,0.647059,0.352941,-2,-2,22,0.0,0.0
2018,2019,2018->2019,EA1101,Nonresident,8.529412,11.529412,-5,-5,22,0.071504,0.086134
2018,2019,2018->2019,DB1219,Resident,1.074074,2.444444,-2,-2,0,0.074074,0.074074
2018,2019,2018->2019,EA1125,Resident,4.882353,3.941176,-1,-1,20,0.066327,0.079832
2018,2019,2018->2019,DB1325,Nonresident,0.0,0.0,1,1,0,0.0,0.0
2018,2019,2018->2019,MB6208,Resident,2.444444,8.555556,1,1,0,0.018896,0.026455
2018,2019,2018->2019,DB1285,Resident,0.592593,2.37037,-1,-1,2,0.037037,0.037037
2018,2019,2018->2019,PB5330,Resident,0.074074,0.0,0,0,2,0.009259,0.018519
2018,2019,2018->2019,DB1007,Resident,5.814815,10.703704,-1,-1,0,0.000457,0.004115
2018,2019,2018->2019,DB1774,Resident,6.090909,0.681818,-2,-2,266,0.0,0.0
2018,2019,2018->2019,EB3011,Nonresident,1.925926,4.777778,1,1,0,0.004115,0.012346
2018,2019,2018->2019,EB3083,Resident,1.666667,0.777778,0,0,4,0.086168,0.095238
2018,2019,2018->2019,DB1795,Resident,11.045455,0.772727,-3,-3,486,0.045455,0.045455
2018,2019,2018->2019,DA1018,Nonresident,0.529412,0.117647,0,0,8,0.033088,0.044118
2018,2019,2018->2019,PB5003,Nonresident,0.0,0.0,1,1,0,0.0,0.0
2018,2019,2018->2019,PB5029,Resident,2.888889,1.37037,0,0,4,0.07438,0.070707
2018,2019,2018->2019,DB1590,Resident,79.045455,11.681818,-5,-5,3278,0.136364,0.136364
2018,2019,2018->2019,EB3055,Resident,2.481481,3.259259,0,0,2,0.074074,0.074074
2018,2019,2018->2019,EA1185,Nonresident,0.0,0.0,1,1,0,0.0,0.0
2018,2019,2018->2019,EB3101,Nonresident,0.0,0.0,1,1,0,0.0,0.0
2018,2019,2018->2019,BR7117,Nonresident,0.0,0.0,1,1,0,0.0,0.0
2018,2019,2018->2019,MB6222,Resident,2.222222,7.333333,0,0,2,0.074074,0.074074
2018,2019,2018->2019,EA1136,Nonresident,0.0,0.0,1,1,0,0.0,0.0
2018,2019,2018->2019,EB3555,Nonresident,0.0,0.0,1,1,0,0.0,0.0
2018,2019,2018->2019,DB1520,Nonresident,0.318182,0.227273,-2,-2,14,0.045455,0.045455
2018,2019,2018->2019,EB3508,Nonresident,0.0,0.0,1,1,0,0.0,0.0
2018,2019,2018->2019,EB3035,Nonresident,0.407407,0.518519,-7,-7,2,0.037037,0.037037
2018,2019,2018->2019,CG7506,Resident,10.952381,5.190476,0,0,0,0.098214,0.107143
2018,2019,2018->2019,BR7108,Resident,3.52381,7.095238,-2,-2,2,0.3207,0.326531
2018,2019,2018->2019,DB1006,Nonresident,4.962963,16.481481,1,1,2,0.078189,0.08642
2018,2019,2018->2019,PD1041,Resident,0.4375,0.375,,,8,0.0,0.0
2018,2019,2018->2019,DA1000,Nonresident,3.529412,1.058824,0,0,8,0.020016,0.034314
2018,2019,2018->2019,PD1034,Resident,13.5625,10.375,,,90,0.0,0.0
2018,2019,2018->2019,EB3077,Resident,2.296296,8.851852,-1,-1,2,0.074074,0.074074
2018,2019,2018->2019,EA1034,Resident,4.117647,2.411765,-6,-6,76,0.0,0.0
2018,2019,2018->2019,BR7004,Resident,5.52381,4.047619,1,1,2,0.116402,0.126984
2018,2019,2018->2019,DB1266,Resident,1.037037,2.703704,0,0,0,0.083333,0.092593
2018,2019,2018->2019,EB3524,Resident,0.851852,1.259259,-2,-2,0,0.041152,0.049383
2018,2019,2018->2019,DB1232,Resident,0.777778,0.703704,0,0,0,0.0,0.0
2018,2019,2018->2019,DB1542,Nonresident,1.863636,0.409091,-2,-2,92,0.045455,0.045455
2018,2019,2018->2019,PB5033,Nonresident,1.592593,3.444444,-1,-1,0,0.074074,0.074074
2018,2019,2018->2019,PD1006,Nonresident,0.941176,0.529412,0,0,8,0.037647,0.047059
2018,2019,2018->2019,BI6508,Resident,5.37037,7.592593,-2,-2,4,0.296296,0.296296
2018,2019,2018->2019,MB6006,Nonresident,51.407407,310.888889,0,0,2,0.009259,0.018519
2018,2019,2018->2019,BR7207,Resident,0.380952,0.238095,-1,-1,2,0.047619,0.047619
2018,2019,2018->2019,EA1143,Nonresident,0.0,0.0,1,1,0,0.0,0.0
2018,2019,2018->2019,DB1241,Nonresident,0.0,0.0,1,1,0,0.0,0.0
2018,2019,2018->2019,EA1008,Nonresident,0.411765,0.411765,-1,-1,2,0.014706,0.029412
2018,2019,2018->2019,PD1032,Resident,1.882353,1.705882,-3,-3,12,0.068235,0.082353
2018,2019,2018->2019,EB3115,Resident,1.592593,2.37037,0,0,2,0.037037,0.037037
2018,2019,2018->2019,EA1168,Nonresident,0.0,0.0,1,1,0,0.0,0.0
2018,2019,2018->2019,DB1780,Nonresident,0.136364,0.045455,-1,-1,2,0.045455,0.045455
2018,2019,2018->2019,DB1592,Resident,28.727273,4.5,-4,-4,1268,0.136364,0.136364
2018,2019,2018->2019,DB1548,Resident,84.590909,23.727273,-5,-5,1654,0.186131,0.19582
2018,2019,2018->2019,DB1792,Nonresident,0.0,0.0,1,1,4,0.0,0.0
2018,2019,2018->2019,EB3013,Nonresident,1.259259,1.333333,1,1,2,0.009259,0.018519
2018,2019,2018->2019,DB1258,Nonresident,0.0,0.0,1,1,0,0.0,0.0
2018,2019,2018->2019,DB1276,Resident,0.074074,0.148148,0,0,2,0.037037,0.037037
2018,2019,2018->2019,EB3605,Resident,0.961538,5.538462,,,6,0.115385,0.115385
2018,2019,2018->2019,DB1028,Nonresident,1.074074,3.962963,-7,-7,2,0.037037,0.037037
2018,2019,2018->2019,GO6811,Nonresident,3.259259,12.888889,0,0,2,0.037037,0.037037
2018,2019,2018->2019,DA1042,Nonresident,0.4375,0.3125,,,8,0.0,0.0
2018,2019,2018->2019,EA1020,Nonresident,0.941176,0.529412,-1,-1,6,0.061728,0.071895
2018,2019,2018->2019,EA1025,Nonresident,0.529412,0.294118,-2,-2,14,0.0,0.0
2018,2019,2018->2019,EB3064,Resident,4.185185,5.407407,0,0,2,0.243056,0.25
2018,2019,2018->2019,DB1021,Nonresident,1.148148,1.333333,0,0,2,0.148148,0.148148
2018,2019,2018->2019,EA1117,Nonresident,1.411765,0.882353,-5,-5,8,0.060768,0.069519
2018,2019,2018->2019,DB1288,Nonresident,0.0,0.0,1,1,0,0.0,0.0
2018,2019,2018->2019,EB3551,Resident,0.925926,1.333333,0,0,2,0.009259,0.018519
2018,2019,2018->2019,DB1566,Resident,19.045455,4.818182,-4,-4,674,0.181818,0.181818
2018,2019,2018->2019,MB6210,Nonresident,0.0,0.0,1,1,0,0.0,0.0
2018,2019,2018->2019,EA1129,Resident,38.647059,16.235294,-7,-7,460,0.066641,0.080268
2018,2019,2018->2019,DB1310,Resident,0.481481,1.111111,,,2,0.0,0.0
2018,2019,2018->2019,EA1146,Resident,2.117647,0.647059,-2,-2,18,0.059412,0.064706
2018,2019,2018->2019,EB3106,Resident,1.185185,1.555556,-2,-2,2,0.037037,0.037037
2018,2019,2018->2019,DA1032,Resident,31.235294,20.882353,-5,-5,180,0.072797,0.087494
2018,2019,2018->2019,PD1020,Resident,9.529412,3.352941,-2,-2,90,0.08279,0.09637
2018,2019,2018->2019,EB3092,Nonresident,0.0,0.0,1,1,0,0.0,0.0
2018,2019,2018->2019,BR7013,Nonresident,0.0,0.0,1,1,0,0.0,0.0
2018,2019,2018->2019,BR7307,Nonresident,0.0,0.0,1,1,0,0.0,0.0
2018,2019,2018->2019,EA1115,Nonresident,0.3125,0.1875,,,2,0.006944,0.020833
2018,2019,2018->2019,EB3014,Resident,1.0,0.555556,0,0,0,0.117037,0.125926
2018,2019,2018->2019,BR7220,Nonresident,0.0,0.0,1,1,0,0.0,0.0
2018,2019,2018->2019,EB3074,Resident,1.962963,1.481481,-1,-1,0,0.111111,0.111111
2018,2019,2018->2019,DB1203,Nonresident,0.0,0.0,1,1,0,0.0,0.0
2018,2019,2018->2019,EA1203,Resident,1.8125,1.3125,,,8,0.0,0.0
2018,2019,2018->2019,EB3028,Resident,7.481481,31.555556,0,0,4,0.037202,0.034568
2018,2019,2018->2019,DB1564,Nonresident,0.590909,0.227273,-5,-5,26,0.0,0.0
2018,2019,2018->2019,PB5334,Resident,13.222222,17.222222,1,1,42,0.04234,0.051051
2018,2019,2018->2019,DB1012,Resident,2.592593,7.814815,-2,-2,0,0.111867,0.116402
2018,2019,2018->2019,PD1030,Nonresident,0.235294,0.117647,-2,-2,4,0.0,0.0
2018,2019,2018->2019,EA1014,Nonresident,0.117647,0.0,0,0,6,0.0,0.0
2018,2019,2018->2019,DB1791,Nonresident,0.0,0.0,1,1,0,0.0,0.0
2018,2019,2018->2019,EA1007,Nonresident,0.882353,0.941176,0,0,2,0.006536,0.019608
2018,2019,2018->2019,BR7228,Resident,0.8,1.65,,,2,0.0,0.0
2018,2019,2018->2019,EB3061,Nonresident,7.518519,23.851852,0,0,2,0.05787,0.064815
2018,2019,2018->2019,EB3066,Nonresident,16.703704,88.222222,1,1,0,0.013333,0.022222
2018,2019,2018->2019,EA1060,Nonresident,0.176471,0.0,0,0,6,0.0,0.0
2018,2019,2018->2019,CG1013,Nonresident,0.238095,0.380952,-4,-4,2,0.0,0.0
2018,2019,2018->2019,PB5004,Nonresident,0.0,0.0,1,1,0,0.0,0.0
2018,2019,2018->2019,EA1004,Nonresident,1.705882,1.058824,-2,-2,6,0.065359,0.078431
2018,2019,2018->2019,EA1215,Resident,1.1875,0.625,,,38,0.0,0.0
2018,2019,2018->2019,DB1550,Nonresident,2.045455,2.136364,-4,-4,22,0.181818,0.181818
2018,2019,2018->2019,EB3125,Resident,0.740741,1.333333,-1,-1,2,0.037037,0.037037
2018,2019,2018->2019,EB3126,Resident,5.555556,7.259259,-1,-1,12,0.149977,0.156379
2018,2019,2018->2019,BR7112,Nonresident,0.0,0.0,1,1,0,0.0,0.0
2018,2019,2018->2019,EB3094,Nonresident,0.814815,1.518519,0,0,2,0.037037,0.037037
2018,2019,2018->2019,DB1541,Resident,35.863636,13.545455,-3,-3,664,0.14024,0.149637
2018,2019,2018->2019,DB1285,Nonresident,0.0,0.0,1,1,0,0.0,0.0
2018,2019,2018->2019,MB6261,Resident,1.481481,5.62963,-1,-1,2,0.037037,0.037037
2018,2019,2018->2019,PB5330,Nonresident,0.0,0.0,1,1,0,0.0,0.0
2018,2019,2018->2019,BR1009,Resident,3.571429,1.142857,0,0,0,0.035767,0.04127
2018,2019,2018->2019,DB1007,Nonresident,0.0,0.0,1,1,0,0.0,0.0
2018,2019,2018->2019,DB1579,Nonresident,1.227273,0.772727,-4,-4,38,0.056818,0.068182
2018,2019,2018->2019,DB1774,Nonresident,0.045455,0.0,0,0,2,0.0,0.0
