"hunt_code","from_hunt_code","to_hunt_code","compare_status","identity_score","candidate_confidence","species_from","species_to","resolution_bucket","source_file"
"DB1200","DB1200","DB1200","EXACT_CODE_RETAINED","1","EXACT_CODE","Buck Deer","Buck Deer","2025_EXACT_CODE_RETAINED","processed_data/audits/cwmu_2025_compare_strong_2025_to_2026_code_continuity.csv"
"DB1201","DB1201","DB1201","EXACT_CODE_RETAINED","1","EXACT_CODE","Buck Deer","Buck Deer","2025_EXACT_CODE_RETAINED","processed_data/audits/cwmu_2025_compare_strong_2025_to_2026_code_continuity.csv"
"DB1209","DB1209","DB1209","EXACT_CODE_RETAINED","1","EXACT_CODE","Buck Deer","Buck Deer","2025_EXACT_CODE_RETAINED","processed_data/audits/cwmu_2025_compare_strong_2025_to_2026_code_continuity.csv"
"DB1238","DB1238","DB1238","EXACT_CODE_RETAINED","1","EXACT_CODE","Buck Deer","Buck Deer","2025_EXACT_CODE_RETAINED","processed_data/audits/cwmu_2025_compare_strong_2025_to_2026_code_continuity.csv"
"DB1255","DB1255","DB1255","EXACT_CODE_RETAINED","1","EXACT_CODE","Buck Deer","Buck Deer","2025_EXACT_CODE_RETAINED","processed_data/audits/cwmu_2025_compare_strong_2025_to_2026_code_continuity.csv"
"DB1310","DB1310","DB1310","EXACT_CODE_RETAINED","1","EXACT_CODE","Buck Deer","Buck Deer","2025_EXACT_CODE_RETAINED","processed_data/audits/cwmu_2025_compare_strong_2025_to_2026_code_continuity.csv"
"DB1330","DB1330","DB1330","EXACT_CODE_RETAINED","1","EXACT_CODE","Buck Deer","Buck Deer","2025_EXACT_CODE_RETAINED","processed_data/audits/cwmu_2025_compare_strong_2025_to_2026_code_continuity.csv"
"DB1333","DB1333","DB1333","EXACT_CODE_RETAINED","1","EXACT_CODE","Buck Deer","Buck Deer","2025_EXACT_CODE_RETAINED","processed_data/audits/cwmu_2025_compare_strong_2025_to_2026_code_continuity.csv"
"DB1334","DB1334","DB1334","EXACT_CODE_RETAINED","1","EXACT_CODE","Buck Deer","Buck Deer","2025_EXACT_CODE_RETAINED","processed_data/audits/cwmu_2025_compare_strong_2025_to_2026_code_continuity.csv"
"DB1335","DB1335","DB1335","EXACT_CODE_RETAINED","1","EXACT_CODE","Buck Deer","Buck Deer","2025_EXACT_CODE_RETAINED","processed_data/audits/cwmu_2025_compare_strong_2025_to_2026_code_continuity.csv"
"DB1337","DB1337","DB1337","EXACT_CODE_RETAINED","1","EXACT_CODE","Buck Deer","Buck Deer","2025_EXACT_CODE_RETAINED","processed_data/audits/cwmu_2025_compare_strong_2025_to_2026_code_continuity.csv"
"DB1349","DB1349","DB1349","EXACT_CODE_RETAINED","1","EXACT_CODE","Buck Deer","Buck Deer","2025_EXACT_CODE_RETAINED","processed_data/audits/cwmu_2025_compare_strong_2025_to_2026_code_continuity.csv"
"EB3520","EB3520","EB3520","EXACT_CODE_RETAINED","1","EXACT_CODE","Bull Elk","Bull Elk","2025_EXACT_CODE_RETAINED","processed_data/audits/cwmu_2025_compare_strong_2025_to_2026_code_continuity.csv"
"EB3531","EB3531","EB3531","EXACT_CODE_RETAINED","1","EXACT_CODE","Bull Elk","Bull Elk","2025_EXACT_CODE_RETAINED","processed_data/audits/cwmu_2025_compare_strong_2025_to_2026_code_continuity.csv"
"EB3545","EB3545","EB3545","EXACT_CODE_RETAINED","1","EXACT_CODE","Bull Elk","Bull Elk","2025_EXACT_CODE_RETAINED","processed_data/audits/cwmu_2025_compare_strong_2025_to_2026_code_continuity.csv"
"EB3613","EB3613","EB3613","EXACT_CODE_RETAINED","1","EXACT_CODE","Bull Elk","Bull Elk","2025_EXACT_CODE_RETAINED","processed_data/audits/cwmu_2025_compare_strong_2025_to_2026_code_continuity.csv"
"EB3619","EB3619","EB3619","EXACT_CODE_RETAINED","1","EXACT_CODE","Bull Elk","Bull Elk","2025_EXACT_CODE_RETAINED","processed_data/audits/cwmu_2025_compare_strong_2025_to_2026_code_continuity.csv"
"MB6266","MB6266","MB6266","EXACT_CODE_RETAINED","1","EXACT_CODE","Bull Moose","Bull Moose","2025_EXACT_CODE_RETAINED","processed_data/audits/cwmu_2025_compare_strong_2025_to_2026_code_continuity.csv"
"PB5339","PB5339","PB5339","EXACT_CODE_RETAINED","1","EXACT_CODE","Buck Pronghorn","Buck Pronghorn","2025_EXACT_CODE_RETAINED","processed_data/audits/cwmu_2025_compare_strong_2025_to_2026_code_continuity.csv"
