hunt_code,year,residency,points,eligible_applicants,total_drawn,bonus_permits,regular_permits,total_permits,status,success_ratio,hunt_name,source_file,page_number,p_draw_percent
BI6500,2025,Resident,11,67,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.0
BI6500,2025,Resident,11,67,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.0
BI6500,2025,Resident,10,93,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.0
BI6500,2025,Resident,10,93,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.0
BI6500,2025,Resident,9,109,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.0
BI6500,2025,Resident,9,109,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.0
BI6500,2025,Resident,8,155,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.0
BI6500,2025,Resident,8,155,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.0
BI6500,2025,Resident,7,157,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.0
BI6500,2025,Resident,7,157,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.0
BI6500,2025,Resident,6,181,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.0
BI6500,2025,Resident,6,181,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.0
BI6500,2025,Resident,5,182,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.0
BI6500,2025,Resident,5,182,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.0
BI6500,2025,Resident,4,255,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.0
BI6500,2025,Resident,4,255,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.0
BI6500,2025,Resident,3,254,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.0
BI6500,2025,Resident,3,254,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.0
BI6500,2025,Resident,2,286,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.0
BI6500,2025,Resident,2,286,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.0
BI6500,2025,Resident,1,342,1,0,1,1,,1 in 342.0,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.29239766081871343
BI6500,2025,Resident,1,342,1,0,1,1,,1 in 342.0,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.29239766081871343
