source_year,hunt_code,residency,points,species,hunt_name,weapon,public_permits_2025,max_point_permits_2025,random_permits_2025,guaranteed_at_2025,applicants_2025,odds_2025_actual,odds_2025_actual_pct,source_layer,source_origin
2025,BI6500,Nonresident,22,Bison,Antelope Island,Any Legal Weapon,0,0,0,0,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Nonresident,21,Bison,Antelope Island,Any Legal Weapon,0,0,0,0,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Nonresident,20,Bison,Antelope Island,Any Legal Weapon,0,0,0,0,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Nonresident,19,Bison,Antelope Island,Any Legal Weapon,0,0,0,0,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Nonresident,18,Bison,Antelope Island,Any Legal Weapon,0,0,0,0,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Nonresident,17,Bison,Antelope Island,Any Legal Weapon,0,0,0,0,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Nonresident,16,Bison,Antelope Island,Any Legal Weapon,0,0,0,0,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Nonresident,15,Bison,Antelope Island,Any Legal Weapon,0,0,0,0,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Nonresident,14,Bison,Antelope Island,Any Legal Weapon,0,0,0,0,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Nonresident,13,Bison,Antelope Island,Any Legal Weapon,0,0,0,0,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Nonresident,12,Bison,Antelope Island,Any Legal Weapon,0,0,0,0,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Nonresident,11,Bison,Antelope Island,Any Legal Weapon,0,0,0,0,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Nonresident,10,Bison,Antelope Island,Any Legal Weapon,0,0,0,0,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Nonresident,9,Bison,Antelope Island,Any Legal Weapon,0,0,0,0,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Nonresident,8,Bison,Antelope Island,Any Legal Weapon,0,0,0,0,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Nonresident,7,Bison,Antelope Island,Any Legal Weapon,0,0,0,0,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Nonresident,6,Bison,Antelope Island,Any Legal Weapon,0,0,0,0,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Nonresident,5,Bison,Antelope Island,Any Legal Weapon,0,0,0,0,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Nonresident,4,Bison,Antelope Island,Any Legal Weapon,0,0,0,0,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Nonresident,3,Bison,Antelope Island,Any Legal Weapon,0,0,0,0,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Nonresident,2,Bison,Antelope Island,Any Legal Weapon,0,0,0,0,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Nonresident,1,Bison,Antelope Island,Any Legal Weapon,0,0,0,0,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6500,Nonresident,0,Bison,Antelope Island,Any Legal Weapon,0,0,0,0,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,32,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,31,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,30,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,29,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,28,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,13,1 in 6.5,15.385,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,27,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,33,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,26,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,42,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,25,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,56,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,24,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,70,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,23,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,57,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,22,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,63,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,21,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,48,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,20,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,63,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,19,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,73,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,18,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,82,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,17,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,104,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,16,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,113,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,15,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,110,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,14,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,101,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,13,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,99,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,12,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,127,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,11,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,138,1 in 69.0,1.449,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,10,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,163,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,9,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,194,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,8,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,261,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,7,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,245,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,6,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,288,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,5,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,317,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,4,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,329,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,3,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,332,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,2,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,392,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,1,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,449,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Resident,0,Bison,Henry Mtns,Any Legal Weapon,4,2,2,29,602,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,32,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,31,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,30,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,29,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,2,1 in 2.0,50.000,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,28,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,3,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,27,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,7,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,26,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,16,N/A,,draw_breakdown_2025,2025 raw PDFs
