file,status,rows_touched,average_harvest_age_filled,current_age_3yr_filled,columns_added,old_header_replaced,write_mode
2026 DEER BUCK P.L.E ANY LEGAL WEAPON.xlsx,UPDATED,4,2,0,1,1,in_place_full
2026 DEER BUCK P.L.E ARCHERY.xlsx,UPDATED,2,2,0,1,1,in_place_full
2026 DEER BUCK P.L.E MULTISEASON.xlsx,UPDATED,2,2,0,1,1,in_place_full
2026 DEER BUCK P.L.E MUZZLELOADER.xlsx,UPDATED,2,2,0,1,1,in_place_full
2026 DEER BUCK STATEWIDE ANY LEGAL WEAPON.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 DEER BUCK TRIBAL ANY LEGAL WEAPON.xlsx,UPDATED,4,0,0,1,1,in_place_full
2026 DEER BUCK TRIBAL ARCHERY.xlsx,UPDATED,3,0,0,1,1,in_place_full
2026 DEER BUCK TRIBAL MUZZLELOADER.xlsx,UPDATED,3,0,0,1,1,in_place_full
2026 DEER HUNTERS CHOICE EXTENDED ARCHERY ARCHERY.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 DESERT BIGHORN SHEEP RAM CONSERVATION ANY LEGAL WEAPON.xlsx,UPDATED,6,0,0,1,1,in_place_full
2026 DESERT BIGHORN SHEEP RAM ONCE-IN-A-LIFETIME ANY LEGAL WEAPON.xlsx,UPDATED,17,2,0,1,1,in_place_full
2026 DESERT BIGHORN SHEEP RAM ONCE-IN-A-LIFETIME ARCHERY.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 ELK ANTLERLESS ANTLERLESS ELK CONTROL ANY LEGAL WEAPON.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 ELK ANTLERLESS CONSERVATION ANY LEGAL WEAPON.xlsx,UPDATED,5,0,0,1,1,in_place_full
2026 ELK ANTLERLESS CWMU ANY LEGAL WEAPON.xlsx,UPDATED,59,1,0,1,1,in_place_full
2026 ELK ANTLERLESS GENERAL SEASON ANY LEGAL WEAPON.xlsx,UPDATED,98,60,0,1,1,in_place_full
2026 ELK ANTLERLESS GENERAL SEASON ARCHERY.xlsx,UPDATED,9,5,0,1,1,in_place_full
2026 ELK ANTLERLESS GENERAL SEASON MUZZLELOADER.xlsx,UPDATED,5,5,0,1,1,in_place_full
2026 ELK ANTLERLESS PRIVATE LAND ONLY ANY LEGAL WEAPON.xlsx,UPDATED,27,19,0,1,1,in_place_full
2026 ELK BULL CONSERVATION MULTISEASON.xlsx,UPDATED,2,2,1,1,1,in_place_full
2026 ELK BULL CWMU ANY LEGAL WEAPON.xlsx,UPDATED,64,0,0,1,1,in_place_full
2026 ELK BULL GENERAL SEASON - ANY BULL ANY LEGAL WEAPON GENERAL BULL.xlsx,UPDATED,3,0,0,1,1,in_place_full
2026 ELK BULL GENERAL SEASON - ANY BULL ANY LEGAL WEAPON YOUTH.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 ELK BULL GENERAL SEASON - ANY BULL MUZZLELOADER.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 ELK BULL GENERAL SEASON - ARCHERY ARCHERY.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 ELK BULL GENERAL SEASON - SPIKE BULL ANY LEGAL WEAPON.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 ELK BULL GENERAL SEASON - SPIKE BULL MULTISEASON.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 ELK BULL GENERAL SEASON - SPIKE BULL MUZZLELOADER.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 ELK BULL GENERAL SEASON - YOUTH ANY LEGAL WEAPON.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 ELK BULL L.E - PRIVATE LAND ONLY ANY LEGAL WEAPON LATE.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 ELK BULL L.E - PRIVATE LAND ONLY ANY LEGAL WEAPON.xlsx,UPDATED,62,62,0,1,1,in_place_full
2026 ELK BULL L.E - PRIVATE LAND ONLY ARCHERY.xlsx,UPDATED,42,42,0,1,1,in_place_full
2026 ELK BULL L.E - PRIVATE LAND ONLY HAMSS.xlsx,UPDATED,5,4,0,1,1,in_place_full
2026 ELK BULL L.E - PRIVATE LAND ONLY MUZZLELOADER.xlsx,UPDATED,21,21,0,1,1,in_place_full
2026 ELK BULL L.E ANY LEGAL WEAPON.xlsx,UPDATED,60,59,58,1,1,in_place_full
2026 ELK BULL L.E ARCHERY.xlsx,UPDATED,46,45,45,1,1,in_place_full
2026 ELK BULL L.E MULTISEASON.xlsx,UPDATED,19,19,19,1,1,in_place_full
2026 ELK BULL L.E MUZZLELOADER.xlsx,NO_HUNT_CODE_HEADER,,,,,,
2026 ELK BULL STATEWIDE ANY LEGAL WEAPON.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 ELK HUNTERS CHOICE EXTENDED ARCHERY ARCHERY.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 MOOSE ANTLERLESS CWMU ANY LEGAL WEAPON.xlsx,UPDATED,2,2,0,1,1,in_place_full
2026 MOOSE ANTLERLESS L.E ANY LEGAL WEAPON.xlsx,UPDATED,2,1,0,1,1,in_place_full
2026 MOOSE ANTLERLESS L.E ARCHERY.xlsx,UPDATED,1,1,0,1,1,in_place_full
2026 MOOSE MALE ONLY CWMU ANY LEGAL WEAPON.xlsx,UPDATED,13,12,0,1,1,in_place_full
2026 MOOSE MALE ONLY ONCE-IN-A-LIFETIME ANY LEGAL WEAPON.xlsx,UPDATED,13,10,12,1,1,in_place_full
2026 MOOSE MALE ONLY STATEWIDE ANY LEGAL WEAPON.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 MOUNTAIN GOAT HUNTER'S CHOICE ONCE-IN-A-LIFETIME ANY LEGAL WEAPON.xlsx,UPDATED,15,15,0,1,1,in_place_full
2026 MOUNTAIN GOAT HUNTER'S CHOICE ONCE-IN-A-LIFETIME ARCHERY.xlsx,UPDATED,2,2,0,1,1,in_place_full
2026 MOUNTAIN GOAT HUNTER'S CHOICE STATEWIDE ANY LEGAL WEAPON.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 PRONGHORN ANTLERLESS CWMU ANY LEGAL WEAPON.xlsx,UPDATED,8,3,0,1,1,in_place_full
2026 PRONGHORN ANTLERLESS GENERAL SEASON ANY LEGAL WEAPON.xlsx,UPDATED,13,6,0,1,1,in_place_full
2026 PRONGHORN ANTLERLESS GENERAL SEASON ARCHERY.xlsx,UPDATED,1,1,0,1,1,in_place_full
2026 PRONGHORN ANTLERLESS GENERAL SEASON MUZZLELOADER.xlsx,UPDATED,1,1,0,1,1,in_place_full
2026 PRONGHORN BUCK CWMU ANY LEGAL WEAPON.xlsx,UPDATED,21,6,0,1,1,in_place_full
2026 PRONGHORN BUCK L.E - PRIVATE LAND ONLY ANY LEGAL WEAPON.xlsx,UPDATED,6,6,0,1,1,in_place_full
2026 PRONGHORN BUCK L.E ANY LEGAL WEAPON.xlsx,UPDATED,28,28,28,1,1,in_place_full
2026 PRONGHORN BUCK L.E ARCHERY.xlsx,UPDATED,25,25,25,1,1,in_place_full
2026 PRONGHORN BUCK L.E MUZZLELOADER.xlsx,UPDATED,13,13,11,2,0,in_place_full
2026 PRONGHORN BUCK STATEWIDE ANY LEGAL WEAPON.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 ROCKY MOUNTAIN BIGHORN SHEEP ANTLERLESS GENERAL SEASON ANY LEGAL WEAPON.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 ROCKY MOUNTAIN BIGHORN SHEEP MALE ONLY CONSERVATION ANY LEGAL WEAPON.xlsx,UPDATED,3,0,0,1,1,in_place_full
2026 ROCKY MOUNTAIN BIGHORN SHEEP MALE ONLY ONCE-IN-A-LIFETIME ANY LEGAL WEAPON.xlsx,UPDATED,14,1,0,1,1,in_place_full
2026 ROCKY MOUNTAIN BIGHORN SHEEP MALE ONLY ONCE-IN-A-LIFETIME ARCHERY.xlsx,UPDATED,2,0,0,1,1,in_place_full
2026 ROCKY MOUNTAIN BIGHORN SHEEP MALE ONLY STATEWIDE ANY LEGAL WEAPON.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 SHEEP ROCKY MTN.xlsx,UPDATED,2,0,0,2,0,in_place_full
2026 TURKEY BEARDED CONSERVATION ANY LEGAL WEAPON.xlsx,UPDATED,5,0,0,1,1,in_place_full
2026 TURKEY BEARDED CWMU ANY LEGAL WEAPON.xlsx,UPDATED,2,0,0,1,1,in_place_full
2026 TURKEY BEARDED L.E ANY LEGAL WEAPON.xlsx,UPDATED,5,0,0,1,1,in_place_full
2026 TURKEY BEARDED SPRING GENERAL SEASON ANY LEGAL WEAPON.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 TURKEY BEARDED STATEWIDE ANY LEGAL WEAPON.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 TURKEY EITHER SEX FALL MANAGEMENT ANY LEGAL WEAPON PRIVATE LAND ONLY.xlsx,UPDATED,2,0,0,1,1,in_place_full
2026 TURKEY EITHER SEX FALL MANAGEMENT ANY LEGAL WEAPON.xlsx,UPDATED,2,0,0,1,1,in_place_full
2026_ANTLERLESS_ELK_GENERAL_SEASON.xlsx,UPDATED,112,70,0,1,1,in_place_full
2026_BISON_COW.xlsx,UPDATED,5,0,0,1,1,in_place_full
2026_BISON_HUNTER_CHOICE.xlsx,UPDATED,14,0,0,1,1,in_place_full
2026_BLACK_BEAR.xlsx,UPDATED,106,96,0,1,1,in_place_full
2026_COUGAR.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026_DEER_ANTLERLESS.xlsx,UPDATED,20,0,0,1,1,in_place_full
2026_DEER_ANTLERLESS_CWMU.xlsx,UPDATED,4,0,0,1,1,in_place_full
2026_DEER_ARCHERY_EXTENDED.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026_DEER_BUCK_CACTUS.xlsx,UPDATED,1,1,0,1,1,in_place_full
2026_DEER_BUCK_CONSERVATION.xlsx,UPDATED,4,0,0,1,1,in_place_full
2026_DEER_BUCK_CWMU.xlsx,UPDATED,110,0,0,1,1,in_place_full
2026_DEER_BUCK_DRAW.xlsx,UPDATED,459,15,0,1,1,in_place_full
2026_DEER_BUCK_LIMITED_ENTRY.xlsx,UPDATED,67,0,0,1,1,in_place_full
2026_DEER_BUCK_LIMITED_ENTRY_MANAGEMENT_BUCK.xlsx,UPDATED,5,3,0,1,1,in_place_full
2026_DEER_BUCK_LIMITED_ENTRY_PRIVATE_LANDS_ONLY.xlsx,UPDATED,8,3,0,1,1,in_place_full
2026_DEER_BUCK_PREMIUM_LIMITED_ENTRY.xlsx,UPDATED,10,8,0,1,1,in_place_full
2026_DEER_BUCK_STATEWIDE.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026_DEER_GENERAL_SEASON.xlsx,UPDATED,136,0,0,1,1,in_place_full
2026_DEER_GENERAL_SEASON_PRIVATE_LANDS.xlsx,UPDATED,17,0,0,1,1,in_place_full
2026_DEER_HUNTER_CHOICE.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026_DESERT_BIGHORN_RAM.xlsx,UPDATED,25,2,0,1,1,in_place_full
2026_ELK_ANTLERLESS.xlsx,UPDATED,204,90,0,1,1,in_place_full
2026_ELK_ANTLERLESS_CONSERVATION.xlsx,UPDATED,5,0,0,1,1,in_place_full
2026_ELK_ANTLERLESS_CWMU.xlsx,UPDATED,59,1,0,1,1,in_place_full
2026_ELK_ANTLERLESS_PRIVATE_LANDS_ONLY.xlsx,UPDATED,27,19,0,1,1,in_place_full
2026_ELK_ARCHERY_EXTENDED.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026_ELK_BULL_ALL.xlsx,UPDATED,353,274,143,1,1,in_place_full
2026_ELK_BULL_CONSERVATION_PERMIT.xlsx,UPDATED,2,2,1,1,1,in_place_full
2026_ELK_BULL_CWMU.xlsx,UPDATED,64,0,0,1,1,in_place_full
2026_ELK_BULL_GENERAL_ANY_BULL.xlsx,UPDATED,5,0,0,1,1,in_place_full
2026_ELK_GENERAL_ANY_BULL_YOUTH.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026_ELK_GENERAL_ARCHERY.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026_ELK_GENERAL_SPIKE_ONLY.xlsx,UPDATED,3,0,0,1,1,in_place_full
2026_ELK_LIMITED_ENTRY_MATUREBULL.xlsx,UPDATED,145,143,142,1,1,in_place_full
2026_ELK_LIMITED_ENTRY_MATUREBULL_PRIVATE_LANDS.xlsx,UPDATED,131,129,0,1,1,in_place_full
2026_ELK_LIMITED_ENTRY_STATEWIDE.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026_GOAT_HUNTER_CHOICE.xlsx,UPDATED,18,17,0,1,1,in_place_full
2026_MOOSE_BULL.xlsx,UPDATED,27,22,12,1,1,in_place_full
2026_MOOSE_COW.xlsx,UPDATED,3,3,0,1,1,in_place_full
2026_SHEEP_DESERT_RAM.xlsx,UPDATED,25,2,0,1,1,in_place_full
2026_SHEEP_ROCKY_MOUNTAIN_EWE.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026_SHEEP_ROCKY_MOUNTAIN_RAM.xlsx,UPDATED,25,2,0,1,1,in_place_full
2026_TURKEY_BEARDED.xlsx,UPDATED,14,0,0,1,1,in_place_full
2026_TURKEY_EITHER_SEX.xlsx,UPDATED,4,0,0,1,1,in_place_full
DISPLAY_READY.xlsx,UPDATED,2,0,0,2,0,in_place_full
MASTER.xlsx,UPDATED,1449,634,219,2,0,in_place_full
