section,metric,canonical_value,comparison_value,difference,notes
ALIGNMENT,row_count_public_vs_research,2898,2898,0,0 means aligned
ALIGNMENT,row_key_overlap_public_vs_research,2898,2898,0,expected full overlap
ALIGNMENT,field_count_public,28,,,public contract field set
ALIGNMENT,field_count_research,45,,,research runtime field set
ALIGNMENT,research_extra_fields_vs_public,18,,,age_review_status;age_source_file;age_source_page;age_source_table_title;availability_status;current_points_context_available;harvest_source_file;harvest_source_page;hunt_type;management_direction;management_objective_note;model_version;permit_direction_watch;permits_2026_nr;persona_tags;rule_version;sleeper_reasons;sleeper_score
DIFF_PRE_BACKFILL,row_count_canonical_vs_data_copy,2898,2898,0,0 means aligned
DIFF_PRE_BACKFILL,row_key_overlap_canonical_vs_data_copy,2898,2898,0,expected full overlap
DIFF_PRE_BACKFILL,field_count_canonical_vs_data_copy,28,28,0,expected 0
DIFF_PRE_BACKFILL,nonblank_average_harvest_age,1268,1112,156,primary stale signal
DIFF_PRE_BACKFILL,nonblank_current_age_3yr_average,440,440,0,expected 0
FIELD_MISMATCH_COUNT,average_days_hunted,0,,,count of row-level value mismatches canonical vs stale
FIELD_MISMATCH_COUNT,average_harvest_age,156,,,count of row-level value mismatches canonical vs stale
FIELD_MISMATCH_COUNT,boundary_id,0,,,count of row-level value mismatches canonical vs stale
FIELD_MISMATCH_COUNT,current_age_3yr_average,0,,,count of row-level value mismatches canonical vs stale
FIELD_MISMATCH_COUNT,data_confidence,156,,,count of row-level value mismatches canonical vs stale
FIELD_MISMATCH_COUNT,decision_label,18,,,count of row-level value mismatches canonical vs stale
FIELD_MISMATCH_COUNT,draw_family,0,,,count of row-level value mismatches canonical vs stale
FIELD_MISMATCH_COUNT,draw_pool,0,,,count of row-level value mismatches canonical vs stale
FIELD_MISMATCH_COUNT,guaranteed_line_points,0,,,count of row-level value mismatches canonical vs stale
FIELD_MISMATCH_COUNT,harvest_success_pct,0,,,count of row-level value mismatches canonical vs stale
FIELD_MISMATCH_COUNT,hunt_class,2,,,count of row-level value mismatches canonical vs stale
FIELD_MISMATCH_COUNT,hunt_code,0,,,count of row-level value mismatches canonical vs stale
FIELD_MISMATCH_COUNT,hunt_name,184,,,count of row-level value mismatches canonical vs stale
FIELD_MISMATCH_COUNT,management_objective_range,0,,,count of row-level value mismatches canonical vs stale
FIELD_MISMATCH_COUNT,management_objective_status,76,,,count of row-level value mismatches canonical vs stale
FIELD_MISMATCH_COUNT,management_objective_type,0,,,count of row-level value mismatches canonical vs stale
FIELD_MISMATCH_COUNT,modeled_draw_probability,0,,,count of row-level value mismatches canonical vs stale
FIELD_MISMATCH_COUNT,percent_5plus,0,,,count of row-level value mismatches canonical vs stale
FIELD_MISMATCH_COUNT,permits_2026_nonres,0,,,count of row-level value mismatches canonical vs stale
FIELD_MISMATCH_COUNT,permits_2026_res,12,,,count of row-level value mismatches canonical vs stale
FIELD_MISMATCH_COUNT,permits_2026_total,10,,,count of row-level value mismatches canonical vs stale
FIELD_MISMATCH_COUNT,point_creep_1yr,0,,,count of row-level value mismatches canonical vs stale
FIELD_MISMATCH_COUNT,recommended_action,15,,,count of row-level value mismatches canonical vs stale
FIELD_MISMATCH_COUNT,residency,0,,,count of row-level value mismatches canonical vs stale
FIELD_MISMATCH_COUNT,source_badges,6,,,count of row-level value mismatches canonical vs stale
FIELD_MISMATCH_COUNT,species,0,,,count of row-level value mismatches canonical vs stale
FIELD_MISMATCH_COUNT,unit_name,184,,,count of row-level value mismatches canonical vs stale
FIELD_MISMATCH_COUNT,weapon,378,,,count of row-level value mismatches canonical vs stale
