hunt_code,source_year,source_file,source_file_name,report_label,page_number_pdf_indexed,context_line_count,context_lines,source_use_recommendation
EA1009,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS,36,1,"Hunt: EA1009 Antlerless Elk - Cache, East - Any Legal Weapon",SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
EA1052,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS,65,1,"Hunt: EA1052 Antlerless Elk - Nine Mile, Avintaquin-west Anthro - Any Legal Weapon",SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
EA1091,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS,92,1,"Hunt: EA1091 Antlerless Elk - South Slope, Diamond Mtn - Any Legal Weapon",SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
EA1098,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS,96,1,"Hunt: EA1098 Antlerless Elk - South Slope, Yellowstone - Any Legal Weapon",SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
EA1099,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS,97,1,"Hunt: EA1099 Antlerless Elk - South Slope, Yellowstone - Any Legal Weapon",SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
EA1100,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS,98,1,"Hunt: EA1100 Antlerless Elk - South Slope, Yellowstone - Any Legal Weapon",SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
EA1155,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS,139,1,Hunt: EA1155 Cwmu Antlerless Elk - Powder Mountain - Any Legal Weapon,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
EA1194,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS,165,1,"Hunt: EA1194 Antlerless Elk - Cache, Richmond Hyde Park - Any Legal Weapon",SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
EA1205,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS,172,1,"Hunt: EA1205 Antlerless Elk - Cache, Richmond Hyde Park - Any Legal Weapon",SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
EA1227,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS,187,1,"Hunt: EA1227 Antlerless Elk - Fillmore, Kanosh Valley - Any Legal Weapon",SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
PD1005,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS,198,1,"Hunt: PD1005 Doe Pronghorn - North Slope, Summit - Any Legal Weapon",SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
PD1014,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS,203,1,Hunt: PD1014 Cwmu Doe Pronghorn - Rlf Deep Creek - Any Legal Weapon,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
PD1037,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS,222,1,"Hunt: PD1037 Doe Pronghorn - North Slope, Three Corners - Any Legal Weapon",SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
PD1038,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS,223,1,"Hunt: PD1038 Doe Pronghorn - North Slope, West Daggett - Any Legal Weapon",SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
PD1041,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS,226,1,Hunt: PD1041 Cwmu Doe Pronghorn - Heist -An y Legal Weapon,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
MA1000,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS,230,1,"Hunt: MA1000 Antlerless Moose - East Canyon, Davis-north Salt Lake - Any Legal Weapon",SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
CG1029,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,COUGAR DRAW RESULTS,2,1,Hunt: CG1029,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
CG1034,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,COUGAR DRAW RESULTS,4,1,Hunt: CG1034,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
