hunt_code,hunt_name,legacy_res,legacy_nr,legacy_total,dwr_res,dwr_nr,dwr_total,source_support_count,source_support_files,mismatch_fields,recommended_winner_flag,db_hunt_type,db_hunt_class,db_boundary_id,db_permit_allotment_2026_res,db_permit_allotment_2026_nr,db_permit_allotment_2026_total,db_permits_2026_res,db_permits_2026_nr,db_permits_2026_total,db_permits_2026_source,db_permits_2026_draw_source,db_permit_allotment_2026_source,db_permit_allotment_2026_source_file,db_permit_allotment_2026_status
BI6528,"Book Cliffs, Little Creek/South",5,0,5,6,0,6,6,draw_reality_engine;draw_reality_engine_predictive_v2;hunt_master_enriched;hunt_unit_reference_linked;ml_draw_predictions_v1;point_ladder_view,"res,total",RECOMMEND_DWR_TRUTH_SOURCE,Once-in-a-lifetime,Once-in-a-lifetime,889,6,0,6,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,LIVE_DWR_RES_NR_SPLIT
BI6532,"Book Cliffs, Bitter Creek",5,0,5,6,0,6,6,draw_reality_engine;draw_reality_engine_predictive_v2;hunt_master_enriched;hunt_unit_reference_linked;ml_draw_predictions_v1;point_ladder_view,"res,total",RECOMMEND_DWR_TRUTH_SOURCE,Once-in-a-lifetime,Once-in-a-lifetime,667,6,0,6,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,LIVE_DWR_RES_NR_SPLIT
BR7004,Manti South/San Rafael North,18,0,18,18,2,20,6,draw_reality_engine;draw_reality_engine_predictive_v2;hunt_master_enriched;hunt_unit_reference_linked;ml_draw_predictions_v1;point_ladder_view,"nr,total",RECOMMEND_DWR_TRUTH_SOURCE,Limited Entry - Spring,,744,18,2,20,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Black+Bear&gender=Either+Sex,LIVE_DWR_RES_NR_SPLIT
BR7008,La Sal,,,0,49,5,54,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,RECOMMEND_DWR_TRUTH_SOURCE,Limited Entry - Spring,,684,49,5,54,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=BR7008,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026
BR7108,La Sal,,,0,25,2,27,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,RECOMMEND_DWR_TRUTH_SOURCE,Limited Entry - Summer,,684,25,2,27,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=BR7108,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026
BR7208,La Sal,,,0,6,,6,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,REVIEW_REQUIRED,Limited Entry - Fall,,684,6,,6,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=BR7208,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026
BR7324,Chalk Creek/East Canyon/Morgan-South Rich,,,0,,,1,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,REVIEW_REQUIRED,Conservation,,610,,,1,,,,,,,,
DB1276,Plymouth Peak CWMU,,,0,,,1,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,REVIEW_REQUIRED,CWMU,,737,,,1,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1276,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026
DB1320,Deer Creek CWMU,,,0,1,0,1,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,RECOMMEND_DWR_TRUTH_SOURCE,CWMU,,686,1,0,1,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1320,CROSSWALK_CONFIRMED_ACTIVE_2025_PDF_2026_NUMBERS_PENDING
DB1324,Royal Ivory Outfitters CWMU,,,0,1,0,1,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,RECOMMEND_DWR_TRUTH_SOURCE,CWMU,,828,1,0,1,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1324,CROSSWALK_CONFIRMED_ACTIVE_2025_PDF_2026_NUMBERS_PENDING
