field_name,expected_in_contract,present_in_contract,used_by_runtime_from_contract,still_used_from_legacy_feeder,publication_status,notes
hunt_name,YES,YES,YES,YES,PUBLISHED,
species,YES,YES,YES,YES,PUBLISHED,
weapon,YES,YES,YES,YES,PUBLISHED,
hunt_type,YES,YES,YES,YES,PUBLISHED,
residency,YES,YES,YES,YES,PUBLISHED,
draw_pool,YES,YES,YES,YES,PUBLISHED,
points,YES,YES,YES,YES,PUBLISHED,
draw_outlook,YES,YES,YES,YES,PUBLISHED,
status,YES,YES,YES,YES,PUBLISHED,
trend,YES,YES,YES,YES,PUBLISHED,
display_odds_pct,YES,YES,YES,YES,PUBLISHED,
p_draw_mean,YES,YES,YES,YES,PUBLISHED,
p_draw_p10,YES,YES,YES,YES,PUBLISHED,
p_draw_p90,YES,YES,YES,YES,PUBLISHED,
point_pool_zone,YES,YES,YES,YES,PUBLISHED,
guaranteed_at_2026,YES,YES,YES,YES,PUBLISHED,
permits_2026_res,YES,YES,YES,YES,PUBLISHED,
permits_2026_nr,YES,YES,YES,YES,PUBLISHED,
permits_2026_total,YES,YES,YES,YES,PUBLISHED,
harvest_success_pct,YES,YES,YES,YES,PUBLISHED,
average_days_hunted,YES,YES,YES,YES,PUBLISHED,
average_harvest_age,YES,YES,YES,YES,PUBLISHED,
current_age_3yr_average,YES,YES,YES,YES,PUBLISHED,
management_objective_type,YES,YES,YES,YES,PUBLISHED,
management_objective_range,YES,YES,YES,YES,PUBLISHED,
management_direction,YES,YES,YES,YES,PUBLISHED,
availability_status,YES,YES,YES,YES,PUBLISHED,
dwr_result_display,YES,YES,YES,YES,PUBLISHED,
