source_label,source_role,source_path,hunt_code,hunt_name,species,hunt_type,weapon,in_source,in_database,in_active_reconciliation,in_retired_ledger,status
DATABASE.csv,truth_current_database,pipeline\RAW\hunt_unit_database\2026\csv\DATABASE.csv,BI1000,Bison - Statewide Permit,Bison,Statewide,Any Legal Weapon,True,True,True,False,MATCHES_ACTIVE_DATABASE
DATABASE.csv,truth_current_database,pipeline\RAW\hunt_unit_database\2026\csv\DATABASE.csv,BI6500,Antelope Island,Bison,Once-in-a-lifetime,Any Legal Weapon,True,True,True,False,MATCHES_ACTIVE_DATABASE
DATABASE.csv,truth_current_database,pipeline\RAW\hunt_unit_database\2026\csv\DATABASE.csv,BI6503,Henry Mtns,Bison,Once-in-a-lifetime,Any Legal Weapon,True,True,True,False,MATCHES_ACTIVE_DATABASE
DATABASE.csv,truth_current_database,pipeline\RAW\hunt_unit_database\2026\csv\DATABASE.csv,BI6504,Henry Mtns,Bison,Once-in-a-lifetime,Any Legal Weapon,True,True,True,False,MATCHES_ACTIVE_DATABASE
DATABASE.csv,truth_current_database,pipeline\RAW\hunt_unit_database\2026\csv\DATABASE.csv,BI6505,Henry Mtns,Bison,Once-in-a-lifetime,Any Legal Weapon,True,True,True,False,MATCHES_ACTIVE_DATABASE
DATABASE.csv,truth_current_database,pipeline\RAW\hunt_unit_database\2026\csv\DATABASE.csv,BI6506,Henry Mtns,Bison,Once-in-a-lifetime,Any Legal Weapon,True,True,True,False,MATCHES_ACTIVE_DATABASE
DATABASE.csv,truth_current_database,pipeline\RAW\hunt_unit_database\2026\csv\DATABASE.csv,BI6509,Henry Mtns,Bison,Once-in-a-lifetime,Archery,True,True,True,False,MATCHES_ACTIVE_DATABASE
DATABASE.csv,truth_current_database,pipeline\RAW\hunt_unit_database\2026\csv\DATABASE.csv,BI6516,Henry Mtns,Bison,Once-in-a-lifetime,Any Legal Weapon,True,True,True,False,MATCHES_ACTIVE_DATABASE
DATABASE.csv,truth_current_database,pipeline\RAW\hunt_unit_database\2026\csv\DATABASE.csv,BI6527,Nine Mile,Bison,General Season,Any Legal Weapon,True,True,True,False,MATCHES_ACTIVE_DATABASE
DATABASE.csv,truth_current_database,pipeline\RAW\hunt_unit_database\2026\csv\DATABASE.csv,BI6528,"Book Cliffs, Little Creek/South",Bison,Once-in-a-lifetime,Archery,True,True,True,False,MATCHES_ACTIVE_DATABASE
DATABASE.csv,truth_current_database,pipeline\RAW\hunt_unit_database\2026\csv\DATABASE.csv,BI6529,"Book Cliffs, Little Creek/South",Bison,Once-in-a-lifetime,Any Legal Weapon,True,True,True,False,MATCHES_ACTIVE_DATABASE
DATABASE.csv,truth_current_database,pipeline\RAW\hunt_unit_database\2026\csv\DATABASE.csv,BI6530,"Book Cliffs, Little Creek/South",Bison,Once-in-a-lifetime,Any Legal Weapon,True,True,True,False,MATCHES_ACTIVE_DATABASE
DATABASE.csv,truth_current_database,pipeline\RAW\hunt_unit_database\2026\csv\DATABASE.csv,BI6531,"Book Cliffs, Little Creek/South",Bison,Once-in-a-lifetime,Any Legal Weapon,True,True,True,False,MATCHES_ACTIVE_DATABASE
