hunt_code,hunt_name,species,sex_type,weapon,hunt_type,season,database_allotment_2026_res,database_allotment_2026_nr,database_allotment_2026_total,recommended_res,recommended_nr,recommended_total,database_alignment,reconciliation_status,winner_source,confidence,source_support_count,source_presence,conflicting_sources,recommended_action,decision_reason,hanumber_status,hunttable_status,utahdraws_status,buck_deer_status,database_status
BI1000,Bison - Statewide Permit,Bison,Hunters Choice,Any Legal Weapon,Statewide,"Aug 1, 2026 - Jan 31, 2027",,,1,,,1,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,UTAHDRAWS,MEDIUM_SINGLE_SOURCE,1,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,,PROMOTE_CANDIDATE_AFTER_REVIEW,utahdraws selected as the only non-database source with permit values.,OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,RECONCILED_2026_RECOMMENDED_TOTAL_ONLY
BI6500,Antelope Island,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Dec 07 2026 - Dec 09 2026,2,0,2,2,0,2,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,,PROMOTE_CANDIDATE_AFTER_REVIEW,hanumber selected and exactly supported by 3 non-database source(s).,OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_RES_NR_SPLIT
BI6503,Henry Mtns,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Oct 28 2026 - Nov 8 2026,4,2,6,4,2,6,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,REVIEW_SOURCE_CONFLICT,2,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,UTAHDRAWS,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_RES_NR_SPLIT
BI6504,Henry Mtns,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Nov 11 2026 - Nov 22 2026,5,2,7,5,2,7,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,,PROMOTE_CANDIDATE_AFTER_REVIEW,hanumber selected and exactly supported by 3 non-database source(s).,OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_RES_NR_SPLIT
BI6505,Henry Mtns,Bison,Cow Only,Any Legal Weapon,Once-in-a-lifetime,Dec 9 2026 - Dec 20 2026,8,3,11,8,3,11,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HANUMBER|UTAHDRAWS|DATABASE,UTAHDRAWS,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,DATABASE_ONLY,SOURCE_AND_DATABASE,,RAC_CURRENT_YEAR_SPLIT
BI6506,Henry Mtns,Bison,Cow Only,Any Legal Weapon,Once-in-a-lifetime,"Dec 23, 2026 - Jan 3, 2027",11,0,11,11,0,11,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,HIGH_CONFIRMED_2PLUS,2,HANUMBER|UTAHDRAWS|DATABASE,,PROMOTE_CANDIDATE_AFTER_REVIEW,hanumber selected and exactly supported by 2 non-database source(s).,OK,DATABASE_ONLY,SOURCE_AND_DATABASE,,RAC_CURRENT_YEAR_SPLIT
BI6509,Henry Mtns,Bison,Hunters Choice,Archery,Once-in-a-lifetime,"Jan 18 - 31, 2027",5,0,5,5,0,5,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,,PROMOTE_CANDIDATE_AFTER_REVIEW,hanumber selected and exactly supported by 3 non-database source(s).,OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_RES_NR_SPLIT
BI6516,Henry Mtns,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Nov 25 2026 - Dec 6 2026,6,0,6,6,0,6,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,,PROMOTE_CANDIDATE_AFTER_REVIEW,hanumber selected and exactly supported by 3 non-database source(s).,OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_RES_NR_SPLIT
BI6528,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Archery,Once-in-a-lifetime,Aug 15 2026 - Sept 11 2026,6,0,6,6,0,6,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,,PROMOTE_CANDIDATE_AFTER_REVIEW,hanumber selected and exactly supported by 3 non-database source(s).,OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_RES_NR_SPLIT
BI6529,"Book Cliffs, Little Creek/South",Bison,Cow Only,Any Legal Weapon,Once-in-a-lifetime,Oct 17 2026 - Oct 27 2026,8,0,8,8,0,8,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,HIGH_CONFIRMED_2PLUS,2,HANUMBER|UTAHDRAWS|DATABASE,,PROMOTE_CANDIDATE_AFTER_REVIEW,hanumber selected and exactly supported by 2 non-database source(s).,OK,DATABASE_ONLY,SOURCE_AND_DATABASE,,RAC_CURRENT_YEAR_SPLIT
BI6530,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Sept 14 2024 - Sept 22 2024,3,1,4,3,1,4,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,MEDIUM_SINGLE_SOURCE,1,HANUMBER|DATABASE,,PROMOTE_CANDIDATE_AFTER_REVIEW,hanumber selected as the only non-database source with permit values.,OK,DATABASE_ONLY,DATABASE_ONLY,,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026
