hunt_code,hunt_name,species,permits_2024_res,permits_2024_nr,permits_2024_total,permits_2024_source
BI6500,Antelope Island,Bison,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1002,Antelope Island Premium,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DA1041,"Nine Mile, Green River Valley",Deer,9,2,11,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR1008,Book Cliffs,Black Bear,12,0,12,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR1011,Book Cliffs,Black Bear,9,2,11,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR1015,Book Cliffs,Black Bear,0,1,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1011,Book Cliffs,Deer,8,1,9,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1025,Book Cliffs,Deer,14,1,15,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1044,Book Cliffs,Deer,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DA1030,"Nine Mile, Price River Valley",Deer,9,0,9,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DA1046,"Nine Mile, Price River Valley",Deer,14,0,14,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7102,Book Cliffs Little Creek Roadless,Black Bear,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7224,Book Cliffs Little Creek Roadless,Black Bear,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7225,Book Cliffs Little Creek Roadless,Black Bear,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7301,Book Cliffs Little Creek Roadless,Black Bear,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3002,"Book Cliffs, Little Creek Roadless",Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3028,"Book Cliffs, Little Creek Roadless",Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3079,"Book Cliffs, Little Creek Roadless",Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3104,"Book Cliffs, Little Creek Roadless",Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3167,"Book Cliffs, Little Creek Roadless",Elk,1,1,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1018,"Book Cliffs, South",Deer,5,1,6,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5002,"Book Cliffs, South",Pronghorn,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5027,"Book Cliffs, South",Pronghorn,9,2,11,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
RS6701,"Book Cliffs, South",Rocky Mountain Bighorn Sheep,1,1,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
RE1000,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
RS6703,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,1,1,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
RS6704,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
RS6722,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DA1031,"Oquirrh-Stansbury, Settlement Cyn",Deer,13,0,13,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DA1033,"San Juan, Monticello",Deer,3,0,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
