hunt_code,hunt_name,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_shape,source_file,source_sha256,source_row_start,source_continuation_rows_collapsed,validation_status
DB0001,Southeastern Navajo Buck Deer,Buck,Deer,Any Legal Weapon,Tribal,"Oct 18, 2025 - Oct 26, 2025",,,,NO_PERMIT_NUMBER_IN_XLSX,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26,2,,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE
DB0002,Southeastern Navajo Buck Deer,Buck,Deer,Archery,Tribal,"Aug 16, 2025 - Sept 12, 2025",,,,NO_PERMIT_NUMBER_IN_XLSX,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26,3,,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE
DB0003,Southeastern Navajo Buck Deer,Buck,Deer,Muzzleloader,Tribal,"Sept 24 - Oct 2, 2025",,,,NO_PERMIT_NUMBER_IN_XLSX,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26,4,,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE
DB0004,Southern Navajo Buck Deer,Buck,Deer,Any Legal Weapon,Tribal,"Oct 18, 2025 - Oct 26, 2025",,,,NO_PERMIT_NUMBER_IN_XLSX,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26,5,,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE
DB0005,Southern Navajo Buck Deer,Buck,Deer,Archery,Tribal,"Aug 16, 2025 - Sept 12, 2025",,,,NO_PERMIT_NUMBER_IN_XLSX,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26,6,,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE
DB0006,Southern Navajo Buck Deer,Buck,Deer,Muzzleloader,Tribal,"Sept 24 - Oct 2, 2025",,,,NO_PERMIT_NUMBER_IN_XLSX,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26,7,,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE
DB0007,Buck Deer - Statewide Permit,Buck,Deer,Any Legal Weapon,Statewide,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027",,,,NO_PERMIT_NUMBER_IN_XLSX,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26,8,,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE
DB0009,Antelope Island - Conservation/Expo,Buck,Deer,Any Legal Weapon,Premium Limited Entry,"Nov 9, 2026 - Nov 16, 2026",,,,NO_PERMIT_NUMBER_IN_XLSX,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26,9,,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE
DB0010,Southern Paiute Buck Deer (early),Buck,Deer,Any Legal Weapon,Tribal,"Oct 18, 2025 - Oct 26, 2025",,,,NO_PERMIT_NUMBER_IN_XLSX,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26,10,,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE
DB0011,Southern Paiute Buck Deer,Buck,Deer,Archery,Tribal,"Aug 16, 2025 - Sept 12, 2025",,,,NO_PERMIT_NUMBER_IN_XLSX,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26,11,,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE
DB0012,Southern Paiute Buck Deer,Buck,Deer,Muzzleloader,Tribal,"Sept 24 - Oct 2, 2025",,,,NO_PERMIT_NUMBER_IN_XLSX,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26,12,,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE
DB0013,Southern Paiute Buck Deer (late),Buck,Deer,Any Legal Weapon,Tribal,"Oct 18, 2025 - Oct 26, 2025",,,,NO_PERMIT_NUMBER_IN_XLSX,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26,13,,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE
