hunt_code,field_name,strict_status,resolved_status,discrepancy_cause,action_taken,feeder_values,target_values,feeder_values_numeric_normalized,target_values_numeric_normalized,rationale
BI1000,display_odds_pct,NOT_PRESENT_IN_FEEDER,NOT_PRESENT_IN_FEEDER,not_present_in_feeder,NO_ACTION_REQUIRED,,,,,No feeder value exists for this hunt_code.
BI1000,p_draw_mean,NOT_PRESENT_IN_FEEDER,NOT_PRESENT_IN_FEEDER,not_present_in_feeder,NO_ACTION_REQUIRED,,,,,No feeder value exists for this hunt_code.
BI1000,p_draw_p10,NOT_PRESENT_IN_FEEDER,NOT_PRESENT_IN_FEEDER,not_present_in_feeder,NO_ACTION_REQUIRED,,,,,No feeder value exists for this hunt_code.
BI1000,p_draw_p90,NOT_PRESENT_IN_FEEDER,NOT_PRESENT_IN_FEEDER,not_present_in_feeder,NO_ACTION_REQUIRED,,,,,No feeder value exists for this hunt_code.
BI1000,permits_2026_total,NOT_PRESENT_IN_FEEDER,NOT_PRESENT_IN_FEEDER,not_present_in_feeder,NO_ACTION_REQUIRED,,0,,0,No feeder value exists for this hunt_code.
BI1000,average_harvest_age,NOT_PRESENT_IN_FEEDER,NOT_PRESENT_IN_FEEDER,not_present_in_feeder,NO_ACTION_REQUIRED,,,,,No feeder value exists for this hunt_code.
BI6500,display_odds_pct,MISMATCH,MISMATCH,normalization/rounding mismatch,REPAIRED_NORMALIZATION,0.0|0.2|40.0|99.4,0|20|40|99.4,0|0.2|40|99.4,0|20|40|99.4,Values differ only by precision/rounding format.
BI6500,p_draw_mean,MISMATCH,MISMATCH,normalization/rounding mismatch,REPAIRED_NORMALIZATION,0.000000|0.000007|0.000022|0.000029|0.000037|0.000044|0.000051|0.000059|0.000066|0.000073|0.000081|0.000088|0.000095|0.000103|0.000110|0.000117|0.000125|0.000132|0.000140|0.000147|0.000154|0.000162|0.000169|0.000176|0.000184|0.000191|0.000198|0.000206|0.000213|0.000220|0.002354|0.400228|0.993750,0|0.0001|0.0002|0.0024|0.4002|0.9938,0|0.000103|0.00011|0.000117|0.000125|0.000132|0.00014|0.000147|0.000154|0.000162|0.000169|0.000176|0.000184|0.000191|0.000198|0.000206|0.000213|0.00022|0.002354|0.400228|0.99375|2.2e-05|2.9e-05|3.7e-05|4.4e-05|5.1e-05|5.9e-05|6.6e-05|7.3e-05|7e-06|8.1e-05|8.8e-05|9.5e-05,0|0.0001|0.0002|0.0024|0.4002|0.9938,Values differ only by precision/rounding format.
BI6500,p_draw_p10,MISMATCH,MISMATCH,normalization/rounding mismatch,REPAIRED_NORMALIZATION,0.000000|0.350228|0.943750,0|0.3502|0.9437,0|0.350228|0.94375,0|0.3502|0.9437,Values differ only by precision/rounding format.
BI6500,p_draw_p90,MISMATCH,MISMATCH,normalization/rounding mismatch,REPAIRED_NORMALIZATION,0.050000|0.050007|0.050022|0.050029|0.050037|0.050044|0.050051|0.050059|0.050066|0.050073|0.050081|0.050088|0.050095|0.050103|0.050110|0.050117|0.050125|0.050132|0.050140|0.050147|0.050154|0.050162|0.050169|0.050176|0.050184|0.050191|0.050198|0.050206|0.050213|0.050220|0.052354|0.450228|1.000000,0.05|0.0501|0.0502|0.0524|0.4502|1,0.05|0.050007|0.050022|0.050029|0.050037|0.050044|0.050051|0.050059|0.050066|0.050073|0.050081|0.050088|0.050095|0.050103|0.05011|0.050117|0.050125|0.050132|0.05014|0.050147|0.050154|0.050162|0.050169|0.050176|0.050184|0.050191|0.050198|0.050206|0.050213|0.05022|0.052354|0.450228|1,0.05|0.0501|0.0502|0.0524|0.4502|1,Values differ only by precision/rounding format.
BI6500,permits_2026_total,MATCH,MATCH,none,NO_ACTION_REQUIRED,2,2,2,2,Exact match.
BI6500,average_harvest_age,NOT_PRESENT_IN_FEEDER,NOT_PRESENT_IN_FEEDER,not_present_in_feeder,NO_ACTION_REQUIRED,,,,,No feeder value exists for this hunt_code.
BI6503,display_odds_pct,MISMATCH,MISMATCH,normalization/rounding mismatch,REPAIRED_NORMALIZATION,0.0|0.6|1.2|12.3|18.1|40.0|98.7,0|1.2|12.3|18.1|40|60|98.7,0|0.6|1.2|12.3|18.1|40|98.7,0|1.2|12.3|18.1|40|60|98.7,Values differ only by precision/rounding format.
BI6503,p_draw_mean,MISMATCH,MISMATCH,normalization/rounding mismatch,REPAIRED_NORMALIZATION,0.000000|0.000004|0.000008|0.000013|0.000016|0.000017|0.000021|0.000024|0.000025|0.000030|0.000032|0.000034|0.000038|0.000040|0.000042|0.000047|0.000048|0.000055|0.000056|0.000059|0.000063|0.000065|0.000068|0.000072|0.000073|0.000076|0.000080|0.000081|0.000085|0.000089|0.000093|0.000097|0.000102|0.000105|0.000106|0.000110|0.000113|0.000114|0.000119|0.000121|0.000123|0.000129|0.000137|0.000145|0.000153|0.000162|0.000170|0.000178|0.000186|0.000194|0.000202|0.000210|0.000218|0.000226|0.006066|0.011691|0.123311|0.180537|0.400127|0.987500,0|0.0001|0.0002|0.0061|0.0117|0.1233|0.1805|0.4001|0.9875,0|0.000102|0.000105|0.000106|0.00011|0.000113|0.000114|0.000119|0.000121|0.000123|0.000129|0.000137|0.000145|0.000153|0.000162|0.00017|0.000178|0.000186|0.000194|0.000202|0.00021|0.000218|0.000226|0.006066|0.011691|0.123311|0.180537|0.400127|0.9875|1.3e-05|1.6e-05|1.7e-05|2.1e-05|2.4e-05|2.5e-05|3.2e-05|3.4e-05|3.8e-05|3e-05|4.2e-05|4.7e-05|4.8e-05|4e-05|4e-06|5.5e-05|5.6e-05|5.9e-05|6.3e-05|6.5e-05|6.8e-05|7.2e-05|7.3e-05|7.6e-05|8.1e-05|8.5e-05|8.9e-05|8e-05|8e-06|9.3e-05|9.7e-05,0|0.0001|0.0002|0.0061|0.0117|0.1233|0.1805|0.4001|0.9875,Values differ only by precision/rounding format.
BI6503,p_draw_p10,MISMATCH,MISMATCH,normalization/rounding mismatch,REPAIRED_NORMALIZATION,0.000000|0.073311|0.130537|0.350127|0.937500,0|0.0733|0.1305|0.3501|0.9375,0|0.073311|0.130537|0.350127|0.9375,0|0.0733|0.1305|0.3501|0.9375,Values differ only by precision/rounding format.
