target_hunt_code,candidate_source_hunt_code,target_hunt_name,source_hunt_name,target_species,source_species,target_weapon,source_weapon,name_similarity_jaccard,species_ok,weapon_ok,confidence,recommended_action,audit_action,candidate_permits_2025_res,candidate_permits_2025_nr,candidate_permits_2025_total,source_file
LO1569,DB1569,"La Sal, La Sal Mtns","La Sal, La Sal Mtns - Muzzleloader",DEER,DEER,MUZZLELOADER,MUZZLELOADER,0.6,True,True,MEDIUM,REVIEW_NAME_AND_FAMILY_BEFORE_PROMOTION,CANDIDATE_REVIEW_ONLY,132,8,140,24_deer_odds.pdf
LO1581,DB1581,"San Juan, Abajo Mtns","San Juan, Abajo Mtns - Muzzleloader",DEER,DEER,MUZZLELOADER,MUZZLELOADER,0.6667,True,True,MEDIUM,REVIEW_NAME_AND_FAMILY_BEFORE_PROMOTION,CANDIDATE_REVIEW_ONLY,156,25,181,24_deer_odds.pdf
LO1563,DB1563,Manti/San Rafael,Manti/san Rafael - Muzzleloader,DEER,DEER,MUZZLELOADER,MUZZLELOADER,0.6,True,True,MEDIUM,REVIEW_NAME_AND_FAMILY_BEFORE_PROMOTION,CANDIDATE_REVIEW_ONLY,690,73,763,24_deer_odds.pdf
LO1586,DB1586,"Wasatch Mtns, West","Wasatch Mtns, West - Muzzleloader",DEER,DEER,MUZZLELOADER,MUZZLELOADER,0.6,True,True,MEDIUM,REVIEW_NAME_AND_FAMILY_BEFORE_PROMOTION,CANDIDATE_REVIEW_ONLY,448,15,463,24_deer_odds.pdf
LO1585,DB1585,"Wasatch Mtns, East","Wasatch Mtns, East - Muzzleloader",DEER,DEER,MUZZLELOADER,MUZZLELOADER,0.6,True,True,MEDIUM,REVIEW_NAME_AND_FAMILY_BEFORE_PROMOTION,CANDIDATE_REVIEW_ONLY,411,28,439,24_deer_odds.pdf
LO1524,DB1524,Southwest Desert,Southwest Desert - Archery,DEER,DEER,ARCHERY,ARCHERY,0.6667,True,True,MEDIUM,REVIEW_NAME_AND_FAMILY_BEFORE_PROMOTION,CANDIDATE_REVIEW_ONLY,31,6,37,24_deer_odds.pdf
LO1584,DB1584,Southwest Desert,Southwest Desert - Muzzleloader,DEER,DEER,MUZZLELOADER,MUZZLELOADER,0.5,True,True,MEDIUM,REVIEW_NAME_AND_FAMILY_BEFORE_PROMOTION,CANDIDATE_REVIEW_ONLY,37,4,41,24_deer_odds.pdf
LO1510,DB1510,Monroe,Monroe - Archery,DEER,DEER,ARCHERY,ARCHERY,0.5,True,True,MEDIUM,REVIEW_NAME_AND_FAMILY_BEFORE_PROMOTION,CANDIDATE_REVIEW_ONLY,76,10,86,24_deer_odds.pdf
LO1511,DB1511,Mt Dutton,Mt Dutton - Archery,DEER,DEER,ARCHERY,ARCHERY,0.6667,True,True,MEDIUM,REVIEW_NAME_AND_FAMILY_BEFORE_PROMOTION,CANDIDATE_REVIEW_ONLY,23,2,25,24_deer_odds.pdf
LO1571,DB1571,Mt Dutton,Mt Dutton - Muzzleloader,DEER,DEER,MUZZLELOADER,MUZZLELOADER,0.5,True,True,MEDIUM,REVIEW_NAME_AND_FAMILY_BEFORE_PROMOTION,CANDIDATE_REVIEW_ONLY,26,3,29,24_deer_odds.pdf
LO1519,DB1519,Fishlake,Fishlake - Archery,DEER,DEER,ARCHERY,ARCHERY,0.5,True,True,MEDIUM,REVIEW_NAME_AND_FAMILY_BEFORE_PROMOTION,CANDIDATE_REVIEW_ONLY,89,8,97,24_deer_odds.pdf
LO1516,DB1516,Panguitch Lake,Panguitch Lake - Archery,DEER,DEER,ARCHERY,ARCHERY,0.6667,True,True,MEDIUM,REVIEW_NAME_AND_FAMILY_BEFORE_PROMOTION,CANDIDATE_REVIEW_ONLY,167,14,181,24_deer_odds.pdf
LO1576,DB1576,Panguitch Lake,Panguitch Lake - Muzzleloader,DEER,DEER,MUZZLELOADER,MUZZLELOADER,0.5,True,True,MEDIUM,REVIEW_NAME_AND_FAMILY_BEFORE_PROMOTION,CANDIDATE_REVIEW_ONLY,104,18,122,24_deer_odds.pdf
LO1529,DB1529,Zion,Zion - Archery,DEER,DEER,ARCHERY,ARCHERY,0.5,True,True,MEDIUM,REVIEW_NAME_AND_FAMILY_BEFORE_PROMOTION,CANDIDATE_REVIEW_ONLY,253,25,278,24_deer_odds.pdf
LO1517,DB1517,Pine Valley,Pine Valley - Archery,DEER,DEER,ARCHERY,ARCHERY,0.6667,True,True,MEDIUM,REVIEW_NAME_AND_FAMILY_BEFORE_PROMOTION,CANDIDATE_REVIEW_ONLY,198,22,220,24_deer_odds.pdf
LO1577,DB1577,Pine Valley,Pine Valley - Muzzleloader,DEER,DEER,MUZZLELOADER,MUZZLELOADER,0.5,True,True,MEDIUM,REVIEW_NAME_AND_FAMILY_BEFORE_PROMOTION,CANDIDATE_REVIEW_ONLY,179,16,195,24_deer_odds.pdf
LO1506,DB1506,Fillmore,Fillmore - Archery,DEER,DEER,ARCHERY,ARCHERY,0.5,True,True,MEDIUM,REVIEW_NAME_AND_FAMILY_BEFORE_PROMOTION,CANDIDATE_REVIEW_ONLY,188,13,201,24_deer_odds.pdf
