hunt_code,reconciled_bucket,resolution_status,include_in_core_comparable_2026,resolution_rationale,universe_status,likely_cause,prefix,present_in_bible_years,present_in_2025_bible,present_in_2026_bible,present_in_live_2026_hunttable,present_in_database,hanumber_fetch_status,live_presence_status,live_comparison_status,live_shape_status,hunt_name,species,sex_type,weapon,hunt_type,live_res,live_nr,live_total,database_compared_res,database_compared_nr,database_compared_total,species_truth_direct_source_support,species_truth_direct_source_match_support,species_truth_conservation_source_support,species_truth_conservation_source_match_support,species_truth_source_families,species_truth_comparison_statuses,species_truth_total_values,permit_reconciliation_confidence,permit_reconciliation_winner,permit_reconciliation_recommended_total,permit_reconciliation_action,source_url
BI1000,SPORTSMAN_CONTINUITY_LAYER_REVIEW,REVIEW,maybe,"Sportsman codes are known continuing active permit hunts, but this row was not in 2025 BIBLE extraction.",LIVE_2026_NOT_IN_2025_BIBLE,SPORTSMAN_CURRENT_PLANNER,BI,2020|2021|2022|2023|2024,no,no,yes,yes,OK,LIVE_AND_DATABASE,BOTH_BLANK,LIVE_DWR_NO_QUOTA_PUBLISHED,Bison - Statewide Permit,Bison,Hunters Choice,Any Legal Weapon,Statewide,,,,,,,no,no,yes,yes,CONSERVATION_PERMITS_DIRECT,SOURCE_MATCHES_RECOMMENDED,,MEDIUM_SINGLE_SOURCE,UTAHDRAWS,1,PROMOTE_CANDIDATE_AFTER_REVIEW,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice
BI6500,CORE_DRAW_RESULTS_CONTINUING,CLOSED_CORE,yes,Present in 2025 BIBLE and fresh 2026 DWR Hunt Planner table.,LIVE_2026_AND_2025_BIBLE,CONTINUITY,BI,2020|2021|2022|2023|2024|2025,yes,no,yes,yes,OK,LIVE_AND_DATABASE,MATCH,LIVE_DWR_RES_NR_SPLIT,Antelope Island,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,2,0,2,2,0,2,no,no,no,no,,,,HIGH_CONFIRMED_2PLUS,HANUMBER,2,PROMOTE_CANDIDATE_AFTER_REVIEW,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice
BI6503,CORE_DRAW_RESULTS_CONTINUING,CLOSED_CORE,yes,Present in 2025 BIBLE and fresh 2026 DWR Hunt Planner table.,LIVE_2026_AND_2025_BIBLE,CONTINUITY,BI,2020|2021|2022|2023|2024|2025,yes,no,yes,yes,OK,LIVE_AND_DATABASE,MATCH,LIVE_DWR_RES_NR_SPLIT,Henry Mtns,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,4,2,6,4,2,6,no,no,yes,no,CONSERVATION_PERMITS_DIRECT,SOURCE_DIFFERS_FROM_CURRENT_RECONCILIATION,,REVIEW_SOURCE_CONFLICT,HANUMBER,6,REVIEW_BEFORE_PROMOTION,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice
BI6504,CORE_DRAW_RESULTS_CONTINUING,CLOSED_CORE,yes,Present in 2025 BIBLE and fresh 2026 DWR Hunt Planner table.,LIVE_2026_AND_2025_BIBLE,CONTINUITY,BI,2020|2021|2022|2023|2024|2025,yes,no,yes,yes,OK,LIVE_AND_DATABASE,MATCH,LIVE_DWR_RES_NR_SPLIT,Henry Mtns,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,5,2,7,5,2,7,no,no,no,no,,,,HIGH_CONFIRMED_2PLUS,HANUMBER,7,PROMOTE_CANDIDATE_AFTER_REVIEW,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice
BI6505,POSSIBLE_DROPPED_OR_NOT_EXPOSED_FROM_2025,REVIEW,maybe,Present in 2025 BIBLE but absent from fresh 2026 DWR table; needs drop/rename/crosswalk review.,BIBLE_2025_NOT_IN_LIVE_2026_TABLE,DROPPED_OR_NOT_EXPOSED_IN_CURRENT_TABLE,BI,2020|2021|2022|2023|2024|2025,yes,no,no,yes,OK,DATABASE_ONLY,DATABASE_ONLY,,Henry Mtns,Bison,Female Only,Any Legal Weapon,Once-in-a-lifetime,,,,8,3,11,no,no,no,no,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,11,REVIEW_BEFORE_PROMOTION,
BI6506,POSSIBLE_DROPPED_OR_NOT_EXPOSED_FROM_2025,REVIEW,maybe,Present in 2025 BIBLE but absent from fresh 2026 DWR table; needs drop/rename/crosswalk review.,BIBLE_2025_NOT_IN_LIVE_2026_TABLE,DROPPED_OR_NOT_EXPOSED_IN_CURRENT_TABLE,BI,2020|2021|2022|2023|2024|2025,yes,no,no,yes,OK,DATABASE_ONLY,DATABASE_ONLY,,Henry Mtns,Bison,Female Only,Any Legal Weapon,Once-in-a-lifetime,,,,11,0,11,no,no,no,no,,,,HIGH_CONFIRMED_2PLUS,HANUMBER,11,PROMOTE_CANDIDATE_AFTER_REVIEW,
BI6507,HISTORICAL_LIBRARY_ONLY,CLOSED_HISTORICAL,no,Historical BIBLE-library code not part of current 2026 live table.,BIBLE_HISTORICAL_ONLY,HISTORICAL_LIBRARY,BI,2020,no,no,no,no,,,,,,,,,,,,,,,,no,no,no,no,,,,,,,,
BI6509,CORE_DRAW_RESULTS_CONTINUING,CLOSED_CORE,yes,Present in 2025 BIBLE and fresh 2026 DWR Hunt Planner table.,LIVE_2026_AND_2025_BIBLE,CONTINUITY,BI,2020|2021|2022|2023|2024|2025,yes,no,yes,yes,OK,LIVE_AND_DATABASE,MATCH,LIVE_DWR_RES_NR_SPLIT,Henry Mtns,Bison,Hunters Choice,Archery,Once-in-a-lifetime,5,0,5,5,0,5,no,no,no,no,,,,HIGH_CONFIRMED_2PLUS,HANUMBER,5,PROMOTE_CANDIDATE_AFTER_REVIEW,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice
BI6515,HISTORICAL_LIBRARY_ONLY,CLOSED_HISTORICAL,no,Historical BIBLE-library code not part of current 2026 live table.,BIBLE_HISTORICAL_ONLY,HISTORICAL_LIBRARY,BI,2020,no,no,no,no,,,,,,,,,,,,,,,,no,no,no,no,,,,,,,,
BI6516,CORE_DRAW_RESULTS_CONTINUING,CLOSED_CORE,yes,Present in 2025 BIBLE and fresh 2026 DWR Hunt Planner table.,LIVE_2026_AND_2025_BIBLE,CONTINUITY,BI,2020|2021|2022|2023|2024|2025,yes,no,yes,yes,OK,LIVE_AND_DATABASE,MATCH,LIVE_DWR_RES_NR_SPLIT,Henry Mtns,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,6,0,6,6,0,6,no,no,yes,no,CONSERVATION_PERMITS_DIRECT,SOURCE_DIFFERS_FROM_CURRENT_RECONCILIATION,,HIGH_CONFIRMED_2PLUS,HANUMBER,6,PROMOTE_CANDIDATE_AFTER_REVIEW,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice
