hunt_code,hit_in_2020_pdf,hit_count,source_files,report_labels,page_numbers,resolution_use
BI6533,NO,0,,,,NO_2020_EVIDENCE_FOUND
CG1029,YES,1,2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,COUGAR DRAW RESULTS,2,HISTORICAL_SOURCE_EVIDENCE_ONLY
CG1034,YES,1,2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,COUGAR DRAW RESULTS,4,HISTORICAL_SOURCE_EVIDENCE_ONLY
CG7502,YES,1,2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,COUGAR DRAW RESULTS,5,HISTORICAL_SOURCE_EVIDENCE_ONLY
CG7506,YES,1,2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,COUGAR DRAW RESULTS,7,HISTORICAL_SOURCE_EVIDENCE_ONLY
CG7602,YES,1,2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,COUGAR DRAW RESULTS,8,HISTORICAL_SOURCE_EVIDENCE_ONLY
CG7603,YES,1,2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,COUGAR DRAW RESULTS,9,HISTORICAL_SOURCE_EVIDENCE_ONLY
CG7605,YES,1,2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,COUGAR DRAW RESULTS,10,HISTORICAL_SOURCE_EVIDENCE_ONLY
CG7610,YES,1,2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,COUGAR DRAW RESULTS,11,HISTORICAL_SOURCE_EVIDENCE_ONLY
CG7612,YES,1,2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,COUGAR DRAW RESULTS,12,HISTORICAL_SOURCE_EVIDENCE_ONLY
DB1223,YES,2,2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__L.E. DEER.pdf,L.E. BIG GAME DRAW RESULTS; L.E. DEER,97; 96,HISTORICAL_SOURCE_EVIDENCE_ONLY
DB1278,YES,2,2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__L.E. DEER.pdf,L.E. BIG GAME DRAW RESULTS; L.E. DEER,145; 144,HISTORICAL_SOURCE_EVIDENCE_ONLY
