hunt_code,prefix,first_present_report_year_in_transition,previous_report_year_absent,first_present_model_year_in_transition,previous_model_year_absent,seen_before_previous_year,source_files_first_present_year,source_pages_first_present_year
BI6526,BI,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__O.I.L. BISON.pdf,15|512
CG9999,CG,2021,2020,2022,2021,NO,2021/2021_PERMITS=2022_MODEL__SPORTSMAN DRAW RESULTS.pdf,1
DA1045,DA,2021,2020,2022,2021,NO,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,26|28
DA1046,DA,2021,2020,2022,2021,NO,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,27|29
DB1328,DB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. DEER.pdf,175|176
DB1329,DB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. DEER.pdf,176|177
DB1330,DB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. DEER.pdf,177|178
DB1331,DB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. DEER.pdf,178|179
DB1332,DB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. DEER.pdf,179|180
DB1333,DB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. DEER.pdf,180|181
