hunt_code,gap_side,present_in_public_age_export_universe,present_in_database2_1394_universe,present_in_database_csv_truth_1449,present_in_source_of_truth_json_1411,species,hunt_type,weapon,hunt_name,permit_allotment_2026_total,gap_classification,recommended_action
BI6530,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Bison,Once-in-a-lifetime,Any Legal Weapon,"Book Cliffs, Little Creek/South",4,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
BR7008,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Black Bear,Limited Entry - Spring,Any Legal Weapon,La Sal,54,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
BR7019,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Black Bear,Limited Entry - Spring,Any Legal Weapon,Chalk Creek/East Canyon/Morgan-South Rich,,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
BR7108,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Black Bear,Limited Entry - Summer,Any Legal Weapon,La Sal,27,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
BR7208,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Black Bear,Limited Entry - Fall,Any Legal Weapon,La Sal,6,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
DA1044,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Deer,General Season,Any Legal Weapon,Myton,50,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
DB1036,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Deer,Limited Entry,Muzzleloader,Thousand Lakes,5,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
DB1059,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Deer,Limited Entry,Muzzleloader,Beaver,8,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
DB1082,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Deer,Limited Entry,Muzzleloader,Oquirrh-Stansbury,13,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
DB1088,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Deer,Limited Entry,Muzzleloader,"West Desert, Tintic",5,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
